strategy,budget,class_id,support,recall,f1
random,0,56,12137,0.18777292576419213,0.3134584966646035
random,0,163,1741,0.06835152211372775,0.07258310460506252
random,0,174,1507,0.0,0.0
random,0,48,3361,0.0008925914906277894,0.0017709563164108619
random,0,38,193,0.06217616580310881,0.10572687224669604
random,0,69,1866,0.0021436227224008574,0.0036714089031665903
random,0,104,1744,0.016055045871559634,0.021439509954058193
random,0,47,618,0.0,0.0
random,0,66,1955,0.001534526854219949,0.0025136154168412233
random,0,10,1004,0.20119521912350596,0.27408412483039346
random,0,109,393,0.0,0.0
random,0,26,807,0.021065675340768277,0.023019634394041977
