strategy,budget,class_id,support,recall,f1
random,200,56,12137,0.00032957073411881023,0.0006584904107333937
random,200,163,1741,0.0022975301550832855,0.004532577903682719
random,200,174,1507,0.0,0.0
random,200,48,3361,0.008628384409401963,0.015084525357607282
random,200,38,193,0.03626943005181347,0.06666666666666667
random,200,69,1866,0.0,0.0
random,200,104,1744,0.0005733944954128441,0.0011142061281337048
random,200,47,618,0.0016181229773462784,0.003115264797507788
random,200,66,1955,0.0,0.0
random,200,10,1004,0.02091633466135458,0.04030710172744722
random,200,109,393,0.0,0.0
random,200,26,807,0.008674101610904586,0.015102481121898598
random,500,56,12137,0.635741946115185,0.6674740484429066
random,500,163,1741,0.0011487650775416428,0.0022727272727272726
random,500,174,1507,0.0,0.0
random,500,48,3361,0.0639690568283249,0.10557328750306899
random,500,38,193,0.031088082901554404,0.05853658536585366
random,500,69,1866,0.015005359056806002,0.020086083213773313
random,500,104,1744,0.0,0.0
random,500,47,618,0.0,0.0
random,500,66,1955,0.0,0.0
random,500,10,1004,0.0049800796812749,0.009861932938856016
random,500,109,393,0.0,0.0
random,500,26,807,0.0644361833952912,0.059293044469783354
random,1000,56,12137,0.7992914229216446,0.6435797923508143
random,1000,163,1741,0.0,0.0
random,1000,174,1507,0.0006635700066357001,0.0012099213551119178
random,1000,48,3361,0.17256768818803928,0.18371872030408615
random,1000,38,193,0.025906735751295335,0.049019607843137254
random,1000,69,1866,0.011789924973204717,0.01735700197238659
random,1000,104,1744,0.0,0.0
random,1000,47,618,0.17475728155339806,0.22085889570552147
random,1000,66,1955,0.0,0.0
random,1000,10,1004,0.3954183266932271,0.41332639250390424
random,1000,109,393,0.0,0.0
random,1000,26,807,0.14250309789343246,0.04867724867724868
absorber_margin,200,56,12137,0.16511493779352393,0.2544115780119335
absorber_margin,200,163,1741,0.04652498564043653,0.041741819118783816
absorber_margin,200,174,1507,0.0,0.0
absorber_margin,200,48,3361,0.0020827134781315083,0.0036534446764091857
absorber_margin,200,38,193,0.10362694300518134,0.06042296072507553
absorber_margin,200,69,1866,0.0,0.0
absorber_margin,200,104,1744,0.36295871559633025,0.23805942083490034
absorber_margin,200,47,618,0.0,0.0
absorber_margin,200,66,1955,0.005115089514066497,0.006749915626054675
absorber_margin,200,10,1004,0.0,0.0
absorber_margin,200,109,393,0.0,0.0
absorber_margin,200,26,807,0.055762081784386616,0.035629453681710214
absorber_margin,500,56,12137,0.6911922221306748,0.5969968687731284
absorber_margin,500,163,1741,0.17059161401493395,0.1004396347649645
absorber_margin,500,174,1507,0.0033178500331785005,0.0016061676839061998
absorber_margin,500,48,3361,0.07349003272835465,0.08805704099821747
