method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,none,0,1,0.0,2.0,0,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,random,200,none,0,1,0.0,2.0,0,2,21,0.7416531832358572,0.5886140912870452,0.002708043621459416,0.012215109509473117,27326,0.9196376550231667,0.875259321913096,144172,12,10,200,0.16552788019180298
active_head_ft,random,500,none,0,1,0.0,2.0,0,9,41,0.7658885952469301,0.6070750626886565,0.29363975700797773,0.07692480910058078,27326,0.91916599617124,0.8623767499007883,144172,11,7,500,0.1663004606962204
active_head_ft,random,1000,none,0,1,0.0,2.0,0,19,87,0.7794931942997018,0.6133403691909853,0.39994876674229674,0.1314789650593509,27326,0.9254987098743168,0.8648816214493223,144172,7,5,1000,0.1635056585073471
active_head_ft,absorber_margin,200,none,0,1,0.0,2.0,0,13,200,0.7062088270435427,0.5889903151108286,0.10246651540657249,0.05338904938957228,27326,0.9080126515550869,0.8787979766772244,144172,9,7,200,0.20104551315307617
active_head_ft,absorber_margin,500,none,0,1,0.0,2.0,0,37,500,0.7088206198624728,0.5846302300244988,0.39471565541974674,0.15619787033517876,27326,0.8990372610493023,0.8504491867648248,144172,6,4,500,0.1994195431470871
active_head_ft,absorber_margin,1000,none,0,1,0.0,2.0,0,76,1000,0.7368482704051982,0.5886471733085039,0.5249213203542413,0.224065556507924,27326,0.8786518880226396,0.8179720686928131,144172,4,2,1000,0.19974380731582642
active_head_ft,hybrid_risk,200,none,0,1,0.0,2.0,0,1,200,0.6779045803863126,0.5599012809411021,0.0035497328551562612,0.01930335387611423,27326,0.9223982465388564,0.8756186779687483,144172,12,9,200,0.31857290863990784
active_head_ft,hybrid_risk,500,none,0,1,0.0,2.0,0,3,500,0.6404794634942251,0.5349666602210283,0.00863646344141111,0.03231333472525152,27326,0.8181616402630192,0.8333759412854139,144172,11,9,500,0.30539360642433167
active_head_ft,hybrid_risk,1000,none,0,1,0.0,2.0,0,12,1000,0.6369577752603669,0.5019014979343008,0.09134157944814462,0.04882644586813106,27326,0.7588019865161058,0.7896175275803803,144172,10,9,1000,0.29710736870765686
