strategy,budget,class_id,support,recall,f1
random,0,56,12137,0.2588778116503255,0.40398585663773706
random,0,163,1741,0.1344055140723722,0.05714983514470631
random,0,174,1507,0.0,0.0
random,0,48,3361,0.0008925914906277894,0.0017735737511084836
random,0,38,193,0.06735751295336788,0.07580174927113703
random,0,69,1866,0.006966773847802787,0.006701030927835051
random,0,104,1744,0.05963302752293578,0.043135628369970966
random,0,47,618,0.0,0.0
random,0,66,1955,0.004603580562659846,0.006056527590847914
random,0,10,1004,0.28386454183266935,0.28846153846153844
random,0,109,393,0.0,0.0
random,0,26,807,0.026022304832713755,0.03155522163786627
