strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,56,12134,0.14999175869457723,0.23702546070196,12137,0.14995468402405868,0.23697916666666666
margin,200,163,1741,0.00861573808156232,0.016901408450704224,1741,0.00861573808156232,0.016901408450704224
margin,200,174,1505,0.0,0.0,1507,0.0,0.0
margin,200,48,3360,0.004166666666666667,0.007368421052631579,3361,0.0041654269562630165,0.007366482504604052
margin,200,38,193,0.05181347150259067,0.09009009009009009,193,0.05181347150259067,0.09009009009009009
margin,200,69,1865,0.018230563002680965,0.01594746716697936,1866,0.01822079314040729,0.015943728018757326
margin,200,104,1741,0.5163699023549684,0.2774691358024691,1744,0.5154816513761468,0.27725520431765616
margin,200,47,618,0.0,0.0,618,0.0,0.0
margin,200,66,1955,0.0005115089514066496,0.0009876543209876543,1955,0.0005115089514066496,0.0009876543209876543
margin,200,10,1004,0.0,0.0,1004,0.0,0.0
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,807,0.004956629491945477,0.008298755186721992,807,0.004956629491945477,0.008298755186721992
margin,500,56,12134,0.6369704961265864,0.6705708832205448,12137,0.6368130510010711,0.6704836261114726
margin,500,163,1740,0.03505747126436782,0.047918303220738416,1741,0.0350373348650201,0.04789948959560267
margin,500,174,1503,0.0013306719893546241,0.0008565310492505353,1507,0.0013271400132714001,0.0008557980316645272
margin,500,48,3360,0.052083333333333336,0.08845084660096032,3361,0.05236536745016364,0.08891134124778985
margin,500,38,192,0.09895833333333333,0.09595959595959595,193,0.09844559585492228,0.09571788413098237
margin,500,69,1864,0.018240343347639486,0.018162393162393164,1866,0.01822079314040729,0.018147851614625034
margin,500,104,1737,0.6488198042602188,0.4446636417439337,1744,0.6502293577981652,0.44610542879622345
margin,500,47,618,0.0,0.0,618,0.0,0.0
margin,500,66,1954,0.0005117707267144319,0.0008230452674897119,1955,0.0005115089514066496,0.0008227067050596463
margin,500,10,1004,0.0,0.0,1004,0.0,0.0
margin,500,109,393,0.0,0.0,393,0.0,0.0
margin,500,26,807,0.0012391573729863693,0.0023781212841854932,807,0.0012391573729863693,0.0023781212841854932
margin,1000,56,12125,0.764701030927835,0.6485049833887043,12137,0.7646864958391695,0.6486127611992453
margin,1000,163,1738,0.12197928653624857,0.10445922641044593,1741,0.12234348075818495,0.10482283464566929
margin,1000,174,1503,0.00332667997338656,0.0028066236317709796,1507,0.0033178500331785005,0.002801905295601009
margin,1000,48,3357,0.1408996127494787,0.17243893547211084,3361,0.14132698601606664,0.17294738758419806
margin,1000,38,190,0.24736842105263157,0.07067669172932331,193,0.24352331606217617,0.07041198501872659
margin,1000,69,1863,0.017176596886741814,0.017787659811006114,1866,0.017684887459807074,0.018323153803442533
margin,1000,104,1736,0.7223502304147466,0.5639757139644704,1744,0.7236238532110092,0.5655388751960565
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,66,1954,0.0005117707267144319,0.0009380863039399625,1955,0.0005115089514066496,0.0009376465072667605
margin,1000,10,1004,0.0,0.0,1004,0.0,0.0
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.02729528535980149,0.03176895306859206,807,0.027261462205700124,0.031746031746031744
