strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,56,12134,0.7024064611834515,0.6027581329561528,12137,0.7023976270907143,0.6027929998232279
margin,200,163,1741,0.00861573808156232,0.01697792869269949,1741,0.00861573808156232,0.01697792869269949
margin,200,174,1505,0.0019933554817275745,0.0011139992573338284,1507,0.0019907100199071004,0.0011135857461024498
margin,200,48,3360,0.06369047619047619,0.09976689976689977,3361,0.0639690568283249,0.10018639328984157
margin,200,38,193,0.04145077720207254,0.07655502392344497,193,0.04145077720207254,0.07655502392344497
margin,200,69,1865,0.056836461126005364,0.02226423020373871,1866,0.05680600214362272,0.022261892260842173
margin,200,104,1741,0.7375071797817346,0.42029459901800326,1744,0.7379587155963303,0.420863309352518
margin,200,47,618,0.0,0.0,618,0.0,0.0
margin,200,66,1955,0.0,0.0,1955,0.0,0.0
margin,200,10,1004,0.0,0.0,1004,0.0,0.0
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,807,0.0024783147459727386,0.004550625711035267,807,0.0024783147459727386,0.004550625711035267
margin,500,56,12134,0.712790506016153,0.6883406287306009,12137,0.7127791052154568,0.6883628406604336
margin,500,163,1740,0.13793103448275862,0.1162227602905569,1741,0.13842619184376795,0.11665053242981607
margin,500,174,1503,0.1430472388556221,0.04124700239808154,1507,0.14465826144658261,0.04179047253905876
margin,500,48,3360,0.06517857142857143,0.11013326628111642,3361,0.06545670931270456,0.11058054787635084
margin,500,38,192,0.24479166666666666,0.10538116591928251,193,0.24352331606217617,0.10526315789473684
margin,500,69,1864,0.4136266094420601,0.21736678883563576,1866,0.4137191854233655,0.2175567141045512
margin,500,104,1737,0.7167530224525043,0.5512508301970335,1744,0.7178899082568807,0.5526373868903112
margin,500,47,618,0.0,0.0,618,0.0,0.0
margin,500,66,1954,0.0005117707267144319,0.0008291873963515755,1955,0.0005115089514066496,0.0008288437629506838
margin,500,10,1004,0.0,0.0,1004,0.0,0.0
margin,500,109,393,0.0,0.0,393,0.0,0.0
margin,500,26,807,0.0,0.0,807,0.0,0.0
margin,1000,56,12125,0.7823505154639175,0.6741764684979212,12137,0.782565708165115,0.674430164027551
margin,1000,163,1738,0.23878020713463752,0.1947899554095283,1741,0.24009190120620333,0.19592219357862667
margin,1000,174,1503,0.13972055888223553,0.08144269924374636,1507,0.14134041141340412,0.08246225319396051
margin,1000,48,3357,0.5132558832290736,0.5299907720701322,3361,0.5138351681047307,0.530568356374808
margin,1000,38,190,0.8789473684210526,0.23604240282685512,193,0.8808290155440415,0.23926812104152007
margin,1000,69,1863,0.43907675791733763,0.26775777414075286,1866,0.43944265809217575,0.26819296811120197
margin,1000,104,1736,0.7039170506912442,0.6229926076981902,1744,0.7052752293577982,0.6245239908606245
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,66,1954,0.0010235414534288639,0.0017953321364452424,1955,0.0010230179028132991,0.001794526693584567
margin,1000,10,1004,0.0,0.0,1004,0.0,0.0
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.04466501240694789,0.052593133674214754,807,0.04584882280049566,0.05397520058351568
