strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,56,12134,0.6850997197956157,0.6517699635422792,12137,0.6850951635494769,0.6517990123069687
margin,200,163,1741,0.01263641585295807,0.023605150214592276,1741,0.01263641585295807,0.023605150214592276
margin,200,174,1505,0.00132890365448505,0.0014930944382232176,1507,0.0013271400132714001,0.0014919806042521448
margin,200,48,3360,0.04791666666666667,0.08214285714285714,3361,0.048199940493900625,0.08261091279959204
margin,200,38,193,0.06217616580310881,0.10619469026548672,193,0.06217616580310881,0.10619469026548672
margin,200,69,1865,0.027345844504021447,0.02624806999485332,1866,0.027331189710610933,0.026241317211216877
margin,200,104,1741,0.6898334290637564,0.4841765773029631,1744,0.6903669724770642,0.4847996778739682
margin,200,47,618,0.0,0.0,618,0.0,0.0
margin,200,66,1955,0.004092071611253197,0.007239819004524887,1955,0.004092071611253197,0.007239819004524887
margin,200,10,1004,0.014940239043824702,0.028222013170272814,1004,0.014940239043824702,0.028222013170272814
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,807,0.006195786864931847,0.009149130832570906,807,0.006195786864931847,0.009149130832570906
margin,500,56,12134,0.6969671996044173,0.7193161520796122,12137,0.696959709977754,0.719333304987457
margin,500,163,1740,0.11091954022988505,0.1172895776359769,1741,0.11143021252153934,0.11782569085939873
margin,500,174,1503,0.1377245508982036,0.0717753120665742,1507,0.139349701393497,0.07271468144044321
margin,500,48,3360,0.04970238095238095,0.09053944158308484,3361,0.049985123475156205,0.09103224058520726
margin,500,38,192,0.22395833333333334,0.1465076660988075,193,0.22279792746113988,0.14625850340136054
margin,500,69,1864,0.15128755364806867,0.11836306400839454,1866,0.15166130760986066,0.11870805369127517
margin,500,104,1737,0.7104202648244099,0.6190117883120141,1744,0.7115825688073395,0.6203449137715571
margin,500,47,618,0.0,0.0,618,0.0,0.0
margin,500,66,1954,0.0005117707267144319,0.0008646779074794639,1955,0.0005115089514066496,0.000864304235090752
margin,500,10,1004,0.013944223107569721,0.027131782945736434,1004,0.013944223107569721,0.027131782945736434
margin,500,109,393,0.0,0.0,393,0.0,0.0
margin,500,26,807,0.004956629491945477,0.008483563096500531,807,0.004956629491945477,0.008483563096500531
margin,1000,56,12125,0.7783917525773196,0.7286905497220506,12137,0.7786108593556892,0.7289416846652268
margin,1000,163,1738,0.2054085155350978,0.18863936591809777,1741,0.2067777139574957,0.1899235030335004
margin,1000,174,1503,0.14038589487691283,0.15514705882352942,1507,0.1420039814200398,0.15683400513008428
margin,1000,48,3357,0.4647006255585344,0.5608484630595003,3361,0.4653376971139542,0.5614790881349847
margin,1000,38,190,0.8631578947368421,0.283982683982684,193,0.8652849740932642,0.2876830318690784
margin,1000,69,1863,0.17122920021470747,0.14854481955762514,1866,0.1720257234726688,0.14930232558139536
margin,1000,104,1736,0.7148617511520737,0.6737242128121607,1744,0.7161697247706422,0.6751351351351351
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,66,1954,0.0010235414534288639,0.0018613308515588647,1955,0.0010230179028132991,0.0018604651162790699
margin,1000,10,1004,0.0069721115537848604,0.013738959764474975,1004,0.0069721115537848604,0.013738959764474975
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.043424317617866005,0.05668016194331984,807,0.04460966542750929,0.0582053354890865
