strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
random,0,56,12137,0.00032957073411881023,0.0006575702778234424,12137,0.00032957073411881023,0.0006575702778234424
random,0,163,1741,0.12291786329695577,0.037008214440121055,1741,0.12291786329695577,0.037008214440121055
random,0,174,1507,0.0,0.0,1507,0.0,0.0
random,0,48,3361,0.0008925914906277894,0.0017740981667652277,3361,0.0008925914906277894,0.0017740981667652277
random,0,38,193,0.07253886010362694,0.023931623931623933,193,0.07253886010362694,0.023931623931623933
random,0,69,1866,0.0037513397642015005,0.005107624954396206,1866,0.0037513397642015005,0.005107624954396206
random,0,104,1744,0.024655963302752295,0.02184959349593496,1744,0.024655963302752295,0.02184959349593496
random,0,47,618,0.0,0.0,618,0.0,0.0
random,0,66,1955,0.008184143222506393,0.010854816824966078,1955,0.008184143222506393,0.010854816824966078
random,0,10,1004,0.2788844621513944,0.30059044551798175,1004,0.2788844621513944,0.30059044551798175
random,0,109,393,0.0,0.0,393,0.0,0.0
random,0,26,807,0.0024783147459727386,0.004667444574095682,807,0.0024783147459727386,0.004667444574095682
