baseline_method,method,period,group,delta_macro_f1,delta_macro_recall,delta_collapsed_count,delta_severe_count
bn_static,bn_adabn,M-2022-7,stable,0.004565757355137867,0.012551324787708928,0,0
bn_static,bn_adabn,M-2022-7,final_collapsed,0.02821386472508719,0.01679477736092949,0,0
bn_static,bn_adabn,M-2022-7,abrupt_collapsed,0.02937648257772435,0.008719753387226026,0,0
bn_static,bn_adabn,M-2022-7,gradual_collapsed,0.026353676160867756,0.029714815718855092,0,0
bn_static,bn_adabn,M-2022-7,absorber,0.07388096810600542,0.025057518433997283,0,0
bn_static,bn_adabn,M-2022-7,degraded_noncollapsed,0.050404898212031535,0.048000673464750676,-1,0
bn_static,bn_adabn,M-2022-10,stable,0.022450435226406995,0.021192260205596947,0,0
bn_static,bn_adabn,M-2022-10,final_collapsed,0.014828563264578543,-0.01034333632055462,0,-1
bn_static,bn_adabn,M-2022-10,abrupt_collapsed,0.02453838223196797,-0.015378724106320407,0,0
bn_static,bn_adabn,M-2022-10,gradual_collapsed,-0.0007071470832444859,-0.0022867158633294443,0,-1
bn_static,bn_adabn,M-2022-10,absorber,0.05827879818580073,0.007760887289463225,0,0
bn_static,bn_adabn,M-2022-10,degraded_noncollapsed,0.061458045568549446,0.0381452430249396,-5,0
bn_static,bn_adabn,M-2022-12,stable,0.01591532950922936,0.020384755884741534,0,0
bn_static,bn_adabn,M-2022-12,final_collapsed,-0.0004302431970675466,0.0017255148692829764,0,-2
bn_static,bn_adabn,M-2022-12,abrupt_collapsed,-0.0004243601572458573,-0.0032359445486554433,0,0
bn_static,bn_adabn,M-2022-12,gradual_collapsed,-0.0004396560607822231,0.009663849937984435,0,-2
bn_static,bn_adabn,M-2022-12,absorber,0.06114562605346241,0.023129639291625814,0,0
bn_static,bn_adabn,M-2022-12,degraded_noncollapsed,0.07504389879110551,0.05919372565297909,-1,0
