method,period,group,n_classes,support,macro_f1,macro_recall,collapsed_count,severe_count
bn_static,M-2022-7,stable,20,146256,0.8278495193430789,0.8587207999845405,0,0
bn_static,M-2022-7,final_collapsed,13,23893,0.45826448738363185,0.4511650586798629,5,3
bn_static,M-2022-7,abrupt_collapsed,8,19161,0.47674770060475186,0.488761868048973,3,2
bn_static,M-2022-7,gradual_collapsed,5,4732,0.42869134622983973,0.39101016368928676,2,1
bn_static,M-2022-7,absorber,10,154739,0.5987692734262933,0.7071534864045251,0,0
bn_static,M-2022-7,degraded_noncollapsed,39,222215,0.570417729835932,0.5716326939002561,4,0
bn_adabn,M-2022-7,stable,20,146256,0.8324152766982168,0.8712721247722495,0,0
bn_adabn,M-2022-7,final_collapsed,13,23893,0.48647835210871904,0.4679598360407924,5,3
bn_adabn,M-2022-7,abrupt_collapsed,8,19161,0.5061241831824762,0.497481621436199,3,2
bn_adabn,M-2022-7,gradual_collapsed,5,4732,0.4550450223907075,0.42072497940814185,2,1
bn_adabn,M-2022-7,absorber,10,154739,0.6726502415322987,0.7322110048385224,0,0
bn_adabn,M-2022-7,degraded_noncollapsed,39,222215,0.6208226280479635,0.6196333673650067,3,0
bn_static,M-2022-10,stable,20,204902,0.8847794852947037,0.8879233165150552,0,0
bn_static,M-2022-10,final_collapsed,13,31348,0.227468888698439,0.22540967702103717,8,7
bn_static,M-2022-10,abrupt_collapsed,8,25168,0.2910228608343826,0.3092193322910801,4,4
bn_static,M-2022-10,gradual_collapsed,5,6180,0.12578253328092923,0.09131422858896845,4,3
bn_static,M-2022-10,absorber,10,187479,0.5342854502581625,0.6165754442783757,0,0
bn_static,M-2022-10,degraded_noncollapsed,39,316730,0.4430300027135235,0.4219842509370753,6,0
bn_adabn,M-2022-10,stable,20,204902,0.9072299205211107,0.9091155767206521,0,0
bn_adabn,M-2022-10,final_collapsed,13,31348,0.24229745196301755,0.21506634070048256,8,6
bn_adabn,M-2022-10,abrupt_collapsed,8,25168,0.3155612430663506,0.2938406081847597,4,4
bn_adabn,M-2022-10,gradual_collapsed,5,6180,0.12507538619768474,0.08902751272563901,4,2
bn_adabn,M-2022-10,absorber,10,187479,0.5925642484439633,0.624336331567839,0,0
bn_adabn,M-2022-10,degraded_noncollapsed,39,316730,0.5044880482820729,0.4601294939620149,1,0
bn_static,M-2022-12,stable,20,144172,0.8691786086350852,0.8789779326064411,0,0
bn_static,M-2022-12,final_collapsed,13,27342,0.03291224860502701,0.022252849329611305,12,8
bn_static,M-2022-12,abrupt_collapsed,8,22219,0.019640670489954413,0.01639710123620873,8,6
bn_static,M-2022-12,gradual_collapsed,5,5123,0.054146773589143146,0.03162204627905544,4,2
bn_static,M-2022-12,absorber,10,119068,0.4931756927499924,0.6032851238391427,0,0
bn_static,M-2022-12,degraded_noncollapsed,39,211647,0.3820521117769524,0.3434492198672587,2,0
bn_adabn,M-2022-12,stable,20,144172,0.8850939381443146,0.8993626884911826,0,0
bn_adabn,M-2022-12,final_collapsed,13,27342,0.032482005407959466,0.02397836419889428,12,6
bn_adabn,M-2022-12,abrupt_collapsed,8,22219,0.019216310332708555,0.013161156687553287,8,6
bn_adabn,M-2022-12,gradual_collapsed,5,5123,0.05370711752836092,0.041285896217039875,4,0
bn_adabn,M-2022-12,absorber,10,119068,0.5543213188034548,0.6264147631307685,0,0
bn_adabn,M-2022-12,degraded_noncollapsed,39,211647,0.45709601056805793,0.40264294552023777,1,0
