method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,badge,1000,2,0.6843,0.0129,0.3469,0.0428,0.8910,0.0008,3.0000,0.0000,0.6846,0.0129,0.3477,0.0430,0.8911,0.0008,3.0000,0.0000
active_head_ft,badge,200,2,0.6352,0.0035,0.0722,0.0411,0.8850,0.0060,9.5000,0.7071,0.6352,0.0035,0.0722,0.0410,0.8851,0.0059,9.5000,0.7071
active_head_ft,badge,500,2,0.6534,0.0044,0.1510,0.0480,0.8907,0.0009,6.0000,1.4142,0.6536,0.0045,0.1513,0.0481,0.8908,0.0009,6.0000,1.4142
active_head_ft,coreset,1000,5,0.6181,0.0080,0.1082,0.0374,0.8781,0.0074,9.2000,1.0954,0.6185,0.0081,0.1089,0.0376,0.8782,0.0074,9.2000,1.0954
active_head_ft,coreset,200,5,0.6105,0.0041,0.0384,0.0159,0.8703,0.0076,11.6000,0.5477,0.6105,0.0041,0.0384,0.0159,0.8703,0.0076,11.6000,0.5477
active_head_ft,coreset,500,5,0.6088,0.0051,0.0579,0.0182,0.8781,0.0030,11.4000,0.5477,0.6090,0.0051,0.0581,0.0182,0.8782,0.0030,11.4000,0.5477
active_head_ft,entropy,1000,5,0.5999,0.0040,0.0729,0.0130,0.8824,0.0045,9.8000,0.4472,0.6000,0.0040,0.0734,0.0130,0.8822,0.0045,9.8000,0.4472
active_head_ft,entropy,200,5,0.6119,0.0012,0.0388,0.0025,0.8837,0.0102,10.8000,0.4472,0.6119,0.0012,0.0388,0.0025,0.8836,0.0102,10.8000,0.4472
active_head_ft,entropy,500,5,0.6006,0.0014,0.0398,0.0040,0.8784,0.0088,10.8000,0.4472,0.6006,0.0014,0.0400,0.0040,0.8784,0.0088,10.8000,0.4472
active_head_ft,margin,1000,4,0.6732,0.0008,0.2326,0.0019,0.8856,0.0026,5.2500,0.5000,0.6735,0.0008,0.2335,0.0020,0.8857,0.0026,5.2500,0.5000
active_head_ft,margin,200,4,0.6370,0.0014,0.1157,0.0026,0.8747,0.0058,10.0000,0.0000,0.6370,0.0014,0.1158,0.0026,0.8747,0.0058,10.0000,0.0000
active_head_ft,margin,500,4,0.6494,0.0010,0.1539,0.0105,0.8887,0.0047,7.0000,1.1547,0.6495,0.0010,0.1542,0.0105,0.8887,0.0047,7.0000,1.1547
active_head_ft,random,1000,5,0.6560,0.0058,0.1827,0.0307,0.8896,0.0074,8.0000,0.7071,0.6562,0.0058,0.1833,0.0306,0.8897,0.0074,7.8000,0.4472
active_head_ft,random,200,5,0.6291,0.0046,0.0703,0.0264,0.8824,0.0076,10.6000,0.8944,0.6291,0.0047,0.0703,0.0264,0.8824,0.0076,10.6000,0.8944
active_head_ft,random,500,5,0.6446,0.0071,0.1266,0.0287,0.8874,0.0081,9.2000,1.0954,0.6447,0.0071,0.1270,0.0286,0.8874,0.0081,8.8000,1.3038
static,,0,5,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000
