method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,2,0.5,2.0,150,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,random,200,stable_absorber,5,2,0.5,2.0,150,6,24,0.7580854236755203,0.6247035361383098,0.09300878477306003,0.07220828342432183,27320,0.9445720112937128,0.8755753623693924,144151,10,6,0.7581166978656,0.6247383865430693,0.09313474346775964,0.07230464778458594,27326,0.9445800848985934,0.8755809429014579,144172,10,6,550,0.16635937988758087
active_head_ft,random,500,stable_absorber,5,2,0.5,2.0,150,11,56,0.7844879790191339,0.6425612077846523,0.3165293794618342,0.12722366930055973,27315,0.9409001332297102,0.8910256211555051,144112,9,8,0.784560344430178,0.6426866566568429,0.31669472297445656,0.1277525418859595,27326,0.9409247287961602,0.8910432168655719,144172,9,8,1150,0.1627805382013321
active_head_ft,random,1000,stable_absorber,5,2,0.5,2.0,150,19,98,0.7956110477080748,0.6504150336141494,0.4263009484747501,0.198953314908036,27307,0.9405063554762616,0.8870658451047019,144049,8,6,0.7957488839800216,0.6506162224847158,0.42659006074800554,0.1995909691857302,27326,0.9405501761784535,0.8871068145810449,144172,8,6,2150,0.16113664209842682
active_head_ft,entropy,200,stable_absorber,5,2,0.5,2.0,150,1,14,0.7386655923641885,0.6099695327917918,0.012881976212259835,0.03536085004780565,27325,0.9443269077363817,0.8685267547999933,144163,11,8,0.7386453894223902,0.6099594704775743,0.01291809997804289,0.03541294352406223,27326,0.944302638515107,0.8684842910905013,144172,11,8,550,0.29910334944725037
active_head_ft,entropy,500,stable_absorber,5,2,0.5,2.0,150,4,58,0.7408358023450003,0.6016115613879083,0.013066393382622063,0.03697674998867541,27322,0.9414450040932995,0.8659293580524577,144138,11,7,0.7407984558984121,0.6016757998287541,0.013210861450633096,0.037183987698733614,27326,0.941396387648087,0.8658752328312387,144172,11,7,1150,0.28562742471694946
active_head_ft,entropy,1000,stable_absorber,5,2,0.5,2.0,150,17,192,0.734517243230938,0.6005425939176193,0.06320260719909188,0.05342572928071182,27309,0.9345238921831387,0.8771999297108037,144022,10,6,0.7344737758921547,0.600656677980597,0.06371221547244382,0.05392053954701983,27326,0.934494908858863,0.877078932354463,144172,10,6,2150,0.2758793234825134
active_head_ft,margin,200,stable_absorber,5,2,0.5,2.0,150,10,36,0.7718591202460414,0.6368866996891518,0.283350417337824,0.1120249155139116,27316,0.9480105990399822,0.8661643287796602,144164,10,5,0.77188755687791,0.6369273335334189,0.2834297006513943,0.11211395856263119,27326,0.9480134838942375,0.866174199441428,144172,10,5,550,0.19158145785331726
active_head_ft,margin,500,stable_absorber,5,2,0.5,2.0,150,20,82,0.7820573980006487,0.6482714442116569,0.2737859811030543,0.142386374904875,27306,0.9463629174355204,0.8820753765482678,144154,8,4,0.7821072542998982,0.6483697761665733,0.27406133352850764,0.14261579046736206,27326,0.9463557417529063,0.8821009183647941,144172,8,4,1150,0.18453998863697052
active_head_ft,margin,1000,stable_absorber,5,2,0.5,2.0,150,39,155,0.7997873288212556,0.6723316761786228,0.44988456041338365,0.23423913003885818,27287,0.9389564529668454,0.8820074306200733,144143,5,4,0.7998577721618858,0.6726079762589598,0.45045012076410745,0.2352598687938343,27326,0.9389548594734067,0.882055911997992,144172,5,4,2150,0.18442761898040771
active_head_ft,coreset,200,stable_absorber,5,2,0.5,2.0,150,2,19,0.7353209944755558,0.6105916809921246,0.014236568584394671,0.03295085776728733,27324,0.9479387057166839,0.861887580577869,144157,12,7,0.7353481521339088,0.6106626862487302,0.014235526604698822,0.03294782888673547,27326,0.9479302499791915,0.8618908498371287,144172,12,7,550,0.22274881601333618
active_head_ft,coreset,500,stable_absorber,5,2,0.5,2.0,150,8,42,0.7307823446828489,0.6095913801960262,0.08964785123361886,0.06247442678013528,27318,0.9401133627956347,0.8816547763250042,144139,11,5,0.7308470415929518,0.6098276873302484,0.08976798653297226,0.06275778757779658,27326,0.9401131981244625,0.8816699739731201,144172,11,5,1150,0.21662642061710358
active_head_ft,coreset,1000,stable_absorber,5,2,0.5,2.0,150,16,93,0.7465113834290429,0.6254254015664918,0.13138044672281216,0.12137907511677688,27310,0.9391333916253765,0.8839756196241222,144102,9,2,0.7466167987551663,0.6258885846627228,0.13166947229744566,0.12216298077414726,27326,0.9391143911439115,0.8841251610723647,144172,9,2,2150,0.21242190897464752
