strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,1000,56,12125,0.7261030927835052,0.7843207126948775,12137,0.7262091126307983,0.7844428622285511
margin,1000,163,1738,0.10069044879171461,0.13133208255159476,1741,0.10166570936243538,0.13258426966292136
margin,1000,174,1503,0.1996007984031936,0.267260579064588,1507,0.20106171201061712,0.2690941385435169
margin,1000,48,3357,0.4375930890676199,0.5703746845272762,3361,0.43826242189824455,0.5710408993991084
margin,1000,38,190,0.6789473684210526,0.4558303886925795,193,0.6839378238341969,0.46153846153846156
margin,1000,69,1863,0.02308105206655931,0.028561939554965127,1866,0.023579849946409433,0.029187396351575457
margin,1000,104,1736,0.7620967741935484,0.6878086820899402,1744,0.7631880733944955,0.6891017344033135
margin,1000,47,618,0.0048543689320388345,0.009009009009009009,618,0.0048543689320388345,0.009009009009009009
margin,1000,66,1954,0.0015353121801432957,0.002689376961004034,1955,0.001534526854219949,0.002688172043010753
margin,1000,10,1004,0.0398406374501992,0.06993006993006994,1004,0.0398406374501992,0.06993006993006994
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.028535980148883373,0.03898305084745763,807,0.02973977695167286,0.04060913705583756
