strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,56,12134,0.47651227954507996,0.5742377594597279,12137,0.4764768888522699,0.5742230165822659
margin,200,163,1741,0.010338885697874785,0.019138755980861243,1741,0.010338885697874785,0.019138755980861243
margin,200,174,1505,0.0019933554817275745,0.0019860973187686196,1507,0.0019907100199071004,0.0019847833278200462
margin,200,48,3360,0.03898809523809524,0.06775277993276442,3361,0.03927402558762273,0.06823468596536572
margin,200,38,193,0.06217616580310881,0.10619469026548672,193,0.06217616580310881,0.10619469026548672
margin,200,69,1865,0.022520107238605896,0.02434077079107505,1866,0.022508038585209004,0.02433371958285052
margin,200,104,1741,0.6783457782883401,0.4690230341540905,1744,0.6788990825688074,0.4696548988496628
margin,200,47,618,0.0,0.0,618,0.0,0.0
margin,200,66,1955,0.004092071611253197,0.007252946509519492,1955,0.004092071611253197,0.007252946509519492
margin,200,10,1004,0.010956175298804782,0.021012416427889206,1004,0.010956175298804782,0.021012416427889206
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,807,0.009913258983890954,0.015655577299412915,807,0.009913258983890954,0.015655577299412915
margin,500,56,12134,0.44445360145046975,0.5686119458063156,12137,0.4444261349592156,0.5685974806303695
margin,500,163,1740,0.07586206896551724,0.09720176730486009,1741,0.07581849511774842,0.09716599190283401
margin,500,174,1503,0.12574850299401197,0.0661648870995974,1507,0.12740544127405443,0.06710940230688571
margin,500,48,3360,0.042261904761904764,0.07768052516411379,3361,0.04254686105325796,0.07818480043739748
margin,500,38,192,0.19791666666666666,0.17272727272727273,193,0.19689119170984457,0.17233560090702948
margin,500,69,1864,0.09603004291845493,0.08121597096188747,1866,0.09646302250803858,0.08161414645205169
margin,500,104,1737,0.7213586643638457,0.6024038461538461,1744,0.7224770642201835,0.6037374221370388
margin,500,47,618,0.0,0.0,618,0.0,0.0
margin,500,66,1954,0.0010235414534288639,0.001520912547528517,1955,0.0010230179028132991,0.0015203344735841885
margin,500,10,1004,0.010956175298804782,0.021442495126705652,1004,0.010956175298804782,0.021442495126705652
margin,500,109,393,0.0,0.0,393,0.0,0.0
margin,500,26,807,0.0037174721189591076,0.006486486486486486,807,0.0037174721189591076,0.006486486486486486
margin,1000,56,12125,0.7040824742268041,0.7267696760737241,12137,0.7041278734448381,0.7268861104023135
margin,1000,163,1738,0.17261219792865362,0.18404907975460122,1741,0.17403790924755888,0.1855480710349051
margin,1000,174,1503,0.13905522288755823,0.1570838030815483,1507,0.14067684140676842,0.15880149812734082
margin,1000,48,3357,0.45576407506702415,0.5733558178752108,3361,0.4564117822076763,0.5739943872778297
margin,1000,38,190,0.8526315789473684,0.37718277066356226,193,0.8549222797927462,0.3815028901734104
margin,1000,69,1863,0.11325818572195384,0.10751592356687899,1866,0.11414790996784566,0.1083969465648855
margin,1000,104,1736,0.7217741935483871,0.6298064840412164,1744,0.7230504587155964,0.6312891113892365
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,66,1954,0.0020470829068577278,0.0034423407917383822,1955,0.0020460358056265983,0.0034408602150537634
margin,1000,10,1004,0.008964143426294821,0.01762977473065622,1004,0.008964143426294821,0.01762977473065622
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.034739454094292806,0.047377326565143825,807,0.03593556381660471,0.048986486486486486
badge,200,56,12133,0.4174565235308662,0.5404396073410158,12137,0.4174837274450029,0.5404511759372833
badge,200,163,1740,0.013793103448275862,0.02252463632097607,1741,0.014359563469270534,0.02344116268166901
badge,200,174,1507,0.0,0.0,1507,0.0,0.0
badge,200,48,3360,0.08065476190476191,0.1238291066940827,3361,0.08063076465337697,0.12380082229328461
badge,200,38,193,0.05181347150259067,0.09216589861751152,193,0.05181347150259067,0.09216589861751152
badge,200,69,1866,0.0,0.0,1866,0.0,0.0
badge,200,104,1744,0.006307339449541285,0.010773751224289911,1744,0.006307339449541285,0.010773751224289911
badge,200,47,618,0.0,0.0,618,0.0,0.0
badge,200,66,1953,0.03379416282642089,0.02760928676009203,1955,0.03375959079283888,0.02759774200292703
badge,200,10,1004,0.02091633466135458,0.039735099337748346,1004,0.02091633466135458,0.039735099337748346
badge,200,109,393,0.0,0.0,393,0.0,0.0
badge,200,26,806,0.019851116625310174,0.01627670396744659,807,0.021065675340768277,0.017276422764227643
badge,500,56,12132,0.513930102209034,0.6127463023930028,12137,0.5138831671747549,0.6127019991158701
badge,500,163,1739,0.03220241518113859,0.04622368964094098,1741,0.03331418724870764,0.047795632468067575
badge,500,174,1507,0.0,0.0,1507,0.0,0.0
badge,500,48,3358,0.5253126861226921,0.5720771850170261,3361,0.525438857482892,0.5722618276085548
badge,500,38,191,0.6544502617801047,0.21626297577854672,193,0.6580310880829016,0.2189655172413793
badge,500,69,1866,0.0,0.0,1866,0.0,0.0
badge,500,104,1743,0.5341365461847389,0.5685496183206107,1744,0.5344036697247706,0.5688129386634116
badge,500,47,617,0.3760129659643436,0.3491346877351392,618,0.37702265372168287,0.3501126972201352
badge,500,66,1950,0.1082051282051282,0.057610921501706484,1955,0.10946291560102302,0.05836628937678985
badge,500,10,1004,0.02888446215139442,0.052205220522052204,1004,0.02888446215139442,0.052205220522052204
badge,500,109,393,0.0,0.0,393,0.0,0.0
badge,500,26,806,0.018610421836228287,0.02262443438914027,807,0.01982651796778191,0.024096385542168676
