method,confidence_threshold,class_id,silver_true_count,silver_pseudo_count,silver_class_accuracy,holdout_support,holdout_recall,holdout_f1,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
self_evolving,0.9,56,2677,9,0.3333333333333333,2426,0.00041220115416323167,0.0008159934720522236,9460,0.00010570824524312896,0.00020881186051367718,12137,0.00032957073411881023,0.0006523157208088715
self_evolving,0.9,163,136,10,0.2,340,0.0,0.0,1605,0.0024922118380062306,0.004301075268817204,1741,0.0034462952326249283,0.005982053838484547
self_evolving,0.9,174,252,4,0.0,323,0.0,0.0,1255,0.0,0.0,1507,0.0,0.0
self_evolving,0.9,48,340,1,0.0,724,0.0,0.0,3021,0.0,0.0,3361,0.0,0.0
self_evolving,0.9,38,29,13,0.38461538461538464,37,0.05405405405405406,0.08695652173913043,164,0.042682926829268296,0.06896551724137931,193,0.06217616580310881,0.09795918367346938
self_evolving,0.9,69,211,16,0.0,372,0.008064516129032258,0.01327433628318584,1655,0.0030211480362537764,0.005055611729019211,1866,0.0026795284030010718,0.0045351473922902496
self_evolving,0.9,104,85,24,0.0,334,0.0,0.0,1659,0.0,0.0,1744,0.0,0.0
self_evolving,0.9,47,74,5,0.0,113,0.0,0.0,544,0.0,0.0,618,0.0,0.0
self_evolving,0.9,66,301,36,0.0,394,0.0,0.0,1654,0.0,0.0,1955,0.0,0.0
self_evolving,0.9,10,188,12,0.75,193,0.07253886010362694,0.1222707423580786,816,0.07107843137254902,0.11946446961894953,1004,0.06673306772908366,0.11443210930828351
self_evolving,0.9,109,36,7,0.0,76,0.0,0.0,357,0.0,0.0,393,0.0,0.0
self_evolving,0.9,26,98,27,0.1111111111111111,151,0.033112582781456956,0.04926108374384237,709,0.022566995768688293,0.03268641470888662,807,0.023543990086741014,0.034420289855072464
self_evolving,0.95,56,1487,5,0.4,2426,0.001236603462489695,0.0024640657084188913,10650,0.0008450704225352113,0.0016819286114744907,12137,0.0009063195188267282,0.0018041659832704609
self_evolving,0.95,163,57,0,,340,0.0,0.0,1684,0.0,0.0,1741,0.0,0.0
self_evolving,0.95,174,84,2,0.0,323,0.0,0.0,1423,0.0,0.0,1507,0.0,0.0
self_evolving,0.95,48,314,0,,724,0.0,0.0,3047,0.0,0.0,3361,0.0,0.0
self_evolving,0.95,38,13,12,0.4166666666666667,37,0.05405405405405406,0.08695652173913043,180,0.03888888888888889,0.06167400881057269,193,0.06217616580310881,0.09523809523809523
self_evolving,0.95,69,23,9,0.0,372,0.002688172043010753,0.005076142131979695,1843,0.0010851871947911015,0.002073613271124935,1866,0.0010718113612004287,0.002039775624681285
self_evolving,0.95,104,27,14,0.0,334,0.0,0.0,1717,0.0,0.0,1744,0.0,0.0
