method,confidence_threshold,class_id,full_support,full_recall,full_f1,silver_count
self_evolving+replay+kd,0.9,56,12137,0.00041196341764851283,0.0007890791446382073,10
self_evolving+replay+kd,0.9,163,1741,0.007466973004020678,0.013333333333333334,12
self_evolving+replay+kd,0.9,174,1507,0.0,0.0,5
self_evolving+replay+kd,0.9,48,3361,0.0005950609937518596,0.0011858879335902757,3
self_evolving+replay+kd,0.9,38,193,0.05181347150259067,0.08928571428571429,15
self_evolving+replay+kd,0.9,69,1866,0.006966773847802787,0.01270772238514174,21
self_evolving+replay+kd,0.9,104,1744,0.0040137614678899085,0.0069617105917454,25
self_evolving+replay+kd,0.9,47,618,0.0016181229773462784,0.0029850746268656717,9
self_evolving+replay+kd,0.9,66,1955,0.0005115089514066496,0.0008669267446900737,42
self_evolving+replay+kd,0.9,10,1004,0.07669322709163347,0.13184931506849315,19
self_evolving+replay+kd,0.9,109,393,0.0,0.0,8
self_evolving+replay+kd,0.9,26,807,0.013630731102850062,0.016176470588235296,32
self_evolving+replay+kd,0.95,56,12137,0.00041196341764851283,0.000790263948158685,6
self_evolving+replay+kd,0.95,163,1741,0.007466973004020678,0.013238289205702648,0
self_evolving+replay+kd,0.95,174,1507,0.0,0.0,3
self_evolving+replay+kd,0.95,48,3361,0.0005950609937518596,0.0011869436201780415,2
self_evolving+replay+kd,0.95,38,193,0.05181347150259067,0.08658008658008658,14
self_evolving+replay+kd,0.95,69,1866,0.007502679528403001,0.013631937682570594,10
self_evolving+replay+kd,0.95,104,1744,0.005160550458715597,0.008950770760815515,14
self_evolving+replay+kd,0.95,47,618,0.0,0.0,3
self_evolving+replay+kd,0.95,66,1955,0.0005115089514066496,0.0008532423208191126,18
self_evolving+replay+kd,0.95,10,1004,0.08565737051792828,0.14638297872340425,5
self_evolving+replay+kd,0.95,109,393,0.0,0.0,3
self_evolving+replay+kd,0.95,26,807,0.013630731102850062,0.016975308641975308,14
self_evolving+replay+kd,0.99,56,12137,0.00041196341764851283,0.0007883326763894363,0
self_evolving+replay+kd,0.99,163,1741,0.014359563469270534,0.024521824423737126,0
self_evolving+replay+kd,0.99,174,1507,0.0,0.0,1
self_evolving+replay+kd,0.99,48,3361,0.0002975304968759298,0.0005920663114268798,1
self_evolving+replay+kd,0.99,38,193,0.05181347150259067,0.08658008658008658,6
self_evolving+replay+kd,0.99,69,1866,0.006966773847802787,0.012506012506012507,1
self_evolving+replay+kd,0.99,104,1744,0.009174311926605505,0.01556420233463035,6
self_evolving+replay+kd,0.99,47,618,0.0,0.0,0
self_evolving+replay+kd,0.99,66,1955,0.0005115089514066496,0.0008507018290089324,0
self_evolving+replay+kd,0.99,10,1004,0.09760956175298804,0.1623860811930406,0
self_evolving+replay+kd,0.99,109,393,0.0,0.0,1
self_evolving+replay+kd,0.99,26,807,0.01858736059479554,0.022172949002217297,0
self_evolving+replay+kd,0.997,56,12137,0.00041196341764851283,0.000787959971633441,0
self_evolving+replay+kd,0.997,163,1741,0.01723147616312464,0.02866698518872432,0
self_evolving+replay+kd,0.997,174,1507,0.0,0.0,0
self_evolving+replay+kd,0.997,48,3361,0.0008925914906277894,0.0017735737511084836,0
self_evolving+replay+kd,0.997,38,193,0.05181347150259067,0.08695652173913043,1
self_evolving+replay+kd,0.997,69,1866,0.007502679528403001,0.013157894736842105,0
self_evolving+replay+kd,0.997,104,1744,0.009174311926605505,0.015518913676042677,0
self_evolving+replay+kd,0.997,47,618,0.0,0.0,0
self_evolving+replay+kd,0.997,66,1955,0.0010230179028132991,0.0016743407283382169,0
self_evolving+replay+kd,0.997,10,1004,0.0946215139442231,0.15728476821192053,0
self_evolving+replay+kd,0.997,109,393,0.0,0.0,0
self_evolving+replay+kd,0.997,26,807,0.021065675340768277,0.024113475177304965,0
