method,confidence_threshold,class_id,silver_true_count,silver_pseudo_count,silver_class_accuracy,holdout_support,holdout_recall,holdout_f1,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
self_evolving+replay+kd,0.9,56,2699,6,0.5,2451,0.0008159934720522236,0.00156128024980484,9438,0.00021190930281839374,0.0003971800218449012,12137,0.00041196341764851283,0.0007825950853028644
self_evolving+replay+kd,0.9,163,147,9,0.1111111111111111,350,0.0,0.0,1594,0.0,0.0,1741,0.0,0.0
self_evolving+replay+kd,0.9,174,248,4,0.0,317,0.0,0.0,1259,0.0,0.0,1507,0.0,0.0
self_evolving+replay+kd,0.9,48,338,2,0.0,651,0.0,0.0,3023,0.0,0.0,3361,0.0,0.0
self_evolving+replay+kd,0.9,38,31,11,0.45454545454545453,34,0.0,0.0,162,0.0,0.0,193,0.010362694300518135,0.018957345971563982
self_evolving+replay+kd,0.9,69,209,17,0.0,391,0.0025575447570332483,0.004830917874396135,1657,0.0006035003017501509,0.001128668171557562,1866,0.0005359056806002144,0.000996512207274539
self_evolving+replay+kd,0.9,104,76,13,0.0,369,0.0,0.0,1668,0.0,0.0,1744,0.0,0.0
self_evolving+replay+kd,0.9,47,71,7,0.0,125,0.0,0.0,547,0.0,0.0,618,0.0,0.0
self_evolving+replay+kd,0.9,66,299,39,0.0,387,0.0,0.0,1656,0.0,0.0,1955,0.0,0.0
self_evolving+replay+kd,0.9,10,189,14,0.5714285714285714,188,0.0,0.0,815,0.001226993865030675,0.002386634844868735,1004,0.00398406374501992,0.007744433688286544
self_evolving+replay+kd,0.9,109,39,6,0.0,90,0.0,0.0,354,0.0,0.0,393,0.0,0.0
self_evolving+replay+kd,0.9,26,101,26,0.11538461538461539,177,0.005649717514124294,0.01098901098901099,706,0.00141643059490085,0.0027816411682892906,807,0.0012391573729863693,0.00243605359317905
self_evolving+replay+kd,0.95,56,1469,2,1.0,2451,0.0004079967360261118,0.000814000814000814,10668,9.373828271466067e-05,0.0001871082421180653,12137,0.0002471780505891077,0.0004931777083675817
self_evolving+replay+kd,0.95,163,67,0,,350,0.0,0.0,1674,0.0011947431302270011,0.0022701475595913734,1741,0.0011487650775416428,0.002186987424822307
self_evolving+replay+kd,0.95,174,88,2,0.0,317,0.0,0.0,1419,0.0,0.0,1507,0.0,0.0
self_evolving+replay+kd,0.95,48,310,1,0.0,651,0.0030721966205837174,0.0061068702290076335,3051,0.0022943297279580466,0.004545454545454545,3361,0.0020827134781315083,0.004129793510324484
self_evolving+replay+kd,0.95,38,15,10,0.5,34,0.08823529411764706,0.15384615384615385,178,0.056179775280898875,0.09900990099009901,193,0.07253886010362694,0.12444444444444444
self_evolving+replay+kd,0.95,69,21,9,0.0,391,0.0025575447570332483,0.004878048780487805,1845,0.001084010840108401,0.0020470829068577278,1866,0.0010718113612004287,0.0020161290322580645
self_evolving+replay+kd,0.95,104,23,6,0.0,369,0.0,0.0,1721,0.0005810575246949448,0.0010400416016640667,1744,0.0005733944954128441,0.0010251153254741158
self_evolving+replay+kd,0.95,47,41,3,0.0,125,0.0,0.0,577,0.0,0.0,618,0.0,0.0
self_evolving+replay+kd,0.95,66,213,17,0.0,387,0.002583979328165375,0.004366812227074236,1742,0.001148105625717566,0.0018867924528301887,1955,0.0010230179028132991,0.0017006802721088435
self_evolving+replay+kd,0.95,10,104,4,0.5,188,0.026595744680851064,0.04405286343612335,900,0.028888888888888888,0.047926267281105994,1004,0.027888446215139442,0.04686192468619247
self_evolving+replay+kd,0.95,109,17,2,0.0,90,0.0,0.0,376,0.0,0.0,393,0.0,0.0
self_evolving+replay+kd,0.95,26,74,13,0.15384615384615385,177,0.005649717514124294,0.009950248756218905,733,0.004092769440654843,0.006795016987542469,807,0.004956629491945477,0.008255933952528379
self_evolving+replay+kd,0.99,56,145,0,,2451,0.0,0.0,11992,0.0,0.0,12137,0.0,0.0
self_evolving+replay+kd,0.99,163,6,0,,350,0.002857142857142857,0.004524886877828055,1735,0.002881844380403458,0.004574565416285453,1741,0.002871912693854107,0.004545454545454545
self_evolving+replay+kd,0.99,174,6,1,0.0,317,0.0,0.0,1501,0.0,0.0,1507,0.0,0.0
self_evolving+replay+kd,0.99,48,112,0,,651,0.0,0.0,3249,0.0,0.0,3361,0.0,0.0
self_evolving+replay+kd,0.99,38,5,6,0.8333333333333334,34,0.029411764705882353,0.05714285714285714,188,0.010638297872340425,0.02040816326530612,193,0.010362694300518135,0.019801980198019802
self_evolving+replay+kd,0.99,69,1,1,0.0,391,0.0,0.0,1865,0.0005361930294906167,0.0007742934572202865,1866,0.0005359056806002144,0.0007662835249042146
self_evolving+replay+kd,0.99,104,7,3,0.0,369,0.013550135501355014,0.005437737901033171,1737,0.008635578583765112,0.003178976369608986,1744,0.008600917431192661,0.0031705770450221942
self_evolving+replay+kd,0.99,47,12,0,,125,0.0,0.0,606,0.0,0.0,618,0.0,0.0
self_evolving+replay+kd,0.99,66,93,0,,387,0.0,0.0,1862,0.0005370569280343716,0.0006635700066357001,1955,0.0005115089514066496,0.0006412311638345624
self_evolving+replay+kd,0.99,10,25,0,,188,0.15425531914893617,0.10820895522388059,979,0.11542390194075587,0.08357988165680473,1004,0.11354581673306773,0.08296943231441048
self_evolving+replay+kd,0.99,109,1,0,,90,0.0,0.0,392,0.0,0.0,393,0.0,0.0
self_evolving+replay+kd,0.99,26,17,0,,177,0.011299435028248588,0.015810276679841896,790,0.006329113924050633,0.008764241893076249,807,0.006195786864931847,0.008547008547008548
self_evolving+replay+kd,0.997,56,27,0,,2451,0.0,0.0,12110,8.257638315441784e-05,0.00015335071308081582,12137,8.239268352970256e-05,0.00015301048121796343
self_evolving+replay+kd,0.997,163,0,0,,350,0.011428571428571429,0.0215633423180593,1741,0.014359563469270534,0.026624068157614485,1741,0.014359563469270534,0.026624068157614485
self_evolving+replay+kd,0.997,174,1,0,,317,0.0,0.0,1506,0.0,0.0,1507,0.0,0.0
self_evolving+replay+kd,0.997,48,11,0,,651,0.0,0.0,3350,0.0008955223880597015,0.0017518248175182481,3361,0.0008925914906277894,0.0017462165308498253
self_evolving+replay+kd,0.997,38,1,1,1.0,34,0.0,0.0,192,0.0,0.0,193,0.0,0.0
self_evolving+replay+kd,0.997,69,0,0,,391,0.0025575447570332483,0.004819277108433735,1866,0.0021436227224008574,0.003940886699507389,1866,0.0021436227224008574,0.003938946331856229
self_evolving+replay+kd,0.997,104,1,0,,369,0.0,0.0,1743,0.0011474469305794606,0.0005506607929515419,1744,0.0011467889908256881,0.0005505849965588438
self_evolving+replay+kd,0.997,47,4,0,,125,0.0,0.0,614,0.0,0.0,618,0.0,0.0
self_evolving+replay+kd,0.997,66,43,0,,387,0.0,0.0,1912,0.0,0.0,1955,0.0,0.0
self_evolving+replay+kd,0.997,10,8,0,,188,0.09574468085106383,0.10778443113772455,996,0.06124497991967871,0.07015526164462335,1004,0.060756972111553786,0.06983400114481969
self_evolving+replay+kd,0.997,109,0,0,,90,0.0,0.0,393,0.0,0.0,393,0.0,0.0
self_evolving+replay+kd,0.997,26,5,0,,177,0.022598870056497175,0.02711864406779661,802,0.012468827930174564,0.014124293785310734,807,0.012391573729863693,0.014025245441795231
