method,confidence_threshold,class_id,silver_true_count,silver_pseudo_count,silver_class_accuracy,holdout_support,holdout_recall,holdout_f1,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
self_evolving,0.9,56,2702,9,0.3333333333333333,2414,0.00041425020712510354,0.0008257638315441783,9435,0.0003179650238473768,0.0006343165239454488,12137,0.0004943561011782154,0.0009859502095144195
self_evolving,0.9,163,141,8,0.125,343,0.0,0.0,1600,0.0,0.0,1741,0.0005743825387708214,0.0010857763300760044
self_evolving,0.9,174,248,3,0.0,321,0.0,0.0,1259,0.0,0.0,1507,0.0,0.0
self_evolving,0.9,48,352,3,0.0,664,0.0015060240963855422,0.0029985007496251873,3009,0.00033233632436025255,0.0006600660066006601,3361,0.0002975304968759298,0.0005908419497784342
self_evolving,0.9,38,28,12,0.3333333333333333,33,0.06060606060606061,0.10256410256410256,165,0.04242424242424243,0.06965174129353234,193,0.05699481865284974,0.09090909090909091
self_evolving,0.9,69,216,17,0.0,389,0.0,0.0,1650,0.0012121212121212121,0.002185792349726776,1866,0.0010718113612004287,0.0019351717464925011
self_evolving,0.9,104,86,22,0.0,324,0.0,0.0,1658,0.0,0.0,1744,0.0,0.0
self_evolving,0.9,47,68,7,0.0,115,0.0,0.0,550,0.0,0.0,618,0.0,0.0
self_evolving,0.9,66,287,32,0.0,386,0.0,0.0,1668,0.0,0.0,1955,0.0,0.0
self_evolving,0.9,10,180,17,0.6470588235294118,211,0.052132701421800945,0.09243697478991597,824,0.07766990291262135,0.13375130616509928,1004,0.07470119521912351,0.12998266897746968
self_evolving,0.9,109,36,6,0.0,87,0.0,0.0,357,0.0,0.0,393,0.0,0.0
self_evolving,0.9,26,101,28,0.10714285714285714,138,0.0,0.0,706,0.0113314447592068,0.019138755980861243,807,0.012391573729863693,0.02081165452653486
self_evolving,0.95,56,1509,6,0.5,2414,0.0008285004142502071,0.0016522098306484924,10628,0.0002822732404968009,0.0005633802816901409,12137,0.0004943561011782154,0.0009864364981504315
self_evolving,0.95,163,63,0,,343,0.0,0.0,1678,0.0,0.0,1741,0.0,0.0
self_evolving,0.95,174,86,3,0.0,321,0.0,0.0,1421,0.0,0.0,1507,0.0,0.0
self_evolving,0.95,48,324,2,0.0,664,0.0,0.0,3037,0.0,0.0,3361,0.0,0.0
self_evolving,0.95,38,13,11,0.36363636363636365,33,0.06060606060606061,0.0975609756097561,180,0.027777777777777776,0.043478260869565216,193,0.046632124352331605,0.07086614173228346
self_evolving,0.95,69,26,8,0.0,389,0.0,0.0,1840,0.0,0.0,1866,0.0,0.0
self_evolving,0.95,104,25,12,0.0,324,0.0,0.0,1719,0.0,0.0,1744,0.0,0.0
self_evolving,0.95,47,42,2,0.0,115,0.0,0.0,576,0.0,0.0,618,0.0,0.0
self_evolving,0.95,66,199,14,0.0,386,0.0,0.0,1756,0.0,0.0,1955,0.0,0.0
self_evolving,0.95,10,99,5,0.6,211,0.03317535545023697,0.061946902654867256,905,0.05082872928176796,0.0931174089068826,1004,0.04880478087649402,0.08974358974358974
self_evolving,0.95,109,16,2,0.0,87,0.0,0.0,377,0.0,0.0,393,0.0,0.0
self_evolving,0.95,26,73,13,0.15384615384615385,138,0.0,0.0,734,0.004087193460490463,0.007722007722007722,807,0.006195786864931847,0.011587485515643106
self_evolving,0.99,56,144,0,,2414,0.0,0.0,11993,0.0,0.0,12137,0.0,0.0
self_evolving,0.99,163,6,0,,343,0.0,0.0,1735,0.0,0.0,1741,0.0,0.0
