strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,56,12134,0.6322729520356024,0.7082390953150243,12137,0.6322814534069374,0.7082602676511306
margin,200,163,1741,0.043653072946582425,0.05575935436537051,1741,0.043653072946582425,0.05575935436537051
margin,200,174,1505,0.000664451827242525,0.0010460251046025104,1507,0.0006635700066357001,0.0010449320794148381
margin,200,48,3360,0.013392857142857142,0.025936599423631124,3361,0.01368640285629277,0.026497695852534562
margin,200,38,193,0.06735751295336788,0.07262569832402235,193,0.06735751295336788,0.07262569832402235
margin,200,69,1865,0.019839142091152815,0.020475926950747094,1866,0.01982851018220793,0.020470262793914246
margin,200,104,1741,0.6117174037909248,0.5617088607594937,1744,0.6123853211009175,0.5624012638230648
margin,200,47,618,0.003236245954692557,0.005434782608695652,618,0.003236245954692557,0.005434782608695652
margin,200,66,1955,0.001534526854219949,0.0025020850708924102,1955,0.001534526854219949,0.0025020850708924102
margin,200,10,1004,0.10856573705179283,0.17426059152677859,1004,0.10856573705179283,0.17426059152677859
margin,200,109,393,0.0,0.0,393,0.0,0.0
margin,200,26,807,0.013630731102850062,0.014511873350923483,807,0.013630731102850062,0.014511873350923483
margin,500,56,12134,0.650074171748805,0.7351351351351352,12137,0.6500782730493532,0.7351502445842069
margin,500,163,1740,0.10114942528735632,0.1270299530855287,1741,0.10109132682366456,0.12698412698412698
margin,500,174,1503,0.19494344644045242,0.24365904365904367,1507,0.1964167219641672,0.24543946932006633
margin,500,48,3360,0.010416666666666666,0.02037252619324796,3361,0.010711097887533471,0.020942408376963352
margin,500,38,192,0.18229166666666666,0.1437371663244353,193,0.18134715025906736,0.14344262295081966
margin,500,69,1864,0.05847639484978541,0.056579288865818846,1866,0.05894962486602358,0.05705394190871369
margin,500,104,1737,0.6971790443293034,0.6750278706800446,1744,0.698394495412844,0.6762909494725152
margin,500,47,618,0.003236245954692557,0.005681818181818182,618,0.003236245954692557,0.005681818181818182
margin,500,66,1954,0.00255885363357216,0.0036469730123997084,1955,0.0025575447570332483,0.0036456434560699965
margin,500,10,1004,0.11752988047808766,0.18394388152766952,1004,0.11752988047808766,0.18394388152766952
margin,500,109,393,0.0,0.0,393,0.0,0.0
margin,500,26,807,0.012391573729863693,0.01358695652173913,807,0.012391573729863693,0.01358695652173913
margin,1000,56,12125,0.7103505154639175,0.7767506876493665,12137,0.7106368954436846,0.7769920273861538
margin,1000,163,1738,0.12025316455696203,0.15743879472693031,1741,0.12119471568064331,0.1586466165413534
margin,1000,174,1503,0.18895542248835662,0.26259824318076747,1507,0.19044459190444593,0.2645161290322581
margin,1000,48,3357,0.4229967232648198,0.5620423510785671,3361,0.423683427551324,0.5627346374234341
margin,1000,38,190,0.8052631578947368,0.4015748031496063,193,0.8082901554404145,0.40625
margin,1000,69,1863,0.052603327965646804,0.06049382716049383,1866,0.05305466237942122,0.06103575832305795
margin,1000,104,1736,0.7137096774193549,0.6910206358059119,1744,0.7150229357798165,0.6923931149361466
margin,1000,47,618,0.0016181229773462784,0.0029940119760479044,618,0.0016181229773462784,0.0029940119760479044
margin,1000,66,1954,0.0015353121801432957,0.002512562814070352,1955,0.001534526854219949,0.0025115110925073253
margin,1000,10,1004,0.06872509960159362,0.11339359079704191,1004,0.06872509960159362,0.11339359079704191
margin,1000,109,393,0.0,0.0,393,0.0,0.0
margin,1000,26,806,0.034739454094292806,0.043010752688172046,807,0.03469640644361834,0.042977743668457406
