period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-7,5,14,1,949,0.0368809272918862,0.03161222339304531,-0.005268703898840883,35,30,-5
M-2022-7,5,6,2,949,0.026343519494204427,0.026343519494204427,0.0,25,25,0
M-2022-7,5,124,3,949,0.01685985247629083,0.018967334035827187,0.002107481559536356,16,18,2
M-2022-7,5,177,4,949,0.012644889357218124,0.0136986301369863,0.0010537407797681763,12,13,1
M-2022-7,5,151,5,949,0.009483667017913594,0.006322444678609062,-0.0031612223393045315,9,6,-3
M-2022-7,6,5,1,1455,0.6707903780068728,0.6701030927835051,-0.0006872852233676952,976,975,-1
M-2022-7,6,151,2,1455,0.0013745704467353953,0.0013745704467353953,0.0,2,2,0
M-2022-7,6,14,3,1455,0.0006872852233676976,0.0006872852233676976,0.0,1,1,0
M-2022-7,6,29,4,1455,0.0006872852233676976,0.0006872852233676976,0.0,1,1,0
M-2022-7,6,94,5,1455,0.0006872852233676976,0.0006872852233676976,0.0,1,1,0
M-2022-7,10,12,1,1346,0.04309063893016345,0.04977711738484398,0.006686478454680532,58,67,9
M-2022-7,10,156,2,1346,0.020802377414561663,0.014858841010401188,-0.005943536404160475,28,20,-8
M-2022-7,10,138,3,1346,0.017830609212481426,0.017087667161961365,-0.0007429420505200603,24,23,-1
M-2022-7,10,28,4,1346,0.006686478454680535,0.007429420505200594,0.0007429420505200594,9,10,1
M-2022-7,10,115,5,1346,0.005943536404160475,0.005200594353640416,-0.0007429420505200594,8,7,-1
M-2022-7,11,133,1,1290,0.07209302325581396,0.07209302325581396,0.0,93,93,0
M-2022-7,11,61,2,1290,0.037209302325581395,0.043410852713178294,0.006201550387596899,48,56,8
M-2022-7,11,153,3,1290,0.030232558139534883,0.024806201550387597,-0.005426356589147287,39,32,-7
M-2022-7,11,88,4,1290,0.023255813953488372,0.021705426356589147,-0.0015503875968992248,30,28,-2
M-2022-7,11,171,5,1290,0.015503875968992248,0.014728682170542635,-0.0007751937984496124,20,19,-1
M-2022-7,12,10,1,1813,0.03033645890788748,0.028681742967457253,-0.0016547159404302278,55,52,-3
M-2022-7,12,28,2,1813,0.014340871483728626,0.014340871483728626,0.0,26,26,0
M-2022-7,12,61,3,1813,0.014340871483728626,0.011583011583011582,-0.002757859900717044,26,21,-5
M-2022-7,12,115,4,1813,0.007722007722007722,0.006618863761720904,-0.001103143960286818,14,12,-2
M-2022-7,12,50,5,1813,0.006067291781577496,0.006067291781577496,0.0,11,11,0
M-2022-7,14,129,1,4897,0.23994282213600163,0.23994282213600163,0.0,1175,1175,0
M-2022-7,14,153,2,4897,0.07392280988360221,0.06616295691239535,-0.007759852971206863,362,324,-38
M-2022-7,14,63,3,4897,0.05125587094139269,0.05881151725546253,0.007555646314069839,251,288,37
M-2022-7,14,61,4,4897,0.033081478456197674,0.03430671839901981,0.0012252399428221358,162,168,6
M-2022-7,14,71,5,4897,0.026342658770675924,0.025730038799264856,-0.0006126199714110679,129,126,-3
M-2022-7,26,13,1,952,0.03466386554621849,0.03361344537815126,-0.00105042016806723,33,32,-1
M-2022-7,26,155,2,952,0.03466386554621849,0.03361344537815126,-0.00105042016806723,33,32,-1
M-2022-7,26,136,3,952,0.028361344537815126,0.0273109243697479,-0.0010504201680672266,27,26,-1
M-2022-7,26,61,4,952,0.01365546218487395,0.01365546218487395,0.0,13,13,0
M-2022-7,26,159,5,952,0.011554621848739496,0.008403361344537815,-0.0031512605042016816,11,8,-3
M-2022-7,28,142,1,10579,0.07770110596464694,0.07656678324983458,-0.0011343227148123552,822,810,-12
M-2022-7,28,117,2,10579,0.020228755080820494,0.017676528972492674,-0.00255222610832782,214,187,-27
M-2022-7,28,172,3,10579,0.01701484072218546,0.01881085168730504,0.0017960109651195787,180,199,19
M-2022-7,28,49,4,10579,0.012572076755837035,0.012193969184232914,-0.00037810757160412073,133,129,-4
M-2022-7,28,59,5,10579,0.011910388505529824,0.013328291899045278,0.0014179033935154545,126,141,15
M-2022-7,38,156,1,102,0.3235294117647059,0.30392156862745096,-0.019607843137254943,33,31,-2
M-2022-7,38,129,2,102,0.058823529411764705,0.058823529411764705,0.0,6,6,0
M-2022-7,38,125,3,102,0.0392156862745098,0.049019607843137254,0.00980392156862745,4,5,1
M-2022-7,38,133,4,102,0.029411764705882353,0.00980392156862745,-0.0196078431372549,3,1,-2
M-2022-7,38,62,5,102,0.0196078431372549,0.0196078431372549,0.0,2,2,0
M-2022-7,47,6,1,384,0.013020833333333334,0.018229166666666668,0.005208333333333334,5,7,2
M-2022-7,47,177,2,384,0.010416666666666666,0.010416666666666666,0.0,4,4,0
M-2022-7,47,14,3,384,0.0078125,0.005208333333333333,-0.002604166666666667,3,2,-1
M-2022-7,47,117,4,384,0.005208333333333333,0.0026041666666666665,-0.0026041666666666665,2,1,-1
M-2022-7,47,151,5,384,0.005208333333333333,0.005208333333333333,0.0,2,2,0
