period,group,recovery_bin,n,mean_delta_f1,median_delta_f1,mean_accepted_rate,median_accepted_rate
M-2022-10,bad,harmed,1,-0.01790733877858014,-0.01790733877858014,0.05456453305351522,0.05456453305351522
M-2022-10,bad,recovered,4,0.03742710832509718,0.02877141771366469,0.3509183609799798,0.2692503283397962
M-2022-10,bad,unchanged,15,-0.00024556661964840324,0.0,0.2233312639891499,0.06746626686656672
M-2022-10,other,harmed,14,-0.029640172749236,-0.016954134670967902,0.3330856460039851,0.3679297015511944
M-2022-10,other,recovered,28,0.027413399531225575,0.016581909666559647,0.2162395374733765,0.19863569174924747
M-2022-10,other,unchanged,96,-0.0006779290108245782,-0.0011106688609630044,0.4480652801637121,0.4258860530820868
M-2022-10,stable,recovered,1,0.03795768987395898,0.03795768987395898,0.07428571428571429,0.07428571428571429
M-2022-10,stable,unchanged,19,-4.8718323086096115e-05,-0.0001153403763149985,0.7440557550993938,0.8045757864632984
M-2022-12,bad,harmed,2,-0.03032128090683585,-0.03032128090683585,0.10723043553619949,0.10723043553619949
M-2022-12,bad,recovered,5,0.04598763973684507,0.04271900869944434,0.28722863556032585,0.21314387211367672
M-2022-12,bad,unchanged,13,0.0015422554079329491,0.0,0.05953383462313543,0.011326860841423949
M-2022-12,other,harmed,41,-0.027866893073397694,-0.02110394874111665,0.4420894014720071,0.37955555555555553
M-2022-12,other,recovered,40,0.043921581617721535,0.029818333116404555,0.29364227880588895,0.211392906369556
M-2022-12,other,unchanged,57,-0.0028071790062804583,-0.0035035552022776306,0.37184757188289574,0.3557421480576075
M-2022-12,stable,harmed,4,-0.017902700787067266,-0.017673393057839548,0.7552006744338663,0.7784305799106623
M-2022-12,stable,recovered,1,0.021555885478780845,0.021555885478780845,0.34868421052631576,0.34868421052631576
M-2022-12,stable,unchanged,15,-0.0011383906881287543,-0.000800339328125399,0.7197766517903669,0.7029584916908861
M-2022-7,bad,harmed,2,-0.016887156738671694,-0.016887156738671694,0.18873581993548083,0.18873581993548083
M-2022-7,bad,recovered,2,0.016720644660985995,0.016720644660985995,0.5122680172087287,0.5122680172087287
M-2022-7,bad,unchanged,16,-0.0016318227023173488,-0.00023181799496741504,0.3643096620349585,0.2725729624489932
M-2022-7,other,harmed,14,-0.019593612823943035,-0.019891222034276013,0.35355948489503425,0.24208509271158438
M-2022-7,other,recovered,17,0.02492691370331811,0.016220981407306323,0.2869379132012659,0.18151026100816897
M-2022-7,other,unchanged,107,-0.0007638220892567299,-0.0006034519664082083,0.47401280922194,0.45444854448544486
M-2022-7,stable,harmed,2,-0.017554490416049895,-0.017554490416049895,0.391277907183899,0.391277907183899
M-2022-7,stable,recovered,1,0.03174232100398133,0.03174232100398133,0.9029809397163121,0.9029809397163121
M-2022-7,stable,unchanged,17,-0.0005689662767731675,-0.00020034004888291879,0.9481826522022236,0.8504330446369087
