class,accepted,reference_support,target_support,accepted_per_target_support
0,442,1414,950,0.4652631578947368
1,1049,10792,3117,0.3365415463586782
2,1178,7583,3678,0.32028276237085374
3,673,1593,743,0.9057873485868102
4,727,3737,869,0.8365937859608745
5,876,2093,1080,0.8111111111111111
6,283,2729,1684,0.1680522565320665
7,10,36,33,0.30303030303030304
8,679,1574,1142,0.5945709281961471
9,31,1547,910,0.03406593406593406
10,27,2020,1004,0.026892430278884463
11,110,1685,1749,0.06289308176100629
12,74,2788,263,0.2813688212927757
13,93,2093,1090,0.0853211009174312
14,37,10401,5821,0.00635629616904312
15,399,751,715,0.558041958041958
16,41,2008,1186,0.03456998313659359
17,6189,10007,8301,0.7455728225514998
18,16017,21926,25658,0.6242497466677059
19,5608,13185,22936,0.24450645273805371
20,429,1281,1125,0.38133333333333336
21,1463,2620,2095,0.6983293556085919
22,371,4636,743,0.4993270524899058
23,3081,12840,5114,0.6024638247946813
24,823,10253,4154,0.1981222917669716
25,16023,54557,34385,0.4659880761960157
26,27,2293,807,0.03345724907063197
27,5159,19386,7371,0.6999050332383666
28,815,16366,5815,0.14015477214101463
29,8396,29653,30274,0.2773336856708727
30,470,8131,645,0.7286821705426356
31,886,7973,952,0.930672268907563
32,71,2331,998,0.07114228456913828
33,16,204,630,0.025396825396825397
34,245,588,1240,0.1975806451612903
35,520,875,930,0.5591397849462365
36,21,826,216,0.09722222222222222
37,682,1989,866,0.7875288683602771
38,20,77,193,0.10362694300518134
39,2478,4388,4483,0.5527548516618336
40,323,2334,737,0.43826322930800543
41,135,2121,1636,0.08251833740831296
42,83,1839,1444,0.0574792243767313
43,390,2042,1992,0.19578313253012047
44,1034,2910,1181,0.8755292125317528
45,217,2192,1463,0.14832535885167464
46,1675,9798,7420,0.22574123989218328
47,7,3839,618,0.011326860841423949
48,4,5001,3361,0.0011901219875037191
49,14461,40220,31563,0.45816303900136235
50,29,4546,1528,0.018979057591623036
51,5286,21842,11645,0.45392872477458135
52,520,2301,1274,0.40816326530612246
53,2064,9775,5505,0.3749318801089918
54,170,6663,5063,0.03357693067351373
55,254,8193,4063,0.0625153827221265
56,17,10094,12137,0.0014006756200049435
57,1572,3065,2331,0.6743886743886743
58,1,2286,15,0.06666666666666667
59,5909,13724,6030,0.9799336650082918
60,7583,49622,24845,0.3052123163614409
61,4567,19676,10494,0.43520106727653896
62,8708,15549,11221,0.776044915782907
