class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
0,other,1414,950,442,0.8807339449541285,0.8922577152138603,0.011523770259731836,0.8589473684210527,0.8673684210526316,0.008421052631578885
1,other,10792,3117,1049,0.7320779649818302,0.7495042961004627,0.017426331118632454,0.7109400064164261,0.7276227141482194,0.016682707731793367
2,other,7583,3678,1178,0.47664695084642056,0.46153846153846156,-0.015108489307958994,0.6353996737357259,0.6076672104404568,-0.027732463295269127
3,other,1593,743,673,0.9085173501577287,0.8464681844716871,-0.062049165686041574,0.9690444145356663,0.9757738896366084,0.006729475100942128
4,other,3737,869,727,0.7423423423423423,0.72236727589208,-0.019975066450262258,0.9482163406214039,0.9551208285385501,0.0069044879171461515
5,bad,2093,1080,876,0.4354605833092694,0.4644793152639087,0.029018731954639276,0.6981481481481482,0.7537037037037037,0.05555555555555547
6,bad,2729,1684,283,0.44360902255639095,0.42500930405656867,-0.018599718499822282,0.3503562945368171,0.33907363420427555,-0.01128266033254155
7,other,36,33,10,0.125,0.11678832116788321,-0.008211678832116792,0.21212121212121213,0.24242424242424243,0.030303030303030304
8,stable,1574,1142,679,0.8680459770114942,0.8656036446469249,-0.002442332364569366,0.8266199649737302,0.8318739054290718,0.005253940455341555
9,other,1547,910,31,0.23937007874015748,0.2925018559762435,0.05313177723608603,0.16703296703296702,0.2164835164835165,0.04945054945054947
10,bad,2020,1004,27,0.16184971098265896,0.22406015037593985,0.062210439393280886,0.09760956175298804,0.14840637450199204,0.050796812749003994
11,bad,1685,1749,110,0.22343522561863174,0.23236223236223236,0.008927006743600613,0.1755288736420812,0.18925100057175528,0.013722126929674089
12,bad,2788,263,74,0.23184357541899442,0.2821917808219178,0.050348205402923396,0.3155893536121673,0.3916349809885932,0.0760456273764259
13,other,2093,1090,93,0.3990514905149051,0.3856903297931806,-0.013361160721724552,0.5403669724770642,0.6330275229357798,0.09266055045871557
14,bad,10401,5821,37,0.2579329472224488,0.2505776636713736,-0.007355283551075231,0.271602817385329,0.25150317814808454,-0.02009963923724445
15,stable,751,715,399,0.8106551475881929,0.7861111111111111,-0.02454403647708181,0.7874125874125875,0.7916083916083916,0.00419580419580412
16,other,2008,1186,41,0.22592791823561054,0.21478521478521478,-0.011142703450395752,0.17706576728499157,0.1812816188870152,0.004215851602023618
17,other,10007,8301,6189,0.8305555555555556,0.8614258734655336,0.030870317909977962,0.9004939163956149,0.8791711841946753,-0.02132273220093961
18,other,21926,25658,16017,0.8718385454833535,0.850386044069313,-0.021452501414040537,0.857822121755398,0.8520929144906072,-0.005729207264790759
