class,accepted,reference_support,target_support,accepted_per_target_support
0,538,1414,1642,0.3276492082825822
1,2282,10792,4956,0.4604519774011299
2,1884,7583,5086,0.37042862760519074
3,1020,1593,1139,0.8955223880597015
4,851,3737,972,0.8755144032921811
5,1864,2093,2902,0.642315644383184
6,1415,2729,2429,0.5825442568958419
8,1286,1574,1940,0.6628865979381443
9,40,1547,1291,0.030983733539891558
10,418,2020,1434,0.2914923291492329
11,135,1685,2001,0.06746626686656672
12,755,2788,2580,0.2926356589147287
13,125,2093,1607,0.0777846919726198
14,47,10401,10007,0.004696712301389028
15,519,751,951,0.5457413249211357
16,86,2008,2405,0.03575883575883576
17,2541,10007,11892,0.21367305751765894
18,36864,21926,43004,0.8572225839456795
19,10746,13185,29160,0.3685185185185185
20,1036,1281,2388,0.4338358458961474
21,3024,2620,3959,0.7638292498105582
22,636,4636,1178,0.5398981324278438
23,5753,12840,8236,0.6985186983972802
24,7879,10253,12024,0.6552727877578177
25,21801,54557,46993,0.4639201583214521
26,312,2293,1400,0.22285714285714286
27,8980,19386,10235,0.877381533952125
28,1682,16366,11735,0.14333191308052834
29,13448,29653,34921,0.3850977921594456
30,241,8131,991,0.24318869828456105
31,1287,7973,1938,0.6640866873065016
32,161,2331,1783,0.09029725182277061
33,28,204,124,0.22580645161290322
34,182,588,1682,0.10820451843043995
35,1893,875,2194,0.8628076572470373
36,2163,826,2648,0.8168429003021148
37,910,1989,1115,0.8161434977578476
38,29,77,92,0.31521739130434784
39,1896,4388,4329,0.437976437976438
40,478,2334,981,0.4872579001019368
41,791,2121,2408,0.32848837209302323
42,145,1839,2235,0.06487695749440715
43,372,2042,2062,0.18040737148399613
44,1014,2910,1081,0.9380203515263644
45,13,2192,1536,0.008463541666666666
46,2367,9798,11714,0.20206590404644015
48,3,5001,2986,0.0010046885465505692
49,19230,40220,42912,0.4481263982102908
50,95,4546,3110,0.03054662379421222
51,6541,21842,16876,0.38759184640910166
52,871,2301,2218,0.3926961226330027
53,5356,9775,11906,0.44985721484965563
54,162,6663,6595,0.024564063684609554
55,394,8193,5643,0.06982101718943824
56,29,10094,10706,0.002708761442181954
