method,alpha,tau_conf,momentum,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,,,5,14,1,35,0.0368809272918862,949
static,,,,5,6,2,25,0.026343519494204427,949
static,,,,5,124,3,16,0.01685985247629083,949
static,,,,5,177,4,12,0.012644889357218124,949
static,,,,5,151,5,9,0.009483667017913594,949
static,,,,6,5,1,976,0.6707903780068728,1455
static,,,,6,151,2,2,0.0013745704467353953,1455
static,,,,6,14,3,1,0.0006872852233676976,1455
static,,,,6,29,4,1,0.0006872852233676976,1455
static,,,,6,94,5,1,0.0006872852233676976,1455
static,,,,10,12,1,58,0.04309063893016345,1346
static,,,,10,156,2,28,0.020802377414561663,1346
static,,,,10,138,3,24,0.017830609212481426,1346
static,,,,10,28,4,9,0.006686478454680535,1346
static,,,,10,115,5,8,0.005943536404160475,1346
static,,,,11,133,1,93,0.07209302325581396,1290
static,,,,11,61,2,48,0.037209302325581395,1290
static,,,,11,153,3,39,0.030232558139534883,1290
static,,,,11,88,4,30,0.023255813953488372,1290
static,,,,11,171,5,20,0.015503875968992248,1290
static,,,,12,10,1,55,0.03033645890788748,1813
static,,,,12,28,2,26,0.014340871483728626,1813
static,,,,12,61,3,26,0.014340871483728626,1813
static,,,,12,115,4,14,0.007722007722007722,1813
static,,,,12,50,5,11,0.006067291781577496,1813
static,,,,14,129,1,1175,0.23994282213600163,4897
static,,,,14,153,2,362,0.07392280988360221,4897
static,,,,14,63,3,251,0.05125587094139269,4897
static,,,,14,61,4,162,0.033081478456197674,4897
static,,,,14,71,5,129,0.026342658770675924,4897
static,,,,26,13,1,33,0.03466386554621849,952
static,,,,26,155,2,33,0.03466386554621849,952
static,,,,26,136,3,27,0.028361344537815126,952
static,,,,26,61,4,13,0.01365546218487395,952
static,,,,26,159,5,11,0.011554621848739496,952
static,,,,28,142,1,822,0.07770110596464694,10579
static,,,,28,117,2,214,0.020228755080820494,10579
static,,,,28,172,3,180,0.01701484072218546,10579
static,,,,28,49,4,133,0.012572076755837035,10579
static,,,,28,59,5,126,0.011910388505529824,10579
static,,,,38,156,1,33,0.3235294117647059,102
static,,,,38,129,2,6,0.058823529411764705,102
static,,,,38,125,3,4,0.0392156862745098,102
static,,,,38,133,4,3,0.029411764705882353,102
static,,,,38,62,5,2,0.0196078431372549,102
static,,,,47,6,1,5,0.013020833333333334,384
static,,,,47,177,2,4,0.010416666666666666,384
static,,,,47,14,3,3,0.0078125,384
static,,,,47,117,4,2,0.005208333333333333,384
static,,,,47,151,5,2,0.005208333333333333,384
static,,,,48,6,1,2130,0.4735437972432192,4498
static,,,,48,177,2,1867,0.41507336594041794,4498
static,,,,48,14,3,35,0.007781236104935527,4498
static,,,,48,117,4,7,0.0015562472209871053,4498
static,,,,48,83,5,5,0.0011116051578479323,4498
static,,,,56,96,1,4029,0.49654917426669953,8114
static,,,,56,165,2,1289,0.15886122750801085,8114
static,,,,56,14,3,827,0.10192260290855312,8114
static,,,,56,170,4,510,0.06285432585654424,8114
static,,,,56,118,5,347,0.042765590337687946,8114
static,,,,66,133,1,112,0.04329339002705837,2587
static,,,,66,86,2,84,0.03247004252029378,2587
static,,,,66,32,3,65,0.02512562814070352,2587
static,,,,66,115,4,56,0.021646695013529185,2587
static,,,,66,61,5,40,0.015461925009663703,2587
static,,,,69,104,1,10,0.01652892561983471,605
static,,,,69,28,2,4,0.006611570247933884,605
static,,,,69,105,3,4,0.006611570247933884,605
static,,,,69,45,4,2,0.003305785123966942,605
static,,,,69,61,5,2,0.003305785123966942,605
static,,,,104,117,1,487,0.283304246655032,1719
static,,,,104,105,2,144,0.08376963350785341,1719
static,,,,104,42,3,109,0.06340895869691682,1719
static,,,,104,53,4,100,0.058173356602675974,1719
static,,,,104,110,5,73,0.04246655031995346,1719
static,,,,109,65,1,28,0.022653721682847898,1236
static,,,,109,107,2,26,0.021035598705501618,1236
static,,,,109,106,3,3,0.0024271844660194173,1236
static,,,,109,3,4,2,0.0016181229773462784,1236
static,,,,109,14,5,2,0.0016181229773462784,1236
static,,,,118,90,1,20,0.014771048744460856,1354
static,,,,118,137,2,8,0.005908419497784343,1354
static,,,,118,111,3,7,0.0051698670605613,1354
static,,,,118,25,4,6,0.004431314623338257,1354
static,,,,118,175,5,6,0.004431314623338257,1354
static,,,,139,133,1,165,0.1632047477744807,1011
static,,,,139,61,2,96,0.09495548961424333,1011
static,,,,139,68,3,75,0.07418397626112759,1011
static,,,,139,32,4,64,0.06330365974282888,1011
static,,,,139,156,5,52,0.051434223541048464,1011
static,,,,164,117,1,252,0.14806110458284372,1702
static,,,,164,149,2,91,0.05346650998824912,1702
static,,,,164,124,3,64,0.03760282021151586,1702
static,,,,164,122,4,49,0.028789659224441832,1702
static,,,,164,138,5,47,0.027614571092831962,1702
static,,,,174,2,1,231,0.21649484536082475,1067
static,,,,174,28,2,157,0.1471415182755389,1067
static,,,,174,117,3,111,0.10402999062792877,1067
static,,,,174,93,4,76,0.07122774133083412,1067
static,,,,174,143,5,52,0.04873477038425492,1067
best_caps_target_proto,2.0,0.8,0.9,5,14,1,30,0.03161222339304531,949
best_caps_target_proto,2.0,0.8,0.9,5,6,2,25,0.026343519494204427,949
best_caps_target_proto,2.0,0.8,0.9,5,124,3,18,0.018967334035827187,949
best_caps_target_proto,2.0,0.8,0.9,5,177,4,13,0.0136986301369863,949
best_caps_target_proto,2.0,0.8,0.9,5,151,5,6,0.006322444678609062,949
best_caps_target_proto,2.0,0.8,0.9,6,5,1,975,0.6701030927835051,1455
best_caps_target_proto,2.0,0.8,0.9,6,151,2,2,0.0013745704467353953,1455
best_caps_target_proto,2.0,0.8,0.9,6,14,3,1,0.0006872852233676976,1455
best_caps_target_proto,2.0,0.8,0.9,6,29,4,1,0.0006872852233676976,1455
best_caps_target_proto,2.0,0.8,0.9,6,94,5,1,0.0006872852233676976,1455
best_caps_target_proto,2.0,0.8,0.9,10,12,1,67,0.04977711738484398,1346
best_caps_target_proto,2.0,0.8,0.9,10,138,2,23,0.017087667161961365,1346
best_caps_target_proto,2.0,0.8,0.9,10,156,3,20,0.014858841010401188,1346
best_caps_target_proto,2.0,0.8,0.9,10,28,4,10,0.007429420505200594,1346
best_caps_target_proto,2.0,0.8,0.9,10,61,5,7,0.005200594353640416,1346
best_caps_target_proto,2.0,0.8,0.9,11,133,1,93,0.07209302325581396,1290
best_caps_target_proto,2.0,0.8,0.9,11,61,2,56,0.043410852713178294,1290
best_caps_target_proto,2.0,0.8,0.9,11,153,3,32,0.024806201550387597,1290
best_caps_target_proto,2.0,0.8,0.9,11,88,4,28,0.021705426356589147,1290
best_caps_target_proto,2.0,0.8,0.9,11,171,5,19,0.014728682170542635,1290
best_caps_target_proto,2.0,0.8,0.9,12,10,1,52,0.028681742967457253,1813
best_caps_target_proto,2.0,0.8,0.9,12,28,2,26,0.014340871483728626,1813
best_caps_target_proto,2.0,0.8,0.9,12,61,3,21,0.011583011583011582,1813
best_caps_target_proto,2.0,0.8,0.9,12,86,4,12,0.006618863761720904,1813
best_caps_target_proto,2.0,0.8,0.9,12,115,5,12,0.006618863761720904,1813
best_caps_target_proto,2.0,0.8,0.9,14,129,1,1175,0.23994282213600163,4897
best_caps_target_proto,2.0,0.8,0.9,14,153,2,324,0.06616295691239535,4897
best_caps_target_proto,2.0,0.8,0.9,14,63,3,288,0.05881151725546253,4897
best_caps_target_proto,2.0,0.8,0.9,14,61,4,168,0.03430671839901981,4897
best_caps_target_proto,2.0,0.8,0.9,14,71,5,126,0.025730038799264856,4897
best_caps_target_proto,2.0,0.8,0.9,26,13,1,32,0.03361344537815126,952
best_caps_target_proto,2.0,0.8,0.9,26,155,2,32,0.03361344537815126,952
best_caps_target_proto,2.0,0.8,0.9,26,136,3,26,0.0273109243697479,952
best_caps_target_proto,2.0,0.8,0.9,26,61,4,13,0.01365546218487395,952
best_caps_target_proto,2.0,0.8,0.9,26,25,5,11,0.011554621848739496,952
best_caps_target_proto,2.0,0.8,0.9,28,142,1,810,0.07656678324983458,10579
best_caps_target_proto,2.0,0.8,0.9,28,172,2,199,0.01881085168730504,10579
best_caps_target_proto,2.0,0.8,0.9,28,117,3,187,0.017676528972492674,10579
best_caps_target_proto,2.0,0.8,0.9,28,59,4,141,0.013328291899045278,10579
best_caps_target_proto,2.0,0.8,0.9,28,49,5,129,0.012193969184232914,10579
best_caps_target_proto,2.0,0.8,0.9,38,156,1,31,0.30392156862745096,102
best_caps_target_proto,2.0,0.8,0.9,38,129,2,6,0.058823529411764705,102
best_caps_target_proto,2.0,0.8,0.9,38,125,3,5,0.049019607843137254,102
best_caps_target_proto,2.0,0.8,0.9,38,68,4,3,0.029411764705882353,102
best_caps_target_proto,2.0,0.8,0.9,38,62,5,2,0.0196078431372549,102
best_caps_target_proto,2.0,0.8,0.9,47,6,1,7,0.018229166666666668,384
best_caps_target_proto,2.0,0.8,0.9,47,177,2,4,0.010416666666666666,384
best_caps_target_proto,2.0,0.8,0.9,47,14,3,2,0.005208333333333333,384
best_caps_target_proto,2.0,0.8,0.9,47,151,4,2,0.005208333333333333,384
best_caps_target_proto,2.0,0.8,0.9,47,170,5,2,0.005208333333333333,384
best_caps_target_proto,2.0,0.8,0.9,48,6,1,2141,0.47598932859048465,4498
best_caps_target_proto,2.0,0.8,0.9,48,177,2,1868,0.41529568697198754,4498
best_caps_target_proto,2.0,0.8,0.9,48,14,3,23,0.005113383726100489,4498
best_caps_target_proto,2.0,0.8,0.9,48,83,4,5,0.0011116051578479323,4498
best_caps_target_proto,2.0,0.8,0.9,48,5,5,4,0.0008892841262783459,4498
best_caps_target_proto,2.0,0.8,0.9,56,96,1,4009,0.4940842987429135,8114
best_caps_target_proto,2.0,0.8,0.9,56,165,2,1306,0.160956371703229,8114
best_caps_target_proto,2.0,0.8,0.9,56,14,3,844,0.10401774710377126,8114
best_caps_target_proto,2.0,0.8,0.9,56,170,4,458,0.05644564949470052,8114
best_caps_target_proto,2.0,0.8,0.9,56,118,5,399,0.04917426669953168,8114
best_caps_target_proto,2.0,0.8,0.9,66,133,1,107,0.04136064940085041,2587
best_caps_target_proto,2.0,0.8,0.9,66,86,2,83,0.03208349439505218,2587
best_caps_target_proto,2.0,0.8,0.9,66,32,3,68,0.026285272516428294,2587
best_caps_target_proto,2.0,0.8,0.9,66,115,4,49,0.018940858136838035,2587
best_caps_target_proto,2.0,0.8,0.9,66,127,5,43,0.01662156938538848,2587
best_caps_target_proto,2.0,0.8,0.9,69,104,1,10,0.01652892561983471,605
