true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
5,14,1,949,35,0.0368809272918862,30,0.03161222339304531,-5,-0.005268703898840883
5,6,2,949,25,0.026343519494204427,25,0.026343519494204427,0,0.0
5,124,3,949,16,0.01685985247629083,18,0.018967334035827187,2,0.002107481559536356
5,177,4,949,12,0.012644889357218124,13,0.0136986301369863,1,0.0010537407797681763
5,151,5,949,9,0.009483667017913594,6,0.006322444678609062,-3,-0.0031612223393045315
6,5,1,1455,976,0.6707903780068728,975,0.6701030927835051,-1,-0.0006872852233676952
6,151,2,1455,2,0.0013745704467353953,2,0.0013745704467353953,0,0.0
6,14,3,1455,1,0.0006872852233676976,1,0.0006872852233676976,0,0.0
6,29,4,1455,1,0.0006872852233676976,1,0.0006872852233676976,0,0.0
6,94,5,1455,1,0.0006872852233676976,1,0.0006872852233676976,0,0.0
10,12,1,1346,58,0.04309063893016345,67,0.04977711738484398,9,0.006686478454680532
10,156,2,1346,28,0.020802377414561663,20,0.014858841010401188,-8,-0.005943536404160475
10,138,3,1346,24,0.017830609212481426,23,0.017087667161961365,-1,-0.0007429420505200603
10,28,4,1346,9,0.006686478454680535,10,0.007429420505200594,1,0.0007429420505200594
10,115,5,1346,8,0.005943536404160475,7,0.005200594353640416,-1,-0.0007429420505200594
11,133,1,1290,93,0.07209302325581396,93,0.07209302325581396,0,0.0
11,61,2,1290,48,0.037209302325581395,56,0.043410852713178294,8,0.006201550387596899
11,153,3,1290,39,0.030232558139534883,32,0.024806201550387597,-7,-0.005426356589147287
11,88,4,1290,30,0.023255813953488372,28,0.021705426356589147,-2,-0.0015503875968992248
11,171,5,1290,20,0.015503875968992248,19,0.014728682170542635,-1,-0.0007751937984496124
12,10,1,1813,55,0.03033645890788748,52,0.028681742967457253,-3,-0.0016547159404302278
12,28,2,1813,26,0.014340871483728626,26,0.014340871483728626,0,0.0
12,61,3,1813,26,0.014340871483728626,21,0.011583011583011582,-5,-0.002757859900717044
12,115,4,1813,14,0.007722007722007722,12,0.006618863761720904,-2,-0.001103143960286818
12,50,5,1813,11,0.006067291781577496,11,0.006067291781577496,0,0.0
14,129,1,4897,1175,0.23994282213600163,1175,0.23994282213600163,0,0.0
14,153,2,4897,362,0.07392280988360221,324,0.06616295691239535,-38,-0.007759852971206863
14,63,3,4897,251,0.05125587094139269,288,0.05881151725546253,37,0.007555646314069839
14,61,4,4897,162,0.033081478456197674,168,0.03430671839901981,6,0.0012252399428221358
14,71,5,4897,129,0.026342658770675924,126,0.025730038799264856,-3,-0.0006126199714110679
26,13,1,952,33,0.03466386554621849,32,0.03361344537815126,-1,-0.00105042016806723
26,155,2,952,33,0.03466386554621849,32,0.03361344537815126,-1,-0.00105042016806723
26,136,3,952,27,0.028361344537815126,26,0.0273109243697479,-1,-0.0010504201680672266
26,61,4,952,13,0.01365546218487395,13,0.01365546218487395,0,0.0
26,159,5,952,11,0.011554621848739496,8,0.008403361344537815,-3,-0.0031512605042016816
28,142,1,10579,822,0.07770110596464694,810,0.07656678324983458,-12,-0.0011343227148123552
28,117,2,10579,214,0.020228755080820494,187,0.017676528972492674,-27,-0.00255222610832782
28,172,3,10579,180,0.01701484072218546,199,0.01881085168730504,19,0.0017960109651195787
28,49,4,10579,133,0.012572076755837035,129,0.012193969184232914,-4,-0.00037810757160412073
