method,method_key,period,accuracy,macro_f1,bad_macro_f1,stable_macro_f1,source,accepted_rate,best_alpha,best_tau_conf,best_momentum
Static,static,M-2022-7,0.831177195152844,0.7401989020073362,0.5407301228263706,0.8321626795809953,evaluate_tta,,,,
Static,static,M-2022-10,0.7872025040977597,0.6835782860557594,0.35349660992346554,0.9089863032292651,evaluate_tta,,,,
Static,static,M-2022-12,0.7519159571019075,0.6286435719523804,0.15439573308329985,0.9027706369575663,evaluate_tta,,,,
BN-Adapt,bn_adapt,M-2022-7,0.831177195152844,0.7401989020073362,,,evaluate_tta,,,,
BN-Adapt,bn_adapt,M-2022-10,0.7872025040977597,0.6835782860557594,,,evaluate_tta,,,,
BN-Adapt,bn_adapt,M-2022-12,0.7519159571019075,0.6286435719523804,,,evaluate_tta,,,,
Tent,tent,M-2022-7,0.8179676096755473,0.7264514418582256,,,evaluate_tta,,,,
Tent,tent,M-2022-10,0.7814358782272126,0.655777240075237,,,evaluate_tta,,,,
Tent,tent,M-2022-12,0.7396520179046862,0.5914901786147773,,,evaluate_tta,,,,
EATA,eata,M-2022-7,0.8312080226568751,0.7402249238419288,,,evaluate_tta,,,,
EATA,eata,M-2022-10,0.7873757545225378,0.6836540873723724,,,evaluate_tta,,,,
EATA,eata,M-2022-12,0.7520655910654921,0.6288051878152369,,,evaluate_tta,,,,
CoTTA,cotta,M-2022-7,0.8320752137485307,0.7407186192000038,,,evaluate_tta,,,,
CoTTA,cotta,M-2022-10,0.7907841420692199,0.6843492325057856,,,evaluate_tta,,,,
CoTTA,cotta,M-2022-12,0.7555169966800909,0.6298648124249634,,,evaluate_tta,,,,
SAR,sar,M-2022-7,0.8322280109424236,0.7396799265041931,,,evaluate_tta,,,,
SAR,sar,M-2022-10,0.7911620990014872,0.6814645538222794,,,evaluate_tta,,,,
SAR,sar,M-2022-12,0.7561223340782284,0.6287977082078338,,,evaluate_tta,,,,
NOTE,note,M-2022-7,0.8267722128920622,0.7291288904476885,,,evaluate_tta,,,,
NOTE,note,M-2022-10,0.780314105923761,0.6572262977259903,,,evaluate_tta,,,,
NOTE,note,M-2022-12,0.7381239377311107,0.5891242865250638,,,evaluate_tta,,,,
TTA-TC,tta_tc,M-2022-7,0.8319740191157331,0.7410319727165823,,,evaluate_tta,,,,
TTA-TC,tta_tc,M-2022-10,0.7899338599565519,0.6852037365209825,,,evaluate_tta,,,,
TTA-TC,tta_tc,M-2022-12,0.7547068572408857,0.630801747771949,,,evaluate_tta,,,,
CAPS,caps,M-2022-7,,0.7403540128898983,0.539408013456748,0.8315107252543322,caps,0.43994534149502673,2.0,0.8,0.9
CAPS,caps,M-2022-10,,0.6861482873986695,0.35990248968481964,0.9108379053160315,caps,0.4041085515538579,2.0,0.8,0.9
CAPS,caps,M-2022-12,,0.6318859915033578,0.16386298094198393,0.8994140980579953,caps,0.39198052642437553,5.0,0.8,0.9
