class,accepted,reference_support,target_support,accepted_per_target_support
0,12,1414,950,0.01263157894736842
1,144,10792,3117,0.04619826756496631
2,526,7583,3678,0.14301250679717237
3,221,1593,743,0.297442799461642
4,348,3737,869,0.4004602991944764
5,53,2093,1080,0.049074074074074076
6,7,2729,1684,0.004156769596199525
8,49,1574,1142,0.042907180385288964
9,1,1547,910,0.001098901098901099
11,2,1685,1749,0.0011435105774728416
13,8,2093,1090,0.007339449541284404
14,1732,10401,5821,0.297543377426559
15,9,751,715,0.012587412587412588
16,11,2008,1186,0.00927487352445194
17,692,10007,8301,0.08336345018672449
18,2783,21926,25658,0.10846519604022137
19,835,13185,22936,0.036405650505755144
20,12,1281,1125,0.010666666666666666
21,26,2620,2095,0.012410501193317422
22,9,4636,743,0.012113055181695828
23,363,12840,5114,0.07098161908486508
24,17,10253,4154,0.004092441020702937
25,2515,54557,34385,0.07314235858659299
27,68,19386,7371,0.009225342558675891
28,473,16366,5815,0.08134135855546001
29,588,29653,30274,0.01942260685736936
31,98,7973,952,0.10294117647058823
35,22,875,930,0.023655913978494623
36,1,826,216,0.004629629629629629
37,24,1989,866,0.02771362586605081
39,389,4388,4483,0.08677225072496096
40,104,2334,737,0.14111261872455902
41,17,2121,1636,0.01039119804400978
43,12,2042,1992,0.006024096385542169
44,29,2910,1181,0.024555461473327687
46,586,9798,7420,0.07897574123989218
49,898,40220,31563,0.02845103443905839
51,1893,21842,11645,0.16255903821382567
52,9,2301,1274,0.00706436420722135
53,1203,9775,5505,0.21852861035422344
55,1,8193,4063,0.0002461235540241201
57,827,3065,2331,0.35478335478335477
59,5660,13724,6030,0.9386401326699834
60,2289,49622,24845,0.09213121352384786
61,992,19676,10494,0.0945302077377549
62,6982,15549,11221,0.6222261830496391
63,250,11152,5492,0.045520757465404224
64,38,2437,1215,0.031275720164609055
65,10,3145,2112,0.004734848484848485
66,2,5149,1955,0.0010230179028132991
68,135,7271,2499,0.05402160864345738
70,6,2642,908,0.006607929515418502
71,31577,149408,39434,0.8007556930567531
72,88,17880,5765,0.015264527320034691
73,126,29211,8821,0.014284094773835167
74,24,9210,2294,0.010462074978204011
75,25,28060,6807,0.003672689878066696
76,1230,10523,2683,0.4584420424897503
77,1968,81932,17960,0.10957683741648107
78,291,48009,10246,0.028401327347257466
79,124,25102,7528,0.01647183846971307
81,49,7217,2122,0.023091423185673893
82,1449,79609,27579,0.05253997606874796
83,2196,24502,19531,0.11243663918898161
84,61,2397,1057,0.05771050141911069
85,41,2080,350,0.11714285714285715
86,3252,27759,20232,0.16073546856465007
87,1242,11231,5056,0.2456487341772152
89,4,486,377,0.010610079575596816
90,635,7635,4080,0.1556372549019608
91,359,4262,2334,0.15381319622964867
92,40,2288,896,0.044642857142857144
93,5741,34812,18804,0.305307381408211
94,1,633,760,0.0013157894736842105
95,86,50223,3282,0.026203534430225474
96,3614,55119,44573,0.08108047472685258
97,2589,41580,18214,0.14214340617107718
98,43185,63298,48912,0.8829121687929342
99,14137,23955,18452,0.7661500108389334
100,4438,30504,17278,0.25685843268896863
101,327,60629,42403,0.007711718510482749
102,729,79891,35717,0.02041044880589075
103,2,1787,1446,0.0013831258644536654
104,1,3363,1744,0.0005733944954128441
105,331,4895,3159,0.10477999366888256
106,9,3993,1622,0.005548705302096177
107,1010,3873,2555,0.3953033268101761
108,380,11663,3529,0.10767922924341174
110,160,9808,5670,0.02821869488536155
111,25,2817,1136,0.022007042253521125
112,6,3822,1083,0.00554016620498615
113,1341,5042,3574,0.37520984890878567
114,9,3329,911,0.009879253567508232
115,659,22978,15934,0.04135810217145726
116,75,4023,3278,0.02287980475899939
117,452132,84936,58860,7.681481481481481
118,56,3760,2577,0.02173069460613116
119,75,2846,1033,0.07260406582768635
120,42,2918,1133,0.037069726390114736
122,138506,61426,40149,3.4497994968741437
124,1414,30492,18817,0.07514481585800074
125,101,3522,2268,0.0445326278659612
126,105,2112,2588,0.040571870170015456
127,78,3002,4058,0.019221291276490884
128,589,2342,3721,0.15829078204783661
129,1817,44177,18631,0.09752562932746497
130,2157,7092,4618,0.46708531831961886
131,2145,30533,17194,0.12475282075142491
132,5164,23157,13419,0.3848274834190327
133,1678,54110,34000,0.049352941176470586
134,1134,10738,5543,0.20458235612484213
135,48,3069,1872,0.02564102564102564
136,509,22342,12861,0.039577015784153645
138,73,43631,12776,0.005713838447088291
139,7,2846,973,0.007194244604316547
140,2952,71932,21276,0.13874788494077833
141,10,2022,1226,0.008156606851549755
142,806,62604,15948,0.05053925257085528
143,136,4384,3052,0.04456094364351245
144,1780,3642,2267,0.7851786501985002
145,47,2224,1149,0.040905134899912966
146,150,4793,4680,0.03205128205128205
148,89,6812,3728,0.023873390557939914
149,1192,74194,29896,0.039871554723039875
150,115,2305,1291,0.08907823392718822
151,41,2021,872,0.047018348623853214
152,8,1673,729,0.010973936899862825
153,2848,70973,59235,0.04807968262007259
154,27,2978,1862,0.014500537056928034
155,170,11183,5650,0.03008849557522124
156,2646,32897,11350,0.23312775330396476
157,20,2075,800,0.025
158,851,12544,5549,0.15336096593980897
159,2,3182,1740,0.0011494252873563218
160,31,1553,1048,0.029580152671755726
161,11,3031,334,0.03293413173652695
164,17,3315,1689,0.010065127294256957
165,183,5176,4989,0.03668069753457607
166,10,2317,1835,0.005449591280653951
168,57,3924,4221,0.013503909026297086
169,13,2891,1502,0.008655126498002663
170,491,3774,1916,0.25626304801670147
171,169,7082,4142,0.04080154514727185
172,14,7688,5558,0.0025188916876574307
173,8,4960,978,0.0081799591002045
175,1081,50628,22084,0.04894946567650788
176,170,4309,2085,0.0815347721822542
177,6,1540,1117,0.005371530886302597
