true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
5,14,1,1080,104,0.0962962962962963,295,0.27314814814814814,191,0.17685185185185184
5,6,2,1080,59,0.05462962962962963,1,0.000925925925925926,-58,-0.053703703703703705
5,124,3,1080,53,0.049074074074074076,9,0.008333333333333333,-44,-0.040740740740740744
5,151,4,1080,30,0.027777777777777776,0,0.0,-30,-0.027777777777777776
5,83,5,1080,20,0.018518518518518517,17,0.01574074074074074,-3,-0.0027777777777777783
6,5,1,1684,942,0.5593824228028503,75,0.04453681710213777,-867,-0.5148456057007126
6,14,2,1684,64,0.03800475059382423,454,0.2695961995249406,390,0.23159144893111638
6,151,3,1684,36,0.021377672209026127,0,0.0,-36,-0.021377672209026127
6,149,4,1684,15,0.008907363420427554,14,0.00831353919239905,-1,-0.0005938242280285038
6,83,5,1684,9,0.005344418052256532,23,0.013657957244655582,14,0.00831353919239905
10,156,1,1004,366,0.3645418326693227,39,0.03884462151394422,-327,-0.3256972111553785
10,138,2,1004,250,0.24900398406374502,26,0.025896414342629483,-224,-0.22310756972111553
10,117,3,1004,107,0.10657370517928287,754,0.750996015936255,647,0.6444223107569721
10,132,4,1004,34,0.03386454183266932,2,0.00199203187250996,-32,-0.03187250996015936
10,61,5,1004,31,0.030876494023904383,3,0.00298804780876494,-28,-0.027888446215139442
11,153,1,1749,446,0.2550028587764437,88,0.050314465408805034,-358,-0.20468839336763867
11,93,2,1749,270,0.15437392795883362,57,0.032590051457975985,-213,-0.12178387650085763
11,133,3,1749,131,0.07489994282447113,10,0.005717552887364208,-121,-0.06918238993710692
11,148,4,1749,49,0.02801600914808462,1,0.0005717552887364208,-48,-0.0274442538593482
11,176,5,1749,39,0.022298456260720412,2,0.0011435105774728416,-37,-0.02115494568324757
12,156,1,263,55,0.20912547528517111,7,0.026615969581749048,-48,-0.18250950570342206
12,117,2,263,47,0.17870722433460076,214,0.8136882129277566,167,0.6349809885931559
12,63,3,263,28,0.10646387832699619,7,0.026615969581749048,-21,-0.07984790874524714
12,125,4,263,16,0.060836501901140684,5,0.019011406844106463,-11,-0.04182509505703422
12,50,5,263,8,0.030418250950570342,0,0.0,-8,-0.030418250950570342
14,129,1,5821,1203,0.20666552138807764,274,0.04707095000858959,-929,-0.15959457137948807
14,63,2,5821,343,0.058924583404913244,18,0.0030922521903453013,-325,-0.055832331214567946
14,61,3,5821,297,0.05102216114069748,36,0.006184504380690603,-261,-0.04483765676000687
14,153,4,5821,256,0.04397869781824429,69,0.011853633396323655,-187,-0.03212506442192063
14,86,5,5821,179,0.0307507301151005,29,0.004981961862222986,-150,-0.025768768252877515
26,13,1,807,174,0.21561338289962825,18,0.022304832713754646,-156,-0.19330855018587362
26,49,2,807,98,0.12143742255266418,6,0.007434944237918215,-92,-0.11400247831474597
26,136,3,807,74,0.09169764560099132,6,0.007434944237918215,-68,-0.08426270136307311
26,46,4,807,65,0.080545229244114,1,0.0012391573729863693,-64,-0.07930607187112763
26,61,5,807,57,0.07063197026022305,7,0.008674101610904586,-50,-0.061957868649318466
28,49,1,5815,1062,0.1826311263972485,26,0.004471195184866724,-1036,-0.17815993121238177
28,117,2,5815,397,0.06827171109200345,3434,0.5905417024935512,3037,0.5222699914015477
28,158,3,5815,322,0.05537403267411866,115,0.019776440240756664,-207,-0.035597592433361996
28,95,4,5815,267,0.04591573516766982,13,0.002235597592433362,-254,-0.043680137575236457
28,142,5,5815,262,0.045055889939810835,44,0.007566638005159072,-218,-0.03748925193465176
38,45,1,193,89,0.46113989637305697,0,0.0,-89,-0.46113989637305697
38,39,2,193,52,0.2694300518134715,0,0.0,-52,-0.2694300518134715
38,105,3,193,7,0.03626943005181347,1,0.0051813471502590676,-6,-0.0310880829015544
38,133,4,193,7,0.03626943005181347,0,0.0,-7,-0.03626943005181347
