class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
0,other,1414,950,12,0.8807339449541285,0.043209876543209874,-0.8375240684109186,0.8589473684210527,0.022105263157894735,-0.8368421052631579
1,other,10792,3117,144,0.7320779649818302,0.13813635010419767,-0.5939416148776325,0.7109400064164261,0.07443054218800128,-0.6365094642284248
2,other,7583,3678,526,0.47664695084642056,0.2036602534021586,-0.27298669744426196,0.6353996737357259,0.1769983686786297,-0.4584013050570962
3,other,1593,743,221,0.9085173501577287,0.5513928914505284,-0.35712445870720033,0.9690444145356663,0.38627187079407804,-0.5827725437415883
4,other,3737,869,348,0.7423423423423423,0.7267483777937995,-0.015593964548542782,0.9482163406214039,0.5799769850402762,-0.36823935558112775
5,bad,2093,1080,53,0.4354605833092694,0.03735144312393888,-0.3981091401853305,0.6981481481481482,0.020370370370370372,-0.6777777777777778
6,bad,2729,1684,7,0.44360902255639095,0.030303030303030304,-0.4133059922533606,0.3503562945368171,0.015439429928741092,-0.334916864608076
7,other,36,33,0,0.125,0.0,-0.125,0.21212121212121213,0.0,-0.21212121212121213
8,stable,1574,1142,49,0.8680459770114942,0.10132890365448505,-0.7667170733570092,0.8266199649737302,0.053415061295971976,-0.7732049036777583
9,other,1547,910,1,0.23937007874015748,0.05925925925925926,-0.18011081948089822,0.16703296703296702,0.03076923076923077,-0.13626373626373625
10,bad,2020,1004,0,0.16184971098265896,0.003976143141153081,-0.15787356784150589,0.09760956175298804,0.00199203187250996,-0.09561752988047809
11,bad,1685,1749,2,0.22343522561863174,0.015712682379349047,-0.2077225432392827,0.1755288736420812,0.008004574042309892,-0.1675242995997713
12,bad,2788,263,0,0.23184357541899442,0.09655172413793103,-0.13529185128106339,0.3155893536121673,0.053231939163498096,-0.26235741444866917
13,other,2093,1090,8,0.3990514905149051,0.14416961130742048,-0.2548818792074846,0.5403669724770642,0.09357798165137615,-0.44678899082568807
14,bad,10401,5821,1732,0.2579329472224488,0.10549956178790534,-0.15243338543454346,0.271602817385329,0.16543549218347364,-0.10616732520185534
15,stable,751,715,9,0.8106551475881929,0.08288770053475936,-0.7277674470534335,0.7874125874125875,0.043356643356643354,-0.7440559440559441
16,other,2008,1186,11,0.22592791823561054,0.06759735488611315,-0.15833056334949738,0.17706576728499157,0.0387858347386172,-0.13827993254637438
17,other,10007,8301,692,0.8305555555555556,0.2576320132013201,-0.5729235423542355,0.9004939163956149,0.15046379954222383,-0.7500301168533912
18,other,21926,25658,2783,0.8718385454833535,0.23519093239778707,-0.6366476130855664,0.857822121755398,0.13586405799360823,-0.7219580637617897
19,other,13185,22936,835,0.6062648892493284,0.12184925112635467,-0.4844156381229737,0.521494593651901,0.06544297174747123,-0.45605162190442977
20,other,1281,1125,12,0.5622798591098302,0.08903544929925804,-0.4732444098105722,0.7804444444444445,0.048,-0.7324444444444445
21,other,2620,2095,26,0.828643216080402,0.03653395784543326,-0.7921092582349688,0.7871121718377089,0.018615751789976133,-0.7684964200477328
22,other,4636,743,9,0.6884236453201971,0.047182175622542594,-0.6412414696976545,0.7523553162853297,0.024226110363391656,-0.7281292059219381
23,other,12840,5114,363,0.8492664236987197,0.20400348128807658,-0.6452629424106432,0.8885412592882284,0.11458740711771608,-0.7739538521705123
24,other,10253,4154,17,0.5630001569119724,0.022835394862036156,-0.5401647620499362,0.43187289359653347,0.011555127587867116,-0.4203177660086663
25,other,54557,34385,2515,0.8588748146952195,0.21181876196553925,-0.6470560527296803,0.8508942852988222,0.1206630798313218,-0.7302312054675004
26,bad,2293,807,0,0.024539877300613498,0.0024449877750611247,-0.022094889525552372,0.022304832713754646,0.0012391573729863693,-0.021065675340768277
27,other,19386,7371,68,0.9089068825910931,0.041959899083787014,-0.866946983507306,0.8528015194681862,0.021435354768688103,-0.8313661646994981
