class,accepted,reference_support,target_support,accepted_per_target_support
0,444,1414,950,0.4673684210526316
1,1051,10792,3117,0.3371831889637472
2,1168,7583,3678,0.31756389342033714
3,671,1593,743,0.9030955585464334
4,734,3737,869,0.8446490218642118
5,876,2093,1080,0.8111111111111111
6,285,2729,1684,0.16923990498812352
7,8,36,33,0.24242424242424243
8,677,1574,1142,0.5928196147110333
9,31,1547,910,0.03406593406593406
10,27,2020,1004,0.026892430278884463
11,113,1685,1749,0.06460834762721555
12,74,2788,263,0.2813688212927757
13,103,2093,1090,0.0944954128440367
14,30,10401,5821,0.005153753650575503
15,400,751,715,0.5594405594405595
16,41,2008,1186,0.03456998313659359
17,6189,10007,8301,0.7455728225514998
18,16205,21926,25658,0.6315768960947853
19,5727,13185,22936,0.24969480292989188
20,427,1281,1125,0.37955555555555553
21,1480,2620,2095,0.7064439140811456
22,374,4636,743,0.5033647375504711
23,3084,12840,5114,0.6030504497457958
24,828,10253,4154,0.19932595089070776
25,16666,54557,34385,0.48468809073724006
26,26,2293,807,0.0322180916976456
27,5160,19386,7371,0.7000407000407001
28,816,16366,5815,0.14032674118658642
29,8409,29653,30274,0.277763097046971
30,470,8131,645,0.7286821705426356
31,886,7973,952,0.930672268907563
32,70,2331,998,0.07014028056112225
33,16,204,630,0.025396825396825397
34,246,588,1240,0.19838709677419356
35,525,875,930,0.5645161290322581
36,20,826,216,0.09259259259259259
37,671,1989,866,0.7748267898383372
38,20,77,193,0.10362694300518134
39,2499,4388,4483,0.5574392148115102
40,324,2334,737,0.4396200814111262
41,572,2121,1636,0.34963325183374083
42,71,1839,1444,0.04916897506925208
43,356,2042,1992,0.178714859437751
44,1032,2910,1181,0.8738357324301439
45,216,2192,1463,0.14764183185235816
46,1680,9798,7420,0.22641509433962265
47,7,3839,618,0.011326860841423949
48,4,5001,3361,0.0011901219875037191
49,14651,40220,31563,0.4641827456198714
50,28,4546,1528,0.01832460732984293
51,5606,21842,11645,0.48140832975525977
52,517,2301,1274,0.40580847723704866
53,2661,9775,5505,0.4833787465940054
54,170,6663,5063,0.03357693067351373
55,254,8193,4063,0.0625153827221265
56,14,10094,12137,0.001153497569415836
57,1610,3065,2331,0.6906906906906907
58,1,2286,15,0.06666666666666667
59,5909,13724,6030,0.9799336650082918
60,7585,49622,24845,0.3052928154558261
61,4706,19676,10494,0.4484467314655994
62,8740,15549,11221,0.7788967115230372
63,2176,11152,5492,0.39621267297887836
64,501,2437,1215,0.4123456790123457
65,1217,3145,2112,0.5762310606060606
66,62,5149,1955,0.031713554987212275
68,1277,7271,2499,0.5110044017607043
69,17,879,1866,0.009110396570203644
70,145,2642,908,0.15969162995594713
71,11539,149408,39434,0.2926155094588426
72,1550,17880,5765,0.2688638334778838
73,5706,29211,8821,0.646865434757964
74,471,9210,2294,0.2053182214472537
75,1168,28060,6807,0.17158807110327604
76,1532,10523,2683,0.571002609019754
77,3072,81932,17960,0.1710467706013363
78,6529,48009,10246,0.6372242826468866
79,1965,25102,7528,0.26102550478214664
80,69,6096,1055,0.06540284360189573
81,1672,7217,2122,0.7879359095193214
82,5652,79609,27579,0.2049385401936256
83,9302,24502,19531,0.4762684962367518
84,817,2397,1057,0.7729422894985809
85,184,2080,350,0.5257142857142857
86,5721,27759,20232,0.28276986951364175
87,3774,11231,5056,0.7464398734177216
88,6,204,83,0.07228915662650602
89,175,486,377,0.46419098143236076
90,2642,7635,4080,0.6475490196078432
91,1580,4262,2334,0.676949443016281
92,644,2288,896,0.71875
93,9598,34812,18804,0.5104233141884705
94,265,633,760,0.34868421052631576
95,2965,50223,3282,0.9034125533211457
96,20364,55119,44573,0.4568685078410697
97,9647,41580,18214,0.5296475238827276
98,46696,63298,48912,0.9546941445861956
99,14355,23955,18452,0.7779644482982875
100,8472,30504,17278,0.4903345294594282
101,9204,60629,42403,0.2170601136712025
102,25052,79891,35717,0.7014026933953019
103,345,1787,1446,0.23858921161825727
104,31,3363,1744,0.017775229357798166
105,253,4895,3159,0.0800886356441912
106,1153,3993,1622,0.7108508014796547
107,2311,3873,2555,0.9045009784735812
108,1820,11663,3529,0.515726834797393
109,4,1867,393,0.010178117048346057
110,2257,9808,5670,0.3980599647266314
111,163,2817,1136,0.14348591549295775
112,213,3822,1083,0.19667590027700832
113,3072,5042,3574,0.859541130386122
114,800,3329,911,0.8781558726673985
115,5005,22978,15934,0.3141081963097778
116,1105,4023,3278,0.33709579011592433
117,7671,84936,58860,0.1303261977573904
118,1149,3760,2577,0.4458672875436554
119,573,2846,1033,0.5546950629235237
120,347,2918,1133,0.3062665489849956
121,11,2543,16,0.6875
122,15688,61426,40149,0.39074447682383123
123,219,3393,1458,0.15020576131687244
124,6694,30492,18817,0.3557421480576075
125,1087,3522,2268,0.4792768959435626
126,1541,2112,2588,0.5954404945904173
127,904,3002,4058,0.22276983735830458
128,1817,2342,3721,0.48830959419510883
129,6268,44177,18631,0.33642853309001125
130,2438,7092,4618,0.5279341706366393
131,13490,30533,17194,0.7845760148889147
132,9433,23157,13419,0.7029584916908861
133,14507,54110,34000,0.42667647058823527
134,3356,10738,5543,0.6054483131878045
135,547,3069,1872,0.2922008547008547
136,3018,22342,12861,0.23466293445299743
137,3,4089,1286,0.0023328149300155523
138,547,43631,12776,0.0428146524733876
139,44,2846,973,0.045220966084275435
140,4038,71932,21276,0.1897913141567964
141,289,2022,1226,0.23572593800978792
142,2498,62604,15948,0.15663406069726613
143,275,4384,3052,0.09010484927916121
144,1839,3642,2267,0.8112042346713718
145,1140,2224,1149,0.9921671018276762
146,2393,4793,4680,0.5113247863247863
147,744,2203,2730,0.2725274725274725
148,1990,6812,3728,0.5337982832618026
149,2600,74194,29896,0.08696815627508697
150,695,2305,1291,0.5383423702556158
151,294,2021,872,0.33715596330275227
152,221,1673,729,0.30315500685871055
153,12983,70973,59235,0.21917785093272557
154,185,2978,1862,0.09935553168635876
155,313,11183,5650,0.05539823008849558
156,4631,32897,11350,0.40801762114537443
157,544,2075,800,0.68
158,2214,12544,5549,0.3989908091548027
159,209,3182,1740,0.12011494252873563
160,290,1553,1048,0.2767175572519084
161,205,3031,334,0.6137724550898204
162,18,486,59,0.3050847457627119
163,13,3156,1741,0.007466973004020678
164,360,3315,1689,0.21314387211367672
165,5258,5176,4989,1.0539186209661255
166,278,2317,1835,0.15149863760217983
167,4,668,55,0.07272727272727272
168,928,3924,4221,0.21985311537550342
169,309,2891,1502,0.20572569906790947
170,716,3774,1916,0.3736951983298539
171,785,7082,4142,0.1895219700627716
172,824,7688,5558,0.14825476790212305
173,455,4960,978,0.4652351738241309
174,5,4246,1507,0.0033178500331785005
175,4725,50628,22084,0.21395580510777032
176,684,4309,2085,0.32805755395683456
177,809,1540,1117,0.7242614145031334
