true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
5,14,1,1080,104,0.0962962962962963,71,0.06574074074074074,-33,-0.030555555555555558
5,6,2,1080,59,0.05462962962962963,56,0.05185185185185185,-3,-0.002777777777777782
5,124,3,1080,53,0.049074074074074076,51,0.04722222222222222,-2,-0.0018518518518518545
5,151,4,1080,30,0.027777777777777776,12,0.011111111111111112,-18,-0.016666666666666663
5,83,5,1080,20,0.018518518518518517,21,0.019444444444444445,1,0.0009259259259259273
6,5,1,1684,942,0.5593824228028503,994,0.5902612826603325,52,0.030878859857482177
6,14,2,1684,64,0.03800475059382423,47,0.027909738717339667,-17,-0.010095011876484563
6,151,3,1684,36,0.021377672209026127,21,0.012470308788598575,-15,-0.008907363420427552
6,149,4,1684,15,0.008907363420427554,8,0.004750593824228029,-7,-0.004156769596199525
6,83,5,1684,9,0.005344418052256532,5,0.0029691211401425177,-4,-0.002375296912114014
10,156,1,1004,366,0.3645418326693227,309,0.30776892430278885,-57,-0.05677290836653387
10,138,2,1004,250,0.24900398406374502,176,0.1752988047808765,-74,-0.07370517928286852
10,117,3,1004,107,0.10657370517928287,158,0.15737051792828685,51,0.05079681274900398
10,132,4,1004,34,0.03386454183266932,40,0.0398406374501992,6,0.005976095617529882
10,61,5,1004,31,0.030876494023904383,41,0.04083665338645418,10,0.009960159362549799
11,153,1,1749,446,0.2550028587764437,370,0.2115494568324757,-76,-0.04345340194396799
11,93,2,1749,270,0.15437392795883362,279,0.1595197255574614,9,0.005145797598627794
11,133,3,1749,131,0.07489994282447113,128,0.07318467695826186,-3,-0.0017152658662092646
11,148,4,1749,49,0.02801600914808462,71,0.04059462550028588,22,0.012578616352201259
11,176,5,1749,39,0.022298456260720412,18,0.010291595197255575,-21,-0.012006861063464836
12,156,1,263,55,0.20912547528517111,37,0.14068441064638784,-18,-0.06844106463878327
12,117,2,263,47,0.17870722433460076,58,0.22053231939163498,11,0.04182509505703422
12,63,3,263,28,0.10646387832699619,32,0.12167300380228137,4,0.015209125475285176
12,125,4,263,16,0.060836501901140684,3,0.011406844106463879,-13,-0.049429657794676805
12,50,5,263,8,0.030418250950570342,5,0.019011406844106463,-3,-0.011406844106463879
14,129,1,5821,1203,0.20666552138807764,1166,0.20030922521903452,-37,-0.006356296169043124
14,63,2,5821,343,0.058924583404913244,490,0.08417797629273321,147,0.02525339288781997
14,61,3,5821,297,0.05102216114069748,291,0.049991410410582374,-6,-0.0010307507301151042
14,153,4,5821,256,0.04397869781824429,204,0.03504552482391342,-52,-0.00893317299433087
14,86,5,5821,179,0.0307507301151005,129,0.02216114069747466,-50,-0.008589589417625838
26,13,1,807,174,0.21561338289962825,193,0.23915737298636927,19,0.023543990086741018
26,49,2,807,98,0.12143742255266418,104,0.1288723667905824,6,0.007434944237918212
26,136,3,807,74,0.09169764560099132,70,0.08674101610904585,-4,-0.0049566294919454745
26,46,4,807,65,0.080545229244114,38,0.04708798017348203,-27,-0.033457249070631974
26,61,5,807,57,0.07063197026022305,63,0.07806691449814127,6,0.007434944237918212
28,49,1,5815,1062,0.1826311263972485,970,0.16680997420464316,-92,-0.015821152192605326
28,117,2,5815,397,0.06827171109200345,232,0.03989681857265692,-165,-0.028374892519346523
28,158,3,5815,322,0.05537403267411866,347,0.059673258813413586,25,0.004299226139294926
28,95,4,5815,267,0.04591573516766982,344,0.059157351676698194,77,0.013241616509028373
28,142,5,5815,262,0.045055889939810835,238,0.040928632846087706,-24,-0.004127257093723129
38,45,1,193,89,0.46113989637305697,71,0.36787564766839376,-18,-0.09326424870466321
38,39,2,193,52,0.2694300518134715,67,0.3471502590673575,15,0.07772020725388601
38,105,3,193,7,0.03626943005181347,7,0.03626943005181347,0,0.0
38,133,4,193,7,0.03626943005181347,7,0.03626943005181347,0,0.0
38,125,5,193,5,0.025906735751295335,9,0.046632124352331605,4,0.02072538860103627
47,5,1,618,279,0.45145631067961167,298,0.48220064724919093,19,0.030744336569579256
47,6,2,618,96,0.1553398058252427,115,0.18608414239482202,19,0.03074433656957931
47,7,3,618,59,0.09546925566343042,73,0.11812297734627832,14,0.02265372168284789
47,151,4,618,43,0.06957928802588997,16,0.025889967637540454,-27,-0.04368932038834952
47,102,5,618,33,0.05339805825242718,26,0.042071197411003236,-7,-0.011326860841423946
48,14,1,3361,1310,0.389764950907468,1167,0.34721808985421004,-143,-0.042546861053257945
48,177,2,3361,1096,0.32609342457601903,1147,0.3412674799166915,51,0.015174055340672454
48,170,3,3361,577,0.1716750966974115,635,0.1889318655162154,58,0.01725676881880392
48,6,4,3361,200,0.05950609937518596,218,0.06486164831895269,18,0.005355548943766733
48,5,5,3361,41,0.012198750371913121,64,0.019041951800059506,23,0.006843201428146385
56,96,1,12137,3063,0.25236878965147896,3085,0.2541814286891324,22,0.0018126390376534407
56,165,2,12137,3015,0.24841394084205323,3077,0.25352228722089476,62,0.005108346378841527
56,118,3,12137,2489,0.20507538930542968,2497,0.2057345307736673,8,0.0006591414682376173
56,14,4,12137,1140,0.09392765922386093,1122,0.09244459092032628,-18,-0.001483068303534646
56,71,5,12137,576,0.047458185713108676,482,0.03971327346131664,-94,-0.007744912251792038
66,71,1,1955,271,0.13861892583120206,306,0.1565217391304348,35,0.01790281329923274
66,142,2,1955,266,0.1360613810741688,295,0.15089514066496162,29,0.014833759590792833
66,49,3,1955,240,0.12276214833759591,232,0.11867007672634271,-8,-0.0040920716112532035
66,78,4,1955,154,0.07877237851662404,172,0.08797953964194373,18,0.00920716112531969
66,108,5,1955,140,0.07161125319693094,141,0.0721227621483376,1,0.0005115089514066556
69,105,1,1866,703,0.3767416934619507,697,0.37352625937834943,-6,-0.003215434083601254
69,39,2,1866,198,0.10610932475884244,170,0.09110396570203644,-28,-0.015005359056806
69,60,3,1866,181,0.0969989281886388,173,0.09271168274383708,-8,-0.004287245444801718
69,125,4,1866,151,0.08092175777063237,204,0.10932475884244373,53,0.02840300107181136
69,18,5,1866,136,0.07288317256162916,159,0.08520900321543408,23,0.012325830653804923
104,2,1,1744,370,0.2121559633027523,616,0.3532110091743119,246,0.14105504587155962
104,117,2,1744,299,0.17144495412844038,22,0.01261467889908257,-277,-0.1588302752293578
104,133,3,1744,272,0.1559633027522936,277,0.1588302752293578,5,0.002866972477064217
104,19,4,1744,254,0.14564220183486237,286,0.16399082568807338,32,0.01834862385321101
104,110,5,1744,111,0.06364678899082568,73,0.041857798165137614,-38,-0.021788990825688068
109,71,1,393,98,0.24936386768447838,109,0.27735368956743,11,0.027989821882951627
109,158,2,393,79,0.2010178117048346,80,0.2035623409669211,1,0.002544529262086509
109,140,3,393,62,0.15776081424936386,59,0.15012722646310434,-3,-0.007633587786259527
109,116,4,393,27,0.06870229007633588,27,0.06870229007633588,0,0.0
109,142,5,393,26,0.06615776081424936,27,0.06870229007633588,1,0.002544529262086523
118,25,1,2577,971,0.37679472254559565,459,0.1781140861466822,-512,-0.19868063639891345
118,96,2,2577,20,0.007760962359332557,539,0.2091579355840124,519,0.20139697322467986
118,117,3,2577,13,0.005044625533566162,6,0.002328288707799767,-7,-0.002716336825766395
118,90,4,2577,12,0.004656577415599534,10,0.0038804811796662787,-2,-0.0007760962359332556
118,124,5,2577,12,0.004656577415599534,10,0.0038804811796662787,-2,-0.0007760962359332556
139,133,1,973,147,0.1510791366906475,130,0.13360739979445016,-17,-0.017471736896197326
139,32,2,973,105,0.1079136690647482,155,0.1593011305241521,50,0.0513874614594039
139,61,3,973,83,0.08530318602261049,105,0.1079136690647482,22,0.02261048304213771
139,153,4,973,50,0.051387461459403906,27,0.02774922918807811,-23,-0.023638232271325797
139,156,5,973,46,0.047276464542651594,33,0.03391572456320658,-13,-0.013360739979445015
164,138,1,1689,177,0.10479573712255773,79,0.046773238602723505,-98,-0.05802249851983422
164,117,2,1689,147,0.08703374777975133,117,0.06927175843694494,-30,-0.017761989342806386
164,149,3,1689,99,0.0586145648312611,130,0.07696862048549438,31,0.01835405565423328
164,124,4,1689,60,0.035523978685612786,66,0.03907637655417407,6,0.003552397868561284
164,96,5,1689,17,0.010065127294256957,27,0.015985790408525755,10,0.005920663114268797
174,2,1,1507,440,0.291970802919708,445,0.29528865295288653,5,0.0033178500331785266
174,133,2,1507,283,0.18779031187790313,267,0.1771731917717319,-16,-0.010617120106171218
174,28,3,1507,250,0.16589250165892502,335,0.22229595222295953,85,0.05640345056403451
174,19,4,1507,102,0.0676841406768414,102,0.0676841406768414,0,0.0
174,23,5,1507,100,0.06635700066357,103,0.0683477106834771,3,0.0019907100199070965
