class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
0,other,1414,950,444,0.8807339449541285,0.8924905456509995,0.011756600696871011,0.8589473684210527,0.8694736842105263,0.010526315789473606
1,other,10792,3117,1051,0.7320779649818302,0.7488418266048974,0.0167638616230672,0.7109400064164261,0.726018607635547,0.015078601219120968
2,other,7583,3678,1168,0.47664695084642056,0.4616659759635309,-0.014980974882889686,0.6353996737357259,0.6057640021750952,-0.02963567156063074
3,other,1593,743,671,0.9085173501577287,0.8469626168224299,-0.06155473333529882,0.9690444145356663,0.9757738896366084,0.006729475100942128
4,other,3737,869,734,0.7423423423423423,0.7220530665506742,-0.02028927579166806,0.9482163406214039,0.9551208285385501,0.0069044879171461515
5,bad,2093,1080,876,0.4354605833092694,0.4661525278491859,0.030691944539916527,0.6981481481481482,0.7555555555555555,0.05740740740740735
6,bad,2729,1684,285,0.44360902255639095,0.42309124767225326,-0.020517774884137696,0.3503562945368171,0.33729216152019004,-0.013064133016627066
7,other,36,33,8,0.125,0.11678832116788321,-0.008211678832116792,0.21212121212121213,0.24242424242424243,0.030303030303030304
8,stable,1574,1142,677,0.8680459770114942,0.8645454545454545,-0.0035005224660397127,0.8266199649737302,0.8327495621716288,0.0061295971978985175
9,other,1547,910,31,0.23937007874015748,0.29058561897702,0.05121554023686253,0.16703296703296702,0.2153846153846154,0.048351648351648374
10,bad,2020,1004,27,0.16184971098265896,0.2237339380196523,0.06188422703699334,0.09760956175298804,0.14741035856573706,0.049800796812749015
11,bad,1685,1749,113,0.22343522561863174,0.2307962118554893,0.007360986236857547,0.1755288736420812,0.18810748999428245,0.012578616352201255
12,bad,2788,263,74,0.23184357541899442,0.2749326145552561,0.043089039136261664,0.3155893536121673,0.38783269961977185,0.07224334600760457
13,other,2093,1090,103,0.3990514905149051,0.3940368313358667,-0.005014659179038428,0.5403669724770642,0.618348623853211,0.07798165137614677
14,bad,10401,5821,30,0.2579329472224488,0.2540850372144752,-0.0038479100079736317,0.271602817385329,0.2551108057034874,-0.016492011681841612
15,stable,751,715,400,0.8106551475881929,0.7897293546148508,-0.020925792973342072,0.7874125874125875,0.7958041958041958,0.008391608391608352
16,other,2008,1186,41,0.22592791823561054,0.21850393700787402,-0.00742398122773652,0.17706576728499157,0.18718381112984822,0.01011804384485665
17,other,10007,8301,6189,0.8305555555555556,0.8613569321533924,0.03080137659783677,0.9004939163956149,0.8794121190218046,-0.02108179737381033
18,other,21926,25658,16205,0.8718385454833535,0.851534506932544,-0.020304038550809533,0.857822121755398,0.8521318886896875,-0.005690233065710482
19,other,13185,22936,5727,0.6062648892493284,0.5974233896185116,-0.008841499630816818,0.521494593651901,0.5206226020230206,-0.0008719916288804086
20,other,1281,1125,427,0.5622798591098302,0.4704641350210971,-0.09181572408873317,0.7804444444444445,0.7928888888888889,0.01244444444444437
21,other,2620,2095,1480,0.828643216080402,0.8374407582938389,0.00879754221343687,0.7871121718377089,0.843436754176611,0.05632458233890214
22,other,4636,743,374,0.6884236453201971,0.6845714285714286,-0.0038522167487684555,0.7523553162853297,0.8061911170928667,0.053835800807537026
