method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,absorber_margin,1000,5,0.6568,0.0017,0.3773,0.0071,0.8810,0.0029,3.0000,0.0000,0.6571,0.0017,0.3790,0.0071,0.8810,0.0029,3.0000,0.0000
active_head_ft,absorber_margin,200,5,0.6274,0.0023,0.1268,0.0047,0.8828,0.0097,8.4000,0.5477,0.6275,0.0023,0.1270,0.0047,0.8828,0.0097,8.4000,0.5477
active_head_ft,absorber_margin,500,5,0.6425,0.0014,0.2526,0.0091,0.8850,0.0069,4.2000,0.4472,0.6427,0.0014,0.2537,0.0091,0.8850,0.0069,4.2000,0.4472
active_head_ft,margin,1000,5,0.6729,0.0013,0.2327,0.0027,0.8843,0.0032,5.0000,0.0000,0.6732,0.0013,0.2337,0.0027,0.8844,0.0032,5.0000,0.0000
active_head_ft,margin,200,5,0.6372,0.0016,0.1159,0.0046,0.8754,0.0073,10.0000,0.0000,0.6373,0.0016,0.1160,0.0046,0.8754,0.0073,10.0000,0.0000
active_head_ft,margin,500,5,0.6496,0.0015,0.1549,0.0093,0.8895,0.0045,6.8000,1.0954,0.6497,0.0015,0.1552,0.0093,0.8896,0.0045,6.8000,1.0954
active_head_ft,random,1000,5,0.6563,0.0057,0.1832,0.0290,0.8900,0.0076,8.0000,0.7071,0.6565,0.0057,0.1838,0.0289,0.8901,0.0076,7.8000,0.4472
active_head_ft,random,200,5,0.6289,0.0049,0.0702,0.0270,0.8827,0.0068,10.6000,0.8944,0.6289,0.0049,0.0703,0.0270,0.8827,0.0068,10.6000,0.8944
active_head_ft,random,500,5,0.6447,0.0069,0.1266,0.0282,0.8868,0.0083,9.0000,1.2247,0.6448,0.0069,0.1270,0.0281,0.8869,0.0083,8.8000,1.3038
static,,0,5,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000,0.6286,0.0000,0.0276,0.0000,0.9028,0.0000,12.0000,0.0000
