method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,2,0.5,2.0,150,0,0,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,0.7519431632771048,0.6286470835004149,0.006916489789943643,0.027576567124341363,27326,0.9412229836584081,0.9027706369575663,144172,12,8,,
active_head_ft,random,200,stable_absorber,5,2,0.5,2.0,150,4,25,0.7653732457867515,0.6303974806969963,0.22406851621403998,0.09560353302906494,27322,0.9382297238235967,0.8753131542820176,144147,10,6,0.7654064413642687,0.6304289846562835,0.22414550245187734,0.09568283655874753,27326,0.9382404350359294,0.875330174379054,144172,10,6,550,0.1595209836959839
active_head_ft,random,500,stable_absorber,5,2,0.5,2.0,150,10,58,0.7763094329979913,0.6342830582463432,0.36484111875823694,0.1252033317238804,27316,0.9410319751304541,0.8739596024433037,144112,8,7,0.7763826216021565,0.6343841417452363,0.3650003659518407,0.1256789255315829,27326,0.9410426435091419,0.8740117170598888,144172,8,7,1150,0.16134081780910492
active_head_ft,random,1000,stable_absorber,5,2,0.5,2.0,150,20,119,0.7872063008752644,0.6502917150283682,0.3688932835274299,0.14760946777729692,27306,0.9387546855476885,0.8814326848185704,144060,7,6,0.7873459544795345,0.6505075488258004,0.36920881212032497,0.14832795389358663,27326,0.9387953278029021,0.8815269891079165,144172,7,6,2150,0.16159017384052277
active_head_ft,margin,200,stable_absorber,5,2,0.5,2.0,150,10,36,0.7726542653260057,0.6349306242425864,0.36008200322155515,0.11840418903811582,27316,0.9447712327626869,0.8743540324506313,144164,10,5,0.7726833375024278,0.6349724811689256,0.36016980165410234,0.11849757138831506,27326,0.9447673612074466,0.8743621304311663,144172,10,5,550,0.19158145785331726
active_head_ft,margin,500,stable_absorber,5,2,0.5,2.0,150,20,82,0.7838748526720137,0.650017200563779,0.3924412217095144,0.16370418386082386,27306,0.944260998654217,0.8886693727555427,144154,6,4,0.7839255336755769,0.650119100268243,0.3927029202956891,0.16398591418805278,27326,0.9442540853979968,0.888692797919344,144172,6,4,1150,0.18453998863697052
active_head_ft,margin,1000,stable_absorber,5,2,0.5,2.0,150,39,155,0.8020093342378665,0.6746710918202905,0.48928060981419724,0.2344653333425822,27287,0.9372775646406694,0.8875003153545894,144143,5,4,0.8020841441655223,0.6749490870017278,0.48989972919563785,0.23539628649645902,27326,0.9372763088533141,0.8875463327273188,144172,5,4,2150,0.18442761898040771
active_head_ft,absorber_margin,200,stable_absorber,5,2,0.5,2.0,150,13,200,0.7502420581861773,0.6283336947246996,0.29820964375938197,0.12799369760716903,27313,0.944273734297942,0.8809791246482839,144169,8,6,0.7502571361419679,0.6283819393791668,0.2982873453853473,0.12804001738145276,27326,0.9442748938767583,0.8809801363963228,144172,8,6,550,0.20104551315307617
active_head_ft,absorber_margin,500,stable_absorber,5,2,0.5,2.0,150,37,500,0.7584614837960005,0.641983569054821,0.48990435706695007,0.2526235446917933,27289,0.9422312553325796,0.8827914059045554,144161,4,2,0.7584983400454495,0.6421803514325983,0.49026568103637563,0.253632121757828,27326,0.9422356629581333,0.8827977485420038,144172,4,2,1150,0.1994195431470871
active_head_ft,absorber_margin,1000,stable_absorber,5,2,0.5,2.0,150,76,1000,0.7762112311861259,0.6582456771424376,0.6393761467889908,0.38198130729566343,27250,0.9377414901808445,0.8788107445206373,144157,3,2,0.7762692625388349,0.6585841843524762,0.6399765790821927,0.38374015320159094,27326,0.9377410315456538,0.878826095316359,144172,3,2,2150,0.19974380731582642
