strategy,budget,class_id,selected_count
margin,1000,1,2
margin,1000,2,3
margin,1000,5,3
margin,1000,6,1
margin,1000,8,1
margin,1000,9,1
margin,1000,10,2
margin,1000,11,6
margin,1000,12,1
margin,1000,13,2
margin,1000,14,9
margin,1000,16,2
margin,1000,17,3
margin,1000,18,6
margin,1000,19,18
margin,1000,20,1
margin,1000,21,3
margin,1000,22,2
margin,1000,23,2
margin,1000,24,3
margin,1000,25,26
margin,1000,28,14
margin,1000,29,32
margin,1000,32,2
margin,1000,33,1
margin,1000,34,2
margin,1000,36,1
margin,1000,39,3
margin,1000,42,5
margin,1000,45,3
margin,1000,46,6
margin,1000,49,14
margin,1000,50,2
margin,1000,51,3
margin,1000,52,1
margin,1000,53,4
margin,1000,54,10
margin,1000,55,14
margin,1000,56,9
margin,1000,59,1
margin,1000,60,24
margin,1000,61,7
margin,1000,62,3
margin,1000,63,3
margin,1000,64,4
margin,1000,66,4
margin,1000,67,8
margin,1000,71,31
margin,1000,72,3
margin,1000,73,6
margin,1000,75,14
margin,1000,77,19
margin,1000,78,15
margin,1000,79,3
margin,1000,80,1
margin,1000,82,14
margin,1000,83,5
margin,1000,86,34
margin,1000,90,1
margin,1000,93,6
margin,1000,94,2
margin,1000,96,23
margin,1000,97,29
margin,1000,98,1
margin,1000,99,5
margin,1000,100,20
margin,1000,101,56
margin,1000,102,3
margin,1000,103,5
margin,1000,104,3
margin,1000,105,3
margin,1000,108,4
margin,1000,109,1
margin,1000,110,2
margin,1000,111,1
margin,1000,115,7
margin,1000,117,47
margin,1000,118,1
margin,1000,119,2
margin,1000,120,1
margin,1000,122,29
margin,1000,123,16
margin,1000,124,9
margin,1000,125,2
margin,1000,126,1
margin,1000,127,10
margin,1000,128,1
margin,1000,129,3
margin,1000,130,3
margin,1000,131,5
margin,1000,132,6
margin,1000,133,1
margin,1000,135,2
margin,1000,136,13
margin,1000,138,30
margin,1000,139,2
margin,1000,140,28
margin,1000,141,2
margin,1000,142,11
margin,1000,143,7
margin,1000,146,3
margin,1000,147,2
margin,1000,148,1
margin,1000,149,40
margin,1000,150,4
margin,1000,151,2
margin,1000,153,45
margin,1000,154,2
margin,1000,155,10
margin,1000,156,8
margin,1000,157,1
margin,1000,158,6
margin,1000,159,2
margin,1000,160,1
margin,1000,163,4
margin,1000,164,1
margin,1000,167,1
margin,1000,168,1
margin,1000,170,2
margin,1000,171,6
margin,1000,172,3
margin,1000,174,4
margin,1000,175,25
