strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,7,33,0.24242424242424243,0.1523809523809524,33,0.24242424242424243,0.1523809523809524
margin,200,10,1004,0.013944223107569721,0.025339366515837104,1004,0.013944223107569721,0.025339366515837104
margin,200,47,618,0.006472491909385114,0.012232415902140673,618,0.006472491909385114,0.012232415902140673
margin,200,48,3360,0.05178571428571429,0.0912906610703043,3361,0.05206783695328771,0.09176717357105402
margin,200,56,12134,0.6338388000659304,0.6889107846649947,12137,0.6337645217104722,0.6888769478774852
margin,200,66,1955,0.0025575447570332483,0.004531037607612143,1955,0.0025575447570332483,0.004531037607612143
margin,200,69,1865,0.026273458445040216,0.026015396867533847,1866,0.026259378349410504,0.026008492569002124
margin,200,104,1741,0.6967260195290064,0.46244757910789175,1744,0.6972477064220184,0.4630616907844631
margin,200,121,16,0.0,0.0,16,0.0,0.0
margin,200,163,1741,0.012062033314187249,0.022198731501057084,1741,0.012062033314187249,0.022198731501057084
margin,200,174,1505,0.00132890365448505,0.00175054704595186,1507,0.0013271400132714001,0.0017490161783996502
margin,500,7,33,0.09090909090909091,0.09375,33,0.09090909090909091,0.09375
margin,500,10,1004,0.01195219123505976,0.02321083172147002,1004,0.01195219123505976,0.02321083172147002
margin,500,47,618,0.0048543689320388345,0.009316770186335404,618,0.0048543689320388345,0.009316770186335404
margin,500,48,3360,0.05178571428571429,0.09581497797356828,3361,0.05206783695328771,0.09631260319207485
margin,500,56,12134,0.6580682380089006,0.7218079096045198,12137,0.6580703633517344,0.7218255761409851
margin,500,66,1954,0.0010235414534288639,0.001466275659824047,1955,0.0010230179028132991,0.0014657383657017222
margin,500,69,1864,0.30579399141630903,0.247074122236671,1866,0.3060021436227224,0.247346761966645
margin,500,104,1737,0.7380541162924582,0.6117871629682653,1744,0.739105504587156,0.6130796670630202
margin,500,121,16,0.0,0.0,16,0.0,0.0
margin,500,163,1740,0.10402298850574712,0.11369346733668342,1741,0.10453762205628948,0.11424984306340238
margin,500,174,1503,0.1277445109780439,0.06754617414248021,1507,0.1293961512939615,0.0684931506849315
margin,1000,7,33,0.06060606060606061,0.08,33,0.06060606060606061,0.08
margin,1000,10,1004,0.008964143426294821,0.01761252446183953,1004,0.008964143426294821,0.01761252446183953
margin,1000,47,618,0.0,0.0,618,0.0,0.0
margin,1000,48,3357,0.4855525767053917,0.569830449222164,3361,0.48616483189526927,0.5704311398149764
margin,1000,56,12125,0.7638762886597938,0.7510237178187715,12137,0.7641097470544616,0.7512657458787314
margin,1000,66,1954,0.0020470829068577278,0.0033236393851267137,1955,0.0020460358056265983,0.0033222591362126247
margin,1000,69,1863,0.2957595276435856,0.2568764568764569,1866,0.29635584137191856,0.25750873108265426
margin,1000,104,1736,0.7269585253456221,0.639635073492144,1744,0.7282110091743119,0.6410903584048461
margin,1000,121,16,0.0,0.0,16,0.0,0.0
margin,1000,163,1738,0.1956271576524741,0.1807068828062716,1741,0.19701321079839174,0.18201114353940037
margin,1000,174,1503,0.1430472388556221,0.16337386018237082,1507,0.14465826144658261,0.1650889814464218
absorber_margin,200,7,33,0.15151515151515152,0.12345679012345678,33,0.15151515151515152,0.12345679012345678
absorber_margin,200,10,1004,0.08167330677290836,0.13981244671781756,1004,0.08167330677290836,0.13981244671781756
absorber_margin,200,47,618,0.0,0.0,618,0.0,0.0
absorber_margin,200,48,3356,0.4806317044100119,0.3891904934250211,3361,0.48110681344837847,0.3897324656543745
absorber_margin,200,56,12132,0.44469172436531484,0.5595022037853253,12137,0.44475570569333445,0.559581195252164
absorber_margin,200,66,1955,0.0005115089514066496,0.0008916629514043691,1955,0.0005115089514066496,0.0008916629514043691
