strategy,budget,class_id,selected_count
margin,1000,0,3
margin,1000,1,3
margin,1000,2,5
margin,1000,6,2
margin,1000,8,1
margin,1000,9,1
margin,1000,11,4
margin,1000,13,3
margin,1000,14,12
margin,1000,16,2
margin,1000,17,3
margin,1000,18,11
margin,1000,19,31
margin,1000,20,8
margin,1000,21,2
margin,1000,23,4
margin,1000,24,11
margin,1000,25,26
margin,1000,27,17
margin,1000,28,16
margin,1000,29,23
margin,1000,31,1
margin,1000,32,2
margin,1000,33,1
margin,1000,34,5
margin,1000,39,1
margin,1000,40,1
margin,1000,41,2
margin,1000,42,3
margin,1000,43,1
margin,1000,46,6
margin,1000,47,2
margin,1000,48,7
margin,1000,49,8
margin,1000,50,4
margin,1000,51,5
margin,1000,52,1
margin,1000,53,1
margin,1000,54,6
margin,1000,56,21
margin,1000,60,13
margin,1000,61,16
margin,1000,62,2
margin,1000,63,8
margin,1000,65,1
margin,1000,66,5
margin,1000,67,2
margin,1000,68,1
margin,1000,69,3
margin,1000,71,34
margin,1000,72,5
margin,1000,74,6
margin,1000,75,8
margin,1000,76,1
margin,1000,77,6
margin,1000,78,7
margin,1000,79,6
margin,1000,80,3
margin,1000,82,30
margin,1000,83,9
margin,1000,85,1
margin,1000,86,20
margin,1000,92,1
margin,1000,93,8
margin,1000,94,1
margin,1000,96,29
margin,1000,97,13
margin,1000,98,1
margin,1000,99,16
margin,1000,100,22
margin,1000,101,41
margin,1000,102,5
margin,1000,103,3
margin,1000,104,4
margin,1000,105,6
margin,1000,107,1
margin,1000,108,5
margin,1000,109,1
margin,1000,110,7
margin,1000,111,1
margin,1000,112,4
margin,1000,115,8
margin,1000,117,59
margin,1000,119,1
margin,1000,120,1
margin,1000,122,22
margin,1000,123,2
margin,1000,124,23
margin,1000,125,3
margin,1000,126,4
margin,1000,127,5
margin,1000,128,4
margin,1000,129,13
margin,1000,130,1
margin,1000,131,6
margin,1000,132,12
margin,1000,133,6
margin,1000,134,3
margin,1000,136,11
margin,1000,138,6
margin,1000,139,2
margin,1000,140,8
margin,1000,141,2
margin,1000,142,9
margin,1000,143,3
margin,1000,146,8
margin,1000,147,4
margin,1000,148,2
margin,1000,149,34
margin,1000,153,33
margin,1000,155,7
margin,1000,156,7
margin,1000,157,1
margin,1000,158,3
margin,1000,159,3
margin,1000,160,2
margin,1000,161,1
margin,1000,162,1
margin,1000,163,4
margin,1000,164,1
margin,1000,165,6
margin,1000,166,5
margin,1000,168,2
margin,1000,170,3
margin,1000,171,11
margin,1000,172,2
margin,1000,175,20
margin,1000,176,4
