strategy,budget,class_id,selected_count
margin,1000,1,1
margin,1000,2,6
margin,1000,6,1
margin,1000,10,1
margin,1000,13,2
margin,1000,14,9
margin,1000,16,2
margin,1000,18,3
margin,1000,19,1
margin,1000,23,1
margin,1000,25,6
margin,1000,27,8
margin,1000,28,12
margin,1000,29,18
margin,1000,31,1
margin,1000,32,6
margin,1000,35,1
margin,1000,38,1
margin,1000,40,1
margin,1000,41,5
margin,1000,43,3
margin,1000,44,1
margin,1000,45,2
margin,1000,46,3
margin,1000,47,1
margin,1000,48,1
margin,1000,49,12
margin,1000,50,2
margin,1000,51,5
margin,1000,53,1
margin,1000,54,9
margin,1000,55,1
margin,1000,56,24
margin,1000,60,42
margin,1000,61,12
margin,1000,62,2
margin,1000,63,14
margin,1000,66,2
margin,1000,68,1
margin,1000,70,1
margin,1000,71,48
margin,1000,72,4
margin,1000,73,1
margin,1000,74,7
margin,1000,75,11
margin,1000,76,16
margin,1000,77,34
margin,1000,78,7
margin,1000,79,12
margin,1000,80,5
margin,1000,82,28
margin,1000,83,5
margin,1000,86,14
margin,1000,90,1
margin,1000,91,2
margin,1000,93,19
margin,1000,95,1
margin,1000,96,20
margin,1000,97,29
margin,1000,98,3
margin,1000,99,2
margin,1000,101,78
margin,1000,102,1
margin,1000,104,2
margin,1000,105,1
margin,1000,107,1
margin,1000,110,3
margin,1000,111,2
margin,1000,112,1
margin,1000,115,11
margin,1000,116,2
margin,1000,117,45
margin,1000,118,1
margin,1000,119,3
margin,1000,120,1
margin,1000,121,1
margin,1000,122,21
margin,1000,123,1
margin,1000,124,14
margin,1000,125,2
margin,1000,126,1
margin,1000,127,6
margin,1000,130,2
margin,1000,131,9
margin,1000,132,3
margin,1000,133,2
margin,1000,135,3
margin,1000,136,5
margin,1000,137,5
margin,1000,138,55
margin,1000,139,10
margin,1000,140,34
margin,1000,141,2
margin,1000,142,18
margin,1000,143,5
margin,1000,144,1
margin,1000,146,2
margin,1000,148,2
margin,1000,149,26
margin,1000,150,1
margin,1000,152,1
margin,1000,153,28
margin,1000,154,1
margin,1000,155,4
margin,1000,156,12
margin,1000,157,2
margin,1000,158,5
margin,1000,159,3
margin,1000,160,3
margin,1000,162,1
margin,1000,163,1
margin,1000,164,4
margin,1000,165,3
margin,1000,168,1
margin,1000,170,1
margin,1000,171,3
margin,1000,172,4
margin,1000,173,1
margin,1000,174,5
margin,1000,175,37
margin,1000,176,3
