strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,1000,56,8090,0.857849196538937,0.8905999358357395,8114,0.8582696573823022,0.8908788537802226
margin,1000,163,1275,0.10666666666666667,0.1130977130977131,1276,0.10736677115987461,0.11383464894058995
margin,1000,174,1062,0.15160075329566855,0.1583087512291052,1067,0.15370196813495782,0.16062683643486778
margin,1000,48,4497,0.4387369357349344,0.604195375899556,4498,0.43886171631836374,0.60431654676259
margin,1000,38,101,0.8118811881188119,0.5141065830721003,102,0.8137254901960784,0.5171339563862928
margin,1000,69,605,0.9239669421487603,0.8713951675759938,605,0.9239669421487603,0.8713951675759938
margin,1000,104,1717,0.38206173558532325,0.4584206848357792,1719,0.3827806864456079,0.45917655268667135
margin,1000,47,383,0.9686684073107049,0.7442326980942828,384,0.96875,0.7447447447447447
margin,1000,66,2585,0.7001934235976789,0.7635519932503692,2587,0.7004252029377658,0.7637513171759747
margin,1000,10,1345,0.8542750929368029,0.8257276320517427,1346,0.8543833580980683,0.8258527827648114
margin,1000,109,1236,0.9409385113268608,0.9420818144997974,1236,0.9409385113268608,0.9420818144997974
margin,1000,26,952,0.6060924369747899,0.678424456202234,952,0.6060924369747899,0.678424456202234
