method,strategy,budget,n_seeds,strict_overall_macro_f1_mean,strict_overall_macro_f1_std,strict_bad_macro_f1_mean,strict_bad_macro_f1_std,strict_stable_macro_f1_mean,strict_stable_macro_f1_std,strict_collapsed_count_mean,strict_collapsed_count_std,full_overall_macro_f1_mean,full_overall_macro_f1_std,full_bad_macro_f1_mean,full_bad_macro_f1_std,full_stable_macro_f1_mean,full_stable_macro_f1_std,full_collapsed_count_mean,full_collapsed_count_std
active_head_ft,absorber_margin,1000,5,0.7444,0.0023,0.4389,0.0061,0.4153,0.0019,5.6000,0.5477,0.7444,0.0023,0.4389,0.0061,0.4153,0.0019,5.6000,0.5477
active_head_ft,absorber_margin,200,5,0.7368,0.0016,0.3950,0.0038,0.4028,0.0017,7.0000,0.0000,0.7368,0.0016,0.3950,0.0038,0.4028,0.0017,7.0000,0.0000
active_head_ft,absorber_margin,500,5,0.7397,0.0019,0.4127,0.0028,0.4089,0.0024,6.8000,0.4472,0.7397,0.0019,0.4127,0.0028,0.4089,0.0024,6.8000,0.4472
active_head_ft,margin,1000,5,0.7179,0.0029,0.4125,0.0089,0.4084,0.0031,6.2000,0.4472,0.7179,0.0029,0.4125,0.0089,0.4084,0.0031,6.2000,0.4472
active_head_ft,margin,200,5,0.7187,0.0014,0.3812,0.0030,0.3991,0.0026,7.8000,0.8367,0.7187,0.0014,0.3812,0.0030,0.3991,0.0026,7.8000,0.8367
active_head_ft,margin,500,5,0.7194,0.0021,0.3962,0.0047,0.4081,0.0027,7.0000,0.0000,0.7194,0.0021,0.3962,0.0047,0.4081,0.0027,7.0000,0.0000
active_head_ft,random,1000,5,0.7218,0.0020,0.4248,0.0096,0.4066,0.0028,5.4000,0.8944,0.7218,0.0020,0.4249,0.0096,0.4066,0.0028,5.4000,0.8944
active_head_ft,random,200,5,0.7233,0.0035,0.3780,0.0059,0.3992,0.0050,7.6000,0.5477,0.7233,0.0035,0.3780,0.0059,0.3993,0.0050,7.6000,0.5477
active_head_ft,random,500,5,0.7236,0.0043,0.3947,0.0162,0.4030,0.0029,6.0000,0.7071,0.7236,0.0043,0.3947,0.0162,0.4030,0.0029,6.0000,0.7071
static,,0,5,0.7194,0.0000,0.3053,0.0000,0.3913,0.0000,12.0000,0.0000,0.7194,0.0000,0.3053,0.0000,0.3913,0.0000,12.0000,0.0000
