method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,strict_overall_accuracy,strict_overall_macro_f1,strict_bad_accuracy,strict_bad_macro_f1,strict_bad_support,strict_stable_accuracy,strict_stable_macro_f1,strict_stable_support,strict_collapsed_count,strict_severe_collapsed_count,full_overall_accuracy,full_overall_macro_f1,full_bad_accuracy,full_bad_macro_f1,full_bad_support,full_stable_accuracy,full_stable_macro_f1,full_stable_support,full_collapsed_count,full_severe_collapsed_count,head_train_samples,selected_mean_proto_distance
static,,0,stable_absorber,5,2,0.5,2.0,90,0,0,0.7115500804874165,0.7193773416793005,0.21834700578485883,0.3052950632923216,1352842,0.6051937568093326,0.3913144025081622,1318044,12,0,0.7115500804874165,0.7193773416793005,0.21834700578485883,0.3052950632923216,1352842,0.6051937568093326,0.3913144025081622,1318044,12,0,,
active_head_ft,random,200,stable_absorber,5,2,0.5,2.0,90,43,103,0.7662422105861563,0.7272658174640048,0.49571444094799005,0.38565087635849943,1352799,0.7109702080263671,0.3954383721434375,1318006,8,0,0.7662467134557162,0.7272740478058807,0.49572381697197454,0.3856651384433032,1352842,0.7109747474287657,0.3954409408991939,1318044,8,0,490,0.1425303965806961
active_head_ft,random,500,stable_absorber,5,2,0.5,2.0,90,108,259,0.7839889058816264,0.7302601837266396,0.5542686145243633,0.39878365758815554,1352734,0.7526947234560445,0.40230758717402537,1317946,6,0,0.7839964741728926,0.7302731187067797,0.5542827617711454,0.3988044863060067,1352842,0.7527032481464959,0.40231397668440483,1318044,6,0,1090,0.14167936146259308
active_head_ft,random,1000,stable_absorber,5,2,0.5,2.0,90,202,540,0.7967332117917534,0.721511590493578,0.6062699609652236,0.43296266079828327,1352640,0.7584792095556292,0.40910252264014224,1317841,6,0,0.7967502032617533,0.7215372373874386,0.6062954875735673,0.4329913912131061,1352842,0.7584997162461952,0.40911455811594044,1318044,6,0,2090,0.1411592960357666
active_head_ft,margin,200,stable_absorber,5,2,0.5,2.0,90,64,118,0.7626633029839063,0.7182317877744331,0.4322342616452958,0.38210164981689215,1352778,0.6583071006235911,0.39536281416909214,1318011,9,0,0.7626635250643082,0.7182393366421531,0.43225077281752045,0.382112894717685,1352842,0.6583103447229379,0.39537049028899734,1318044,9,0,490,0.16869716346263885
active_head_ft,margin,500,stable_absorber,5,2,0.5,2.0,90,156,312,0.770557024761365,0.7194029021612915,0.47538896684078935,0.40092013042327895,1352686,0.7051626115267797,0.40377288026105085,1317957,7,0,0.7705516853925782,0.7194110168715233,0.4754110236080784,0.4009330876131543,1352842,0.7051593118287401,0.40377958376881595,1318044,7,0,1090,0.16940493881702423
active_head_ft,margin,1000,stable_absorber,5,2,0.5,2.0,90,332,625,0.7884510472213863,0.7176114361203977,0.5407871291154964,0.42274511608304133,1352510,0.7359698784621443,0.4047048311311884,1317861,6,0,0.7884337251658937,0.7176280442493653,0.5408259057598744,0.42280997741920195,1352842,0.7359572214584642,0.4047223800268072,1318044,6,0,2090,0.17240899801254272
active_head_ft,absorber_margin,200,stable_absorber,5,2,0.5,2.0,90,85,200,0.7753801851478513,0.7375024252120457,0.4752671765882564,0.3969394394524565,1352757,0.6994831547288459,0.400920685032934,1317996,7,0,0.7753774493570996,0.7375023171139378,0.4752794487456776,0.39694062385137713,1352842,0.6994819596310897,0.40092041285362684,1318044,7,0,490,0.16413898766040802
active_head_ft,absorber_margin,500,stable_absorber,5,2,0.5,2.0,90,233,500,0.7807735550219593,0.7402394355217607,0.4943645946463464,0.41178327725444025,1352609,0.7137836293650739,0.4066523389231592,1317933,6,0,0.7807601777685219,0.7402387803360737,0.49439550220942285,0.4117875286069787,1352842,0.7137697982768405,0.4066508572990579,1318044,6,0,1090,0.16958148777484894
active_head_ft,absorber_margin,1000,stable_absorber,5,2,0.5,2.0,90,480,1000,0.8000113226214473,0.7466016293659398,0.5833023998012367,0.44246842845340845,1352362,0.7538110837675794,0.4138826162360062,1317801,5,0,0.799986499666124,0.7465996121142375,0.5833430659308331,0.44248043319848734,1352842,0.7537889478651699,0.4138801554771809,1318044,5,0,2090,0.16649311780929565
