strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
random,200,9,2401,0.1416076634735527,0.20897357098955133,2401,0.1416076634735527,0.20897357098955133
random,200,23,448,0.125,0.20437956204379562,448,0.125,0.20437956204379562
random,200,34,588,0.2925170068027211,0.4195121951219512,588,0.2925170068027211,0.4195121951219512
random,200,47,44337,0.3347091593928322,0.4842472793721754,44337,0.3347091593928322,0.4842472793721754
random,200,48,24953,0.2554803029695828,0.36654783808647656,24953,0.2554803029695828,0.36654783808647656
random,200,49,305986,0.24917479884700608,0.339515601134628,305992,0.24918298517608303,0.3395258536237821
random,200,50,378230,0.7546968775612722,0.77978214102783,378241,0.7546987238295161,0.7797832948847704
random,200,58,8667,0.20318449290411908,0.2888779527559055,8667,0.20318449290411908,0.2888779527559055
random,200,60,69795,0.5805000358191847,0.5359401042355618,69798,0.5805180664202413,0.5359585190672082
random,200,62,514925,0.4129591688109919,0.4980629596664637,514937,0.4129592552098606,0.49806242175615206
random,200,71,1435,0.059233449477351915,0.1059850374064838,1435,0.059233449477351915,0.1059850374064838
random,200,80,1045,0.14258373205741626,0.23520126282557222,1045,0.14258373205741626,0.23520126282557222
random,500,9,2401,0.11995002082465639,0.19361344537815126,2401,0.11995002082465639,0.19361344537815126
random,500,23,448,0.13392857142857142,0.21621621621621623,448,0.13392857142857142,0.21621621621621623
random,500,34,588,0.2568027210884354,0.3842239185750636,588,0.2568027210884354,0.3842239185750636
random,500,47,44335,0.4823277320401489,0.6010202504251043,44337,0.48232852921938785,0.6010230179028133
random,500,48,24952,0.368868226995832,0.4391849978527461,24953,0.36889351981725643,0.4392117568470274
random,500,49,305971,0.592732644597037,0.5175593301599261,305992,0.5927409866924626,0.5175696422150818
random,500,50,378213,0.7497045315734784,0.7904757523929797,378241,0.7497045534460833,0.7904758984422912
random,500,58,8667,0.19003115264797507,0.28879537085744345,8667,0.19003115264797507,0.28879537085744345
random,500,60,69786,0.6446708508869974,0.5370474269138484,69798,0.644703286627124,0.5370930683615314
random,500,62,514901,0.4397311327808647,0.5252172380037764,514937,0.4397353462656597,0.525219396163307
random,500,71,1435,0.06898954703832752,0.11956521739130435,1435,0.06898954703832752,0.11956521739130435
random,500,80,1045,0.14066985645933014,0.2304075235109718,1045,0.14066985645933014,0.2304075235109718
random,1000,9,2401,0.11037067888379842,0.17978290366350066,2401,0.11037067888379842,0.17978290366350066
random,1000,23,448,0.125,0.20817843866171004,448,0.125,0.20817843866171004
random,1000,34,588,0.2789115646258503,0.40245398773006136,588,0.2789115646258503,0.40245398773006136
random,1000,47,44332,0.5813633492736624,0.6793183884869332,44337,0.5813654509777387,0.6793258397353961
random,1000,48,24951,0.5027453809466554,0.5508398287408058,24953,0.502785236244139,0.5508792728709742
random,1000,49,305945,0.6023304842373629,0.5269230274341382,305992,0.602349081021726,0.5269411431724422
random,1000,50,378174,0.7780254591801657,0.8036913714124945,378241,0.7780330530006001,0.8037000066910366
random,1000,58,8665,0.2370455856895557,0.31862250833785777,8667,0.2372216453213338,0.31883383732651005
random,1000,60,69781,0.6459781315830957,0.6165387824326727,69798,0.6460070489125763,0.6165858728129252
random,1000,62,514867,0.4571549545805033,0.5331729560389527,514937,0.45717243080221465,0.5331855125015429
random,1000,71,1434,0.29218967921896793,0.15698763581865868,1435,0.29198606271777006,0.15695823187862895
random,1000,80,1045,0.06889952153110047,0.12360515021459227,1045,0.06889952153110047,0.12360515021459227
margin,200,9,2401,0.05664306538942107,0.10237109522017313,2401,0.05664306538942107,0.10237109522017313
margin,200,23,448,0.16294642857142858,0.24496644295302014,448,0.16294642857142858,0.24496644295302014
margin,200,34,588,0.2568027210884354,0.38569604086845466,588,0.2568027210884354,0.38569604086845466
margin,200,47,44332,0.4773301452675268,0.5666278400342746,44337,0.47736653359496584,0.5666590808690647
margin,200,48,24951,0.31108973588232935,0.4144596326356258,24953,0.31114495251072016,0.41452215696743194
margin,200,49,305982,0.28838297677641167,0.37173953797965625,305992,0.288393160605506,0.37174680472824395
margin,200,50,378219,0.7354601434618567,0.8190308779926213,378241,0.7354728863343741,0.8190396556445035
margin,200,58,8667,0.16741663782162225,0.2692771643314466,8667,0.16741663782162225,0.2692771643314466
margin,200,60,69789,0.6215449426127326,0.5794764579756998,69798,0.6215650878248661,0.5794964269017565
margin,200,62,514921,0.27583260344790755,0.3974618543574532,514937,0.27584151070907703,0.39746924350136487
margin,200,71,1435,0.06132404181184669,0.10844115834873691,1435,0.06132404181184669,0.10844115834873691
margin,200,80,1045,0.22870813397129186,0.3169761273209549,1045,0.22870813397129186,0.3169761273209549
margin,500,9,2401,0.061640982923781756,0.11212121212121212,2401,0.061640982923781756,0.11212121212121212
margin,500,23,448,0.14285714285714285,0.22614840989399293,448,0.14285714285714285,0.22614840989399293
margin,500,34,588,0.2789115646258503,0.4079601990049751,588,0.2789115646258503,0.4079601990049751
margin,500,47,44330,0.49399954883825853,0.6270742358078603,44337,0.49403432798791075,0.6271006899710841
margin,500,48,24946,0.4271225847831316,0.46878437238769854,24953,0.42716306656514247,0.46884690668367457
margin,500,49,305972,0.22907324853254546,0.3388011688132775,305992,0.22908768856702136,0.33881764970298656
margin,500,50,378183,0.7626202129656806,0.8170173950116641,378241,0.7626354625754479,0.8170271100845322
margin,500,58,8667,0.15022499134648667,0.25139988414751885,8667,0.15022499134648667,0.25139988414751885
margin,500,60,69779,0.6555124034451626,0.6130391953198818,69798,0.6555058884208717,0.6130439151844036
margin,500,62,514892,0.4411313440488491,0.5291450882820927,514937,0.4411432854892929,0.5291495698174563
margin,500,71,1435,0.05853658536585366,0.10441267868241144,1435,0.05853658536585366,0.10441267868241144
margin,500,80,1045,0.22200956937799043,0.31245791245791243,1045,0.22200956937799043,0.31245791245791243
margin,1000,9,2401,0.06955435235318617,0.12584777694046723,2401,0.06955435235318617,0.12584777694046723
margin,1000,23,448,0.13839285714285715,0.22342342342342342,448,0.13839285714285715,0.22342342342342342
margin,1000,34,588,0.22448979591836735,0.3469119579500657,588,0.22448979591836735,0.3469119579500657
margin,1000,47,44327,0.5562749565727435,0.6671446544283762,44337,0.5563073730744074,0.6671625642412767
margin,1000,48,24944,0.4123636946760744,0.4874650490498081,24953,0.4123752654991384,0.48750444154921235
margin,1000,49,305922,0.3364354312537183,0.41721509340651547,305992,0.33652840597139794,0.41724575258208163
margin,1000,50,378128,0.7591291837684594,0.830119927933347,378241,0.7591456240862308,0.8301231134386912
margin,1000,58,8665,0.19076745527986153,0.2951785714285714,8667,0.1908388138917734,0.29527805052218153
margin,1000,60,69777,0.6276136835920145,0.6478014866314116,69798,0.627625433393507,0.6478217148265357
margin,1000,62,514831,0.4967494187412957,0.5623484140509043,514937,0.4967597978005076,0.5623535308678886
margin,1000,71,1434,0.18549511854951187,0.21203666799521723,1435,0.18606271777003483,0.2126642771804062
margin,1000,80,1045,0.1320574162679426,0.21800947867298578,1045,0.1320574162679426,0.21800947867298578
absorber_margin,200,9,2401,0.06705539358600583,0.11679361624954661,2401,0.06705539358600583,0.11679361624954661
absorber_margin,200,23,448,0.19419642857142858,0.2628398791540785,448,0.19419642857142858,0.2628398791540785
absorber_margin,200,34,588,0.2687074829931973,0.3969849246231156,588,0.2687074829931973,0.3969849246231156
absorber_margin,200,47,44332,0.5597762338716954,0.6130737684668215,44337,0.5597807700115028,0.6130797258074476
absorber_margin,200,48,24951,0.36615766903130137,0.42294338225082173,24953,0.3661283212439386,0.4229238033515415
absorber_margin,200,49,305984,0.2438232064421669,0.3499786558335249,305992,0.24382009987189207,0.3499726756090525
absorber_margin,200,50,378206,0.7586103869319895,0.8169796545980039,378241,0.7586221483128481,0.8169899934086615
absorber_margin,200,58,8667,0.16349371178031613,0.26708133069456225,8667,0.16349371178031613,0.26708133069456225
absorber_margin,200,60,69788,0.66067232188915,0.5877021911207985,69798,0.6606922834465171,0.5877255029408579
absorber_margin,200,62,514912,0.36105392766142563,0.4690422668109788,514937,0.3610577604639014,0.4690416184183639
absorber_margin,200,71,1435,0.0710801393728223,0.1223021582733813,1435,0.0710801393728223,0.1223021582733813
absorber_margin,200,80,1045,0.261244019138756,0.33976353453640323,1045,0.261244019138756,0.33976353453640323
absorber_margin,500,9,2401,0.05622657226155769,0.10112359550561797,2401,0.05622657226155769,0.10112359550561797
absorber_margin,500,23,448,0.18973214285714285,0.26194144838212635,448,0.18973214285714285,0.26194144838212635
absorber_margin,500,34,588,0.2891156462585034,0.41975308641975306,588,0.2891156462585034,0.41975308641975306
absorber_margin,500,47,44330,0.6126099706744869,0.6588306647258613,44337,0.6126260234115976,0.6588560617086304
absorber_margin,500,48,24947,0.3450915941796609,0.435314641114454,24953,0.3450486915400954,0.4352881698685541
absorber_margin,500,49,305942,0.27983735479273847,0.37152645933730694,305992,0.27991581479254357,0.371559951414194
absorber_margin,500,50,378151,0.7632559480207642,0.8269138207655283,378241,0.7632673348473592,0.826918036872022
absorber_margin,500,58,8666,0.1725132702515578,0.27723690310616594,8667,0.1724933656397831,0.27721119970331914
absorber_margin,500,60,69781,0.6606526131755063,0.6078838584623905,69798,0.6606636293303533,0.6079058209358583
absorber_margin,500,62,514875,0.41140859431900945,0.5114557452572562,514937,0.41140372511588796,0.5114476817946431
absorber_margin,500,71,1435,0.07386759581881533,0.1257413997627521,1435,0.07386759581881533,0.1257413997627521
absorber_margin,500,80,1045,0.2679425837320574,0.34847542003733667,1045,0.2679425837320574,0.34847542003733667
absorber_margin,1000,9,2401,0.08371511870054144,0.14486486486486486,2401,0.08371511870054144,0.14486486486486486
absorber_margin,1000,23,448,0.19196428571428573,0.2617960426179604,448,0.19196428571428573,0.2617960426179604
absorber_margin,1000,34,588,0.3129251700680272,0.4339622641509434,588,0.3129251700680272,0.4339622641509434
absorber_margin,1000,47,44325,0.6101748448956571,0.6708253239908228,44337,0.6102126891760832,0.6708571995338342
absorber_margin,1000,48,24943,0.507797778935974,0.5385433054126451,24953,0.5075942772412135,0.5384173946311293
absorber_margin,1000,49,305903,0.44101561606130046,0.47341372818399224,305992,0.4410834270176998,0.47340665276508725
absorber_margin,1000,50,378066,0.7726375817978871,0.8345752097094924,378241,0.7726766796830592,0.8345995959192124
absorber_margin,1000,58,8663,0.21239755281080458,0.3158256093374528,8667,0.21253028729664245,0.31597907196157476
absorber_margin,1000,60,69764,0.6526288630239092,0.6325763627901161,69798,0.6526691309206567,0.6326380402177536
absorber_margin,1000,62,514781,0.5218238435373489,0.5817504163481342,514937,0.5218424778176748,0.5817629159589911
absorber_margin,1000,71,1435,0.08153310104529617,0.13732394366197184,1435,0.08153310104529617,0.13732394366197184
absorber_margin,1000,80,1045,0.276555023923445,0.3297204791785511,1045,0.276555023923445,0.3297204791785511
