strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
random,500,17,504,0.08333333333333333,0.13166144200626959,504,0.08333333333333333,0.13166144200626959
random,500,21,639,0.004694835680751174,0.00909090909090909,640,0.0046875,0.009077155824508321
random,500,23,361,0.019390581717451522,0.0345679012345679,361,0.019390581717451522,0.0345679012345679
random,500,25,990,0.06565656565656566,0.10770505385252693,992,0.0655241935483871,0.10752688172043011
random,1000,17,503,0.041749502982107355,0.07368421052631578,504,0.041666666666666664,0.07355516637478109
random,1000,21,639,0.001564945226917058,0.0031201248049922,640,0.0015625,0.003115264797507788
random,1000,23,361,0.0110803324099723,0.020833333333333332,361,0.0110803324099723,0.020833333333333332
random,1000,25,989,0.07583417593528817,0.11737089201877934,992,0.07762096774193548,0.12003117692907249
margin,500,17,503,0.11332007952286283,0.17091454272863568,504,0.11507936507936507,0.17339312406576982
margin,500,21,640,0.0,0.0,640,0.0,0.0
margin,500,23,361,0.013850415512465374,0.025,361,0.013850415512465374,0.025
margin,500,25,990,0.02727272727272727,0.05,992,0.02721774193548387,0.04990757855822551
margin,1000,17,501,0.08582834331337326,0.12027972027972028,504,0.08928571428571429,0.125
margin,1000,21,639,0.0,0.0,640,0.0,0.0
margin,1000,23,361,0.013850415512465374,0.025839793281653745,361,0.013850415512465374,0.025839793281653745
margin,1000,25,986,0.07099391480730223,0.12646793134598014,992,0.0715725806451613,0.12746858168761221
badge,500,17,503,0.08548707753479125,0.13543307086614173,504,0.08531746031746032,0.13522012578616352
badge,500,21,640,0.0,0.0,640,0.0,0.0
badge,500,23,360,0.019444444444444445,0.0343980343980344,361,0.0221606648199446,0.039119804400977995
badge,500,25,989,0.05055611729019211,0.08873114463176575,992,0.05141129032258065,0.09018567639257294
badge,1000,17,502,0.08764940239043825,0.14125200642054575,504,0.08928571428571429,0.14376996805111822
badge,1000,21,640,0.0,0.0,640,0.0,0.0
badge,1000,23,358,0.05865921787709497,0.09417040358744394,361,0.06371191135734072,0.10199556541019955
badge,1000,25,989,0.023255813953488372,0.04389312977099236,992,0.024193548387096774,0.045627376425855515
