strategy,budget,class_id,selected_count
random,500,0,25
random,500,3,5
random,500,4,5
random,500,6,46
random,500,7,15
random,500,9,2
random,500,10,16
random,500,11,1
random,500,12,44
random,500,13,8
random,500,15,28
random,500,18,8
random,500,19,18
random,500,24,15
random,500,25,2
random,500,26,3
random,500,27,17
random,500,29,20
random,500,30,26
random,500,31,40
random,500,34,7
random,500,37,60
random,500,38,16
random,500,39,12
random,500,40,1
random,500,43,60
random,1000,0,38
random,1000,3,15
random,1000,4,12
random,1000,5,1
random,1000,6,85
random,1000,7,30
random,1000,9,4
random,1000,10,26
random,1000,11,5
random,1000,12,90
random,1000,13,16
random,1000,15,48
random,1000,18,16
random,1000,19,37
random,1000,21,1
random,1000,24,26
random,1000,25,3
random,1000,26,4
random,1000,27,42
random,1000,28,2
random,1000,29,46
random,1000,30,49
random,1000,31,84
random,1000,34,8
random,1000,35,1
random,1000,37,124
random,1000,38,32
random,1000,39,28
random,1000,40,3
random,1000,42,1
random,1000,43,123
margin,500,2,1
margin,500,3,1
margin,500,4,2
margin,500,5,2
margin,500,6,15
margin,500,7,7
margin,500,9,3
margin,500,10,16
margin,500,12,80
margin,500,13,7
margin,500,14,1
margin,500,15,50
margin,500,16,2
margin,500,17,1
margin,500,18,20
margin,500,19,24
margin,500,21,3
margin,500,24,14
margin,500,25,1
margin,500,26,1
margin,500,27,34
margin,500,29,24
margin,500,30,32
margin,500,31,61
margin,500,33,1
margin,500,36,1
margin,500,37,18
margin,500,38,3
margin,500,39,17
margin,500,40,2
margin,500,41,1
margin,500,42,2
margin,500,43,53
margin,1000,0,1
margin,1000,1,2
margin,1000,2,1
margin,1000,3,1
margin,1000,4,9
margin,1000,5,4
margin,1000,6,37
margin,1000,7,16
margin,1000,9,8
margin,1000,10,21
margin,1000,11,2
margin,1000,12,161
margin,1000,13,16
margin,1000,14,1
margin,1000,15,104
margin,1000,16,3
margin,1000,17,3
margin,1000,18,38
margin,1000,19,39
margin,1000,21,7
margin,1000,24,30
margin,1000,25,4
margin,1000,26,3
margin,1000,27,57
margin,1000,28,3
margin,1000,29,46
margin,1000,30,71
margin,1000,31,117
margin,1000,33,1
margin,1000,35,1
margin,1000,36,1
margin,1000,37,34
margin,1000,38,11
margin,1000,39,30
margin,1000,40,4
margin,1000,41,1
margin,1000,42,3
margin,1000,43,109
badge,500,0,1
badge,500,3,3
badge,500,4,5
badge,500,5,2
badge,500,6,19
badge,500,7,4
badge,500,9,4
badge,500,10,9
badge,500,11,2
badge,500,12,68
badge,500,13,16
badge,500,14,2
badge,500,15,33
badge,500,16,3
badge,500,17,2
badge,500,18,13
badge,500,19,16
badge,500,21,2
badge,500,24,10
badge,500,25,1
badge,500,26,1
badge,500,27,23
badge,500,28,1
badge,500,29,27
badge,500,30,30
badge,500,31,69
badge,500,34,2
badge,500,36,1
badge,500,37,22
badge,500,38,15
badge,500,39,19
badge,500,40,3
badge,500,42,3
badge,500,43,69
badge,1000,0,3
badge,1000,2,1
badge,1000,3,9
badge,1000,4,8
badge,1000,5,4
badge,1000,6,39
badge,1000,7,13
badge,1000,9,6
badge,1000,10,18
badge,1000,11,2
badge,1000,12,133
badge,1000,13,27
badge,1000,14,3
badge,1000,15,63
badge,1000,16,4
badge,1000,17,3
badge,1000,18,36
badge,1000,19,35
badge,1000,21,3
badge,1000,23,1
badge,1000,24,24
badge,1000,25,5
badge,1000,26,2
badge,1000,27,52
badge,1000,28,1
badge,1000,29,49
badge,1000,30,65
badge,1000,31,126
badge,1000,33,1
badge,1000,34,2
badge,1000,36,2
badge,1000,37,47
badge,1000,38,32
badge,1000,39,33
badge,1000,40,7
badge,1000,42,3
badge,1000,43,138
