strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
random,500,21,639,0.0,0.0,640,0.0,0.0
random,500,23,361,0.008310249307479225,0.016,361,0.008310249307479225,0.016
random,500,25,991,0.04944500504540868,0.08812949640287769,992,0.04939516129032258,0.0880503144654088
random,1000,21,638,0.001567398119122257,0.003110419906687403,640,0.0015625,0.0031007751937984496
random,1000,23,361,0.008310249307479225,0.016172506738544475,361,0.008310249307479225,0.016172506738544475
random,1000,25,989,0.09403437815975733,0.14463452566096424,992,0.09375,0.1442979053529868
margin,500,21,638,0.0,0.0,640,0.0,0.0
margin,500,23,361,0.01662049861495845,0.030612244897959183,361,0.01662049861495845,0.030612244897959183
margin,500,25,991,0.005045408678102927,0.00984251968503937,992,0.005040322580645161,0.00983284169124877
margin,1000,21,638,0.0,0.0,640,0.0,0.0
margin,1000,23,358,0.14804469273743018,0.1948529411764706,361,0.14958448753462603,0.19708029197080293
margin,1000,25,988,0.03340080971659919,0.0625,992,0.034274193548387094,0.0640904806786051
badge,500,21,640,0.0,0.0,640,0.0,0.0
badge,500,23,361,0.008310249307479225,0.016129032258064516,361,0.008310249307479225,0.016129032258064516
badge,500,25,992,0.009072580645161291,0.017578125,992,0.009072580645161291,0.017578125
badge,1000,21,639,0.0,0.0,640,0.0,0.0
badge,1000,23,360,0.05555555555555555,0.10025062656641603,361,0.05817174515235457,0.10473815461346633
badge,1000,25,988,0.05566801619433198,0.09972801450589303,992,0.056451612903225805,0.10108303249097472
