strategy,budget,class_id,selected_count
random,500,0,20
random,500,2,1
random,500,3,3
random,500,4,2
random,500,6,39
random,500,7,16
random,500,10,19
random,500,11,2
random,500,12,39
random,500,13,8
random,500,15,30
random,500,16,1
random,500,18,8
random,500,19,24
random,500,21,1
random,500,24,12
random,500,25,1
random,500,27,25
random,500,29,14
random,500,30,30
random,500,31,40
random,500,34,4
random,500,37,57
random,500,38,12
random,500,39,15
random,500,40,2
random,500,42,1
random,500,43,74
random,1000,0,38
random,1000,2,1
random,1000,3,13
random,1000,4,6
random,1000,5,1
random,1000,6,83
random,1000,7,33
random,1000,9,1
random,1000,10,36
random,1000,11,2
random,1000,12,79
random,1000,13,12
random,1000,15,59
random,1000,16,2
random,1000,18,19
random,1000,19,43
random,1000,21,2
random,1000,24,26
random,1000,25,3
random,1000,26,3
random,1000,27,46
random,1000,29,28
random,1000,30,57
random,1000,31,83
random,1000,34,6
random,1000,37,131
random,1000,38,25
random,1000,39,29
random,1000,40,9
random,1000,42,2
random,1000,43,122
margin,500,3,3
margin,500,4,4
margin,500,5,4
margin,500,6,23
margin,500,7,4
margin,500,9,2
margin,500,10,16
margin,500,11,4
margin,500,12,64
margin,500,13,9
margin,500,14,2
margin,500,15,65
margin,500,16,3
margin,500,17,3
margin,500,18,18
margin,500,19,20
margin,500,21,2
margin,500,24,16
margin,500,25,1
margin,500,26,3
margin,500,27,24
margin,500,28,4
margin,500,29,26
margin,500,30,43
margin,500,31,48
margin,500,37,16
margin,500,38,8
margin,500,39,11
margin,500,40,1
margin,500,41,1
margin,500,42,3
margin,500,43,49
margin,1000,0,1
margin,1000,3,6
margin,1000,4,6
margin,1000,5,4
margin,1000,6,44
margin,1000,7,10
margin,1000,9,4
margin,1000,10,28
margin,1000,11,5
margin,1000,12,128
margin,1000,13,17
margin,1000,14,3
margin,1000,15,149
margin,1000,16,5
margin,1000,17,4
margin,1000,18,40
margin,1000,19,35
margin,1000,21,2
margin,1000,23,3
margin,1000,24,32
margin,1000,25,4
margin,1000,26,3
margin,1000,27,46
margin,1000,28,5
margin,1000,29,61
margin,1000,30,80
margin,1000,31,95
margin,1000,36,1
margin,1000,37,27
margin,1000,38,14
margin,1000,39,24
margin,1000,40,3
margin,1000,41,1
margin,1000,42,4
margin,1000,43,106
badge,500,0,1
badge,500,1,1
badge,500,3,6
badge,500,4,5
badge,500,5,2
badge,500,6,26
badge,500,7,8
badge,500,9,4
badge,500,10,9
badge,500,11,1
badge,500,12,67
badge,500,13,6
badge,500,15,33
badge,500,16,3
badge,500,17,2
badge,500,18,13
badge,500,19,20
badge,500,24,24
badge,500,27,30
badge,500,29,20
badge,500,30,45
badge,500,31,57
badge,500,35,1
badge,500,36,1
badge,500,37,17
badge,500,38,6
badge,500,39,13
badge,500,40,5
badge,500,42,1
badge,500,43,73
badge,1000,0,4
badge,1000,1,2
badge,1000,3,12
badge,1000,4,9
badge,1000,5,3
badge,1000,6,59
badge,1000,7,13
badge,1000,9,8
badge,1000,10,18
badge,1000,11,2
badge,1000,12,128
badge,1000,13,24
badge,1000,15,59
badge,1000,16,4
badge,1000,17,4
badge,1000,18,33
badge,1000,19,46
badge,1000,20,1
badge,1000,21,1
badge,1000,22,1
badge,1000,23,1
badge,1000,24,37
badge,1000,25,4
badge,1000,26,3
badge,1000,27,48
badge,1000,29,48
badge,1000,30,82
badge,1000,31,109
badge,1000,35,1
badge,1000,36,1
badge,1000,37,40
badge,1000,38,17
badge,1000,39,32
badge,1000,40,10
badge,1000,41,2
badge,1000,42,3
badge,1000,43,131
