strategy,budget,class_id,selected_count
random,500,0,26
random,500,3,7
random,500,4,6
random,500,5,1
random,500,6,39
random,500,7,12
random,500,9,2
random,500,10,19
random,500,11,2
random,500,12,46
random,500,13,9
random,500,15,25
random,500,16,1
random,500,18,6
random,500,19,13
random,500,21,1
random,500,24,10
random,500,25,2
random,500,26,3
random,500,27,21
random,500,29,18
random,500,30,25
random,500,31,45
random,500,34,2
random,500,36,1
random,500,37,35
random,500,38,23
random,500,39,14
random,500,40,2
random,500,42,2
random,500,43,82
random,1000,0,44
random,1000,3,13
random,1000,4,12
random,1000,5,3
random,1000,6,69
random,1000,7,23
random,1000,9,3
random,1000,10,33
random,1000,11,6
random,1000,12,87
random,1000,13,13
random,1000,14,1
random,1000,15,52
random,1000,16,2
random,1000,17,1
random,1000,18,13
random,1000,19,27
random,1000,21,1
random,1000,24,22
random,1000,25,3
random,1000,26,4
random,1000,27,46
random,1000,29,36
random,1000,30,63
random,1000,31,93
random,1000,33,2
random,1000,34,6
random,1000,36,1
random,1000,37,94
random,1000,38,43
random,1000,39,28
random,1000,40,6
random,1000,42,5
random,1000,43,145
margin,500,0,2
margin,500,1,1
margin,500,2,1
margin,500,3,2
margin,500,4,7
margin,500,5,3
margin,500,6,27
margin,500,7,8
margin,500,9,3
margin,500,10,14
margin,500,11,1
margin,500,12,79
margin,500,13,10
margin,500,14,1
margin,500,15,45
margin,500,16,1
margin,500,17,1
margin,500,18,24
margin,500,19,22
margin,500,24,14
margin,500,25,2
margin,500,27,31
margin,500,28,1
margin,500,29,29
margin,500,30,37
margin,500,31,55
margin,500,34,1
margin,500,37,7
margin,500,38,5
margin,500,39,11
margin,500,40,6
margin,500,42,2
margin,500,43,47
margin,1000,0,2
margin,1000,1,1
margin,1000,2,2
margin,1000,3,2
margin,1000,4,12
margin,1000,5,7
margin,1000,6,52
margin,1000,7,12
margin,1000,9,3
margin,1000,10,34
margin,1000,11,2
margin,1000,12,156
margin,1000,13,21
margin,1000,14,1
margin,1000,15,102
margin,1000,16,5
margin,1000,17,3
margin,1000,18,48
margin,1000,19,38
margin,1000,21,1
margin,1000,24,28
margin,1000,25,6
margin,1000,26,3
margin,1000,27,49
margin,1000,28,1
margin,1000,29,57
margin,1000,30,68
margin,1000,31,103
margin,1000,34,1
margin,1000,37,18
margin,1000,38,11
margin,1000,39,35
margin,1000,40,8
margin,1000,42,2
margin,1000,43,106
badge,500,0,2
badge,500,3,1
badge,500,4,4
badge,500,5,4
badge,500,6,27
badge,500,7,8
badge,500,9,3
badge,500,10,11
badge,500,12,67
badge,500,13,8
badge,500,14,1
badge,500,15,37
badge,500,16,3
badge,500,17,1
badge,500,18,16
badge,500,19,18
badge,500,22,1
badge,500,23,1
badge,500,24,27
badge,500,25,3
badge,500,26,2
badge,500,27,27
badge,500,28,2
badge,500,29,22
badge,500,30,31
badge,500,31,62
badge,500,34,1
badge,500,35,1
badge,500,36,1
badge,500,37,23
badge,500,38,11
badge,500,39,21
badge,500,40,2
badge,500,41,1
badge,500,42,2
badge,500,43,48
badge,1000,0,4
badge,1000,2,1
badge,1000,3,4
badge,1000,4,10
badge,1000,5,5
badge,1000,6,50
badge,1000,7,20
badge,1000,9,10
badge,1000,10,19
badge,1000,11,3
badge,1000,12,141
badge,1000,13,13
badge,1000,14,2
badge,1000,15,79
badge,1000,16,3
badge,1000,17,2
badge,1000,18,35
badge,1000,19,41
badge,1000,22,1
badge,1000,23,3
badge,1000,24,43
badge,1000,25,3
badge,1000,26,3
badge,1000,27,46
badge,1000,28,2
badge,1000,29,51
badge,1000,30,60
badge,1000,31,127
badge,1000,34,2
badge,1000,35,1
badge,1000,36,2
badge,1000,37,40
badge,1000,38,29
badge,1000,39,39
badge,1000,40,6
badge,1000,41,1
badge,1000,42,4
badge,1000,43,95
