strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
random,500,21,640,0.0,0.0,640,0.0,0.0
random,500,23,361,0.0332409972299169,0.05867970660146699,361,0.0332409972299169,0.05867970660146699
random,500,25,990,0.05353535353535353,0.09778597785977859,992,0.05342741935483871,0.09760589318600368
random,1000,21,639,0.0,0.0,640,0.0,0.0
random,1000,23,361,0.019390581717451522,0.035897435897435895,361,0.019390581717451522,0.035897435897435895
random,1000,25,989,0.055611729019211326,0.1008249312557287,992,0.056451612903225805,0.10228310502283106
margin,500,21,637,0.0015698587127158557,0.0030165912518853697,640,0.003125,0.005997001499250375
margin,500,23,361,0.0221606648199446,0.04040404040404041,361,0.0221606648199446,0.04040404040404041
margin,500,25,991,0.03632694248234107,0.06844106463878327,992,0.037298387096774195,0.07020872865275142
margin,1000,21,633,0.004739336492890996,0.008797653958944282,640,0.00625,0.011577424023154847
margin,1000,23,361,0.01662049861495845,0.031007751937984496,361,0.01662049861495845,0.031007751937984496
margin,1000,25,988,0.10020242914979757,0.1706896551724138,992,0.10181451612903226,0.1732418524871355
badge,500,21,638,0.003134796238244514,0.0061162079510703364,640,0.003125,0.006097560975609756
badge,500,23,361,0.019390581717451522,0.03617571059431524,361,0.019390581717451522,0.03617571059431524
badge,500,25,991,0.035317860746720484,0.0660377358490566,992,0.03528225806451613,0.06597549481621112
badge,1000,21,637,0.0015698587127158557,0.003134796238244514,640,0.0015625,0.0031201248049922
badge,1000,23,360,0.10555555555555556,0.1613588110403397,361,0.10526315789473684,0.16101694915254236
badge,1000,25,987,0.04660587639311044,0.0819234194122885,992,0.047379032258064516,0.08325952170062002
