strategy,budget,class_id,selected_count
absorber_margin,1000,1,3
absorber_margin,1000,2,12
absorber_margin,1000,5,3
absorber_margin,1000,6,8
absorber_margin,1000,9,2
absorber_margin,1000,10,7
absorber_margin,1000,11,3
absorber_margin,1000,12,2
absorber_margin,1000,13,10
absorber_margin,1000,14,16
absorber_margin,1000,15,1
absorber_margin,1000,16,1
absorber_margin,1000,17,2
absorber_margin,1000,18,5
absorber_margin,1000,19,36
absorber_margin,1000,21,1
absorber_margin,1000,23,5
absorber_margin,1000,24,2
absorber_margin,1000,25,75
absorber_margin,1000,26,2
absorber_margin,1000,28,13
absorber_margin,1000,29,8
absorber_margin,1000,30,1
absorber_margin,1000,32,2
absorber_margin,1000,34,1
absorber_margin,1000,38,3
absorber_margin,1000,39,1
absorber_margin,1000,40,1
absorber_margin,1000,42,1
absorber_margin,1000,45,8
absorber_margin,1000,46,30
absorber_margin,1000,47,5
absorber_margin,1000,48,7
absorber_margin,1000,49,13
absorber_margin,1000,50,3
absorber_margin,1000,51,6
absorber_margin,1000,52,1
absorber_margin,1000,53,3
absorber_margin,1000,56,17
absorber_margin,1000,60,1
absorber_margin,1000,61,2
absorber_margin,1000,66,8
absorber_margin,1000,67,4
absorber_margin,1000,70,3
absorber_margin,1000,71,98
absorber_margin,1000,72,12
absorber_margin,1000,74,3
absorber_margin,1000,75,28
absorber_margin,1000,76,1
absorber_margin,1000,77,16
absorber_margin,1000,78,8
absorber_margin,1000,79,5
absorber_margin,1000,80,3
absorber_margin,1000,82,28
absorber_margin,1000,83,3
absorber_margin,1000,86,2
absorber_margin,1000,87,1
absorber_margin,1000,90,2
absorber_margin,1000,93,2
absorber_margin,1000,95,1
absorber_margin,1000,96,86
absorber_margin,1000,97,43
absorber_margin,1000,98,1
absorber_margin,1000,99,11
absorber_margin,1000,101,1
absorber_margin,1000,104,5
absorber_margin,1000,105,9
absorber_margin,1000,109,1
absorber_margin,1000,111,1
absorber_margin,1000,112,1
absorber_margin,1000,115,3
absorber_margin,1000,116,5
absorber_margin,1000,117,42
absorber_margin,1000,118,2
absorber_margin,1000,122,8
absorber_margin,1000,123,7
absorber_margin,1000,124,10
absorber_margin,1000,127,3
absorber_margin,1000,129,26
absorber_margin,1000,130,1
absorber_margin,1000,134,1
absorber_margin,1000,135,1
absorber_margin,1000,136,5
absorber_margin,1000,138,10
absorber_margin,1000,139,1
absorber_margin,1000,140,9
absorber_margin,1000,141,2
absorber_margin,1000,142,4
absorber_margin,1000,143,3
absorber_margin,1000,148,1
absorber_margin,1000,149,12
absorber_margin,1000,151,3
absorber_margin,1000,153,42
absorber_margin,1000,154,6
absorber_margin,1000,155,5
absorber_margin,1000,156,13
absorber_margin,1000,158,3
absorber_margin,1000,159,10
absorber_margin,1000,163,9
absorber_margin,1000,166,1
absorber_margin,1000,168,4
absorber_margin,1000,169,1
absorber_margin,1000,172,2
absorber_margin,1000,173,1
absorber_margin,1000,174,12
absorber_margin,1000,175,21
absorber_margin,1000,176,1
