strategy,budget,class_id,support,recall,f1
margin,200,56,12137,0.95567273626102,0.9159756771697071
margin,200,163,1741,0.018954623779437105,0.03477344573234984
margin,200,174,1507,0.0019907100199071004,0.0036036036036036037
margin,200,48,3361,0.0749776852127343,0.1356297093649085
margin,200,38,193,0.13471502590673576,0.22807017543859648
margin,200,69,1866,0.0,0.0
margin,200,104,1744,0.026376146788990827,0.04389312977099236
margin,200,47,618,0.8090614886731392,0.5773672055427251
margin,200,66,1955,0.012276214833759591,0.01683619782532445
margin,200,10,1004,0.030876494023904383,0.05656934306569343
margin,200,109,393,0.0,0.0
margin,200,26,807,0.042131350681536554,0.04938271604938271
margin,500,56,12137,0.9637472192469309,0.9600295469468155
margin,500,163,1741,0.03848363009764503,0.05319571258435887
margin,500,174,1507,0.0019907100199071004,0.003676470588235294
margin,500,48,3361,0.7950014876524844,0.8525845564773452
margin,500,38,193,0.7202072538860104,0.7091836734693877
margin,500,69,1866,0.0,0.0
margin,500,104,1744,0.7178899082568807,0.6534446764091858
margin,500,47,618,0.7977346278317152,0.8081967213114755
margin,500,66,1955,0.011253196930946292,0.018739352640545145
margin,500,10,1004,0.22609561752988047,0.3213021939136589
margin,500,109,393,0.0,0.0
margin,500,26,807,0.09541511771995044,0.10628019323671498
margin,1000,56,12137,0.9629232924116339,0.9612996092946741
margin,1000,163,1741,0.06835152211372775,0.10517012814847547
margin,1000,174,1507,0.23357664233576642,0.3370033508855912
margin,1000,48,3361,0.8768223742933651,0.9041263997545635
margin,1000,38,193,0.7202072538860104,0.7433155080213903
margin,1000,69,1866,0.01822079314040729,0.034170854271356785
margin,1000,104,1744,0.6852064220183486,0.6719145347202699
margin,1000,47,618,0.8009708737864077,0.8121410992616899
margin,1000,66,1955,0.18312020460358056,0.26726390444195597
margin,1000,10,1004,0.26593625498007967,0.3991031390134529
margin,1000,109,393,0.0,0.0
margin,1000,26,807,0.06319702602230483,0.08108108108108109
