strategy,budget,class_id,selected_count
margin,200,2,1
margin,200,5,1
margin,200,6,5
margin,200,9,1
margin,200,14,5
margin,200,18,1
margin,200,19,3
margin,200,23,1
margin,200,24,1
margin,200,25,4
margin,200,27,1
margin,200,28,1
margin,200,29,6
margin,200,32,1
margin,200,46,5
margin,200,47,2
margin,200,48,2
margin,200,49,6
margin,200,50,1
margin,200,56,7
margin,200,60,13
margin,200,61,1
margin,200,63,4
margin,200,64,1
margin,200,66,1
margin,200,71,1
margin,200,75,1
margin,200,76,1
margin,200,77,2
margin,200,79,3
margin,200,80,1
margin,200,82,3
margin,200,83,1
margin,200,86,1
margin,200,90,1
margin,200,94,1
margin,200,96,5
margin,200,97,1
margin,200,99,2
margin,200,100,3
margin,200,101,11
margin,200,105,1
margin,200,117,10
margin,200,122,5
margin,200,124,2
margin,200,127,1
margin,200,129,7
margin,200,131,2
margin,200,132,1
margin,200,135,1
margin,200,136,3
margin,200,137,1
margin,200,138,4
margin,200,139,1
margin,200,140,13
margin,200,142,1
margin,200,143,1
margin,200,146,1
margin,200,147,3
margin,200,149,4
margin,200,150,1
margin,200,153,11
margin,200,155,3
margin,200,158,1
margin,200,161,1
margin,200,166,1
margin,200,170,2
margin,200,171,1
margin,200,174,1
margin,200,175,3
margin,500,0,2
margin,500,1,1
margin,500,2,1
margin,500,5,1
margin,500,6,10
margin,500,9,3
margin,500,10,2
margin,500,11,1
margin,500,14,10
margin,500,15,1
margin,500,17,1
margin,500,18,3
margin,500,19,14
margin,500,21,2
margin,500,23,1
margin,500,24,6
margin,500,25,8
margin,500,26,1
margin,500,27,1
margin,500,28,8
margin,500,29,11
margin,500,32,2
margin,500,36,1
margin,500,38,1
margin,500,42,1
margin,500,43,1
margin,500,46,7
margin,500,47,2
margin,500,48,6
margin,500,49,11
margin,500,50,3
margin,500,52,1
margin,500,54,3
margin,500,55,1
margin,500,56,16
margin,500,60,20
margin,500,61,7
margin,500,62,2
margin,500,63,6
margin,500,64,1
margin,500,66,1
margin,500,67,2
margin,500,70,1
margin,500,71,8
margin,500,73,5
margin,500,75,2
margin,500,76,1
margin,500,77,6
margin,500,79,7
margin,500,80,1
margin,500,82,9
margin,500,83,2
margin,500,86,4
margin,500,90,1
margin,500,91,1
margin,500,92,1
margin,500,93,2
margin,500,94,2
margin,500,96,11
margin,500,97,6
margin,500,99,3
margin,500,100,3
margin,500,101,20
margin,500,103,1
margin,500,104,3
margin,500,105,3
margin,500,110,1
margin,500,115,1
margin,500,116,1
margin,500,117,30
margin,500,118,1
margin,500,122,11
margin,500,123,4
margin,500,124,4
margin,500,127,3
margin,500,128,2
margin,500,129,15
margin,500,131,5
margin,500,132,5
margin,500,133,1
margin,500,134,2
margin,500,135,1
margin,500,136,7
margin,500,137,1
margin,500,138,11
margin,500,139,3
margin,500,140,20
margin,500,141,1
margin,500,142,2
margin,500,143,2
margin,500,146,2
margin,500,147,5
margin,500,149,13
margin,500,150,1
margin,500,153,20
margin,500,154,1
margin,500,155,4
margin,500,158,1
margin,500,159,1
margin,500,161,2
margin,500,163,2
margin,500,165,1
margin,500,166,2
margin,500,168,3
margin,500,170,3
margin,500,171,2
margin,500,172,2
margin,500,174,1
margin,500,175,11
margin,500,176,2
margin,500,177,1
margin,1000,0,2
margin,1000,1,1
margin,1000,2,1
margin,1000,5,2
margin,1000,6,15
margin,1000,9,4
margin,1000,10,2
margin,1000,11,2
margin,1000,14,19
margin,1000,15,2
margin,1000,17,4
margin,1000,18,8
margin,1000,19,24
margin,1000,21,2
margin,1000,23,3
margin,1000,24,11
margin,1000,25,14
margin,1000,26,1
margin,1000,27,2
margin,1000,28,11
margin,1000,29,34
margin,1000,32,5
margin,1000,34,2
margin,1000,36,1
margin,1000,38,1
margin,1000,42,6
margin,1000,43,1
margin,1000,45,1
margin,1000,46,10
margin,1000,47,3
margin,1000,48,12
margin,1000,49,22
margin,1000,50,4
margin,1000,51,1
margin,1000,52,1
margin,1000,54,18
margin,1000,55,5
margin,1000,56,31
margin,1000,57,3
margin,1000,60,31
margin,1000,61,15
margin,1000,62,4
margin,1000,63,9
margin,1000,64,1
margin,1000,65,1
margin,1000,66,3
margin,1000,67,5
margin,1000,69,1
margin,1000,70,1
margin,1000,71,14
margin,1000,72,7
margin,1000,73,5
margin,1000,74,3
margin,1000,75,6
margin,1000,76,1
margin,1000,77,16
margin,1000,78,3
margin,1000,79,13
margin,1000,80,1
margin,1000,82,17
margin,1000,83,3
margin,1000,84,1
margin,1000,86,11
margin,1000,87,1
margin,1000,89,1
margin,1000,90,1
margin,1000,91,1
margin,1000,92,2
margin,1000,93,7
margin,1000,94,2
margin,1000,96,27
margin,1000,97,7
margin,1000,99,7
margin,1000,100,7
margin,1000,101,43
margin,1000,103,2
margin,1000,104,7
margin,1000,105,5
margin,1000,108,2
margin,1000,110,2
margin,1000,111,1
margin,1000,112,1
margin,1000,115,4
margin,1000,116,1
margin,1000,117,57
margin,1000,118,1
margin,1000,122,23
margin,1000,123,6
margin,1000,124,10
margin,1000,127,3
margin,1000,128,2
margin,1000,129,26
margin,1000,131,6
margin,1000,132,6
margin,1000,133,1
margin,1000,134,2
margin,1000,135,1
margin,1000,136,13
margin,1000,137,2
margin,1000,138,16
margin,1000,139,6
margin,1000,140,49
margin,1000,141,2
margin,1000,142,9
margin,1000,143,5
margin,1000,146,6
margin,1000,147,6
margin,1000,148,3
margin,1000,149,25
margin,1000,150,3
margin,1000,153,43
margin,1000,154,2
margin,1000,155,7
margin,1000,156,2
margin,1000,158,2
margin,1000,159,4
margin,1000,160,1
margin,1000,161,2
margin,1000,163,3
margin,1000,164,1
margin,1000,165,1
margin,1000,166,3
margin,1000,168,4
margin,1000,170,3
margin,1000,171,3
margin,1000,172,4
margin,1000,173,1
margin,1000,174,3
margin,1000,175,23
margin,1000,176,4
margin,1000,177,1
