strategy,budget,class_id,strict_support,strict_recall,strict_f1,full_support,full_recall,full_f1
margin,200,7,33,0.030303030303030304,0.05555555555555555,33,0.030303030303030304,0.05555555555555555
margin,200,9,909,0.025302530253025302,0.02871410736579276,910,0.026373626373626374,0.029925187032418952
margin,200,10,1004,0.0348605577689243,0.06205673758865248,1004,0.0348605577689243,0.06205673758865248
margin,200,12,263,0.026615969581749048,0.02486678507992895,263,0.026615969581749048,0.02486678507992895
margin,200,47,616,0.8668831168831169,0.4571917808219178,618,0.8673139158576052,0.4581196581196581
margin,200,48,3359,0.08008335814230426,0.14532685035116152,3361,0.08063076465337697,0.14624932541824068
margin,200,54,5063,0.09362038317203239,0.16573426573426572,5063,0.09362038317203239,0.16573426573426572
margin,200,66,1954,0.013817809621289662,0.020385050962627407,1955,0.01432225063938619,0.021124104111655977
margin,200,69,1866,0.0,0.0,1866,0.0,0.0
margin,200,104,1744,0.047018348623853214,0.0752638825149151,1744,0.047018348623853214,0.0752638825149151
margin,200,121,16,0.0625,0.018691588785046728,16,0.0625,0.018691588785046728
margin,200,163,1741,0.06318207926479034,0.09349766255843604,1741,0.06318207926479034,0.09349766255843604
margin,200,174,1506,0.22709163346613545,0.34580384226491406,1507,0.2276045122760451,0.3464646464646465
margin,500,7,33,0.030303030303030304,0.05714285714285714,33,0.030303030303030304,0.05714285714285714
margin,500,9,907,0.2513781697905182,0.26450116009280744,910,0.25384615384615383,0.26705202312138726
margin,500,10,1002,0.3083832335329341,0.4345991561181435,1004,0.3097609561752988,0.4361851332398317
margin,500,12,263,0.034220532319391636,0.039301310043668124,263,0.034220532319391636,0.039301310043668124
margin,500,47,616,0.8035714285714286,0.8404074702886248,618,0.8042071197411004,0.8409475465313029
margin,500,48,3355,0.8649776453055141,0.9005430566330489,3361,0.8652186849152038,0.9007278922100046
margin,500,54,5060,0.7260869565217392,0.735830162227118,5063,0.7262492593324116,0.7359887910328262
margin,500,66,1954,0.014329580348004094,0.02460456942003515,1955,0.014833759590792838,0.025460930640913083
margin,500,69,1866,0.0,0.0,1866,0.0,0.0
margin,500,104,1741,0.7156806433084434,0.7071509648127128,1744,0.7161697247706422,0.7076487252124646
margin,500,121,16,0.0625,0.02127659574468085,16,0.0625,0.02127659574468085
margin,500,163,1739,0.12995974698102358,0.15602347255781843,1741,0.13095921883974726,0.15718717683557393
margin,500,174,1506,0.2158034528552457,0.344644750795334,1507,0.21632382216323823,0.3453389830508475
margin,1000,7,33,0.030303030303030304,0.05714285714285714,33,0.030303030303030304,0.05714285714285714
margin,1000,9,906,0.36423841059602646,0.410958904109589,910,0.367032967032967,0.4136222910216718
margin,1000,10,1002,0.3033932135728543,0.4412191582002903,1004,0.3047808764940239,0.44283646888567296
margin,1000,12,263,0.03802281368821293,0.045146726862302484,263,0.03802281368821293,0.045146726862302484
margin,1000,47,615,0.8146341463414634,0.8556789069171649,618,0.8155339805825242,0.8564146134239592
margin,1000,48,3349,0.8626455658405494,0.9079195474544312,3361,0.8631359714370723,0.9082654978083907
margin,1000,54,5045,0.8921704658077304,0.7863382250174703,5063,0.8925538218447561,0.7870080111459422
margin,1000,66,1952,0.22899590163934427,0.34384615384615386,1955,0.23017902813299232,0.34535686876438987
margin,1000,69,1865,0.0160857908847185,0.029747149231531978,1866,0.016613076098606645,0.03070827142149579
margin,1000,104,1737,0.6902705814622913,0.7055016181229773,1744,0.6915137614678899,0.7067096396132435
margin,1000,121,16,0.0625,0.020202020202020204,16,0.0625,0.020202020202020204
margin,1000,163,1738,0.14614499424626007,0.1991375931007448,1741,0.1476163124641011,0.20101681658193196
margin,1000,174,1504,0.22539893617021275,0.3623730625334046,1507,0.22694094226940942,0.364411294619073
