strategy,budget,class_id,selected_count
margin,200,12,1
margin,200,16,1
margin,200,25,1
margin,200,28,3
margin,200,29,3
margin,200,32,3
margin,200,35,1
margin,200,39,1
margin,200,40,1
margin,200,41,1
margin,200,42,2
margin,200,46,1
margin,200,50,2
margin,200,51,1
margin,200,56,12
margin,200,60,1
margin,200,61,2
margin,200,63,1
margin,200,65,1
margin,200,66,1
margin,200,67,1
margin,200,71,12
margin,200,74,1
margin,200,75,3
margin,200,76,3
margin,200,77,4
margin,200,79,2
margin,200,80,1
margin,200,82,6
margin,200,83,1
margin,200,86,3
margin,200,87,1
margin,200,93,2
margin,200,96,5
margin,200,97,7
margin,200,99,5
margin,200,101,9
margin,200,104,3
margin,200,110,3
margin,200,117,8
margin,200,122,9
margin,200,123,1
margin,200,124,3
margin,200,129,1
margin,200,133,3
margin,200,137,1
margin,200,138,8
margin,200,139,1
margin,200,140,6
margin,200,142,3
margin,200,143,1
margin,200,146,2
margin,200,149,7
margin,200,153,14
margin,200,156,3
margin,200,159,2
margin,200,166,3
margin,200,168,3
margin,200,171,1
margin,200,174,1
margin,200,175,6
margin,200,176,1
margin,500,1,1
margin,500,6,1
margin,500,12,3
margin,500,14,1
margin,500,16,2
margin,500,18,1
margin,500,19,1
margin,500,23,1
margin,500,25,1
margin,500,26,2
margin,500,27,1
margin,500,28,8
margin,500,29,15
margin,500,32,7
margin,500,35,1
margin,500,39,1
margin,500,40,1
margin,500,41,2
margin,500,42,3
margin,500,45,2
margin,500,46,3
margin,500,49,1
margin,500,50,8
margin,500,51,2
margin,500,54,4
margin,500,56,17
margin,500,60,2
margin,500,61,12
margin,500,62,1
margin,500,63,4
margin,500,65,1
margin,500,66,2
margin,500,67,3
margin,500,70,2
margin,500,71,24
margin,500,72,5
margin,500,74,2
margin,500,75,5
margin,500,76,3
margin,500,77,15
margin,500,78,6
margin,500,79,7
margin,500,80,3
margin,500,81,1
margin,500,82,22
margin,500,83,4
margin,500,86,6
margin,500,87,4
margin,500,93,7
margin,500,95,1
margin,500,96,10
margin,500,97,9
margin,500,99,5
margin,500,101,30
margin,500,102,1
margin,500,104,5
margin,500,105,1
margin,500,110,4
margin,500,115,4
margin,500,116,1
margin,500,117,18
margin,500,122,18
margin,500,123,1
margin,500,124,7
margin,500,128,1
margin,500,129,2
margin,500,131,2
margin,500,132,1
margin,500,133,6
margin,500,135,2
margin,500,136,1
margin,500,137,1
margin,500,138,14
margin,500,139,2
margin,500,140,16
margin,500,141,2
margin,500,142,10
margin,500,143,1
margin,500,146,2
margin,500,148,2
margin,500,149,14
margin,500,153,15
margin,500,156,4
margin,500,158,1
margin,500,159,4
margin,500,160,1
margin,500,163,1
margin,500,164,1
margin,500,165,1
margin,500,166,4
margin,500,168,4
margin,500,170,1
margin,500,171,3
margin,500,172,1
margin,500,174,2
margin,500,175,30
margin,500,176,2
margin,1000,1,1
margin,1000,2,3
margin,1000,6,2
margin,1000,8,1
margin,1000,9,1
margin,1000,11,1
margin,1000,12,3
margin,1000,14,8
margin,1000,16,3
margin,1000,17,1
margin,1000,18,2
margin,1000,19,1
margin,1000,23,1
margin,1000,24,1
margin,1000,25,3
margin,1000,26,2
margin,1000,27,4
margin,1000,28,15
margin,1000,29,41
margin,1000,30,1
margin,1000,32,12
margin,1000,33,1
margin,1000,35,1
margin,1000,39,1
margin,1000,40,1
margin,1000,41,3
margin,1000,42,3
margin,1000,45,3
margin,1000,46,8
margin,1000,49,5
margin,1000,50,15
margin,1000,51,2
margin,1000,54,6
margin,1000,56,25
margin,1000,57,1
margin,1000,60,4
margin,1000,61,25
margin,1000,62,1
margin,1000,63,9
margin,1000,65,3
margin,1000,66,3
margin,1000,67,6
margin,1000,68,2
margin,1000,70,3
margin,1000,71,57
margin,1000,72,5
margin,1000,73,1
margin,1000,74,7
margin,1000,75,12
margin,1000,76,4
margin,1000,77,25
margin,1000,78,8
margin,1000,79,10
margin,1000,80,5
margin,1000,81,2
margin,1000,82,51
margin,1000,83,5
margin,1000,86,10
margin,1000,87,4
margin,1000,93,18
margin,1000,95,1
margin,1000,96,16
margin,1000,97,31
margin,1000,98,1
margin,1000,99,5
margin,1000,101,68
margin,1000,102,1
margin,1000,104,9
margin,1000,105,2
margin,1000,108,1
margin,1000,110,5
margin,1000,111,3
margin,1000,112,1
margin,1000,115,4
margin,1000,116,1
margin,1000,117,27
margin,1000,122,26
margin,1000,123,1
margin,1000,124,9
margin,1000,127,1
margin,1000,128,1
margin,1000,129,6
margin,1000,131,2
margin,1000,132,4
margin,1000,133,7
margin,1000,135,4
margin,1000,136,4
margin,1000,137,2
margin,1000,138,39
margin,1000,139,3
margin,1000,140,41
margin,1000,141,6
margin,1000,142,34
margin,1000,143,7
margin,1000,146,3
margin,1000,148,2
margin,1000,149,31
margin,1000,153,32
margin,1000,154,1
margin,1000,156,5
margin,1000,158,1
margin,1000,159,7
margin,1000,160,2
margin,1000,163,1
margin,1000,164,2
margin,1000,165,1
margin,1000,166,5
margin,1000,168,4
margin,1000,170,1
margin,1000,171,8
margin,1000,172,2
margin,1000,174,6
margin,1000,175,49
margin,1000,176,2
