period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
W-2022-46,49,41,135192,0.6144029667602868,1
W-2022-46,9,61,848,0.5196078431372549,2
W-2022-46,50,61,144040,0.49784671961731747,3
W-2022-46,1,36,415,0.4217479674796748,4
W-2022-46,62,41,160225,0.4215970298097847,5
W-2022-46,71,98,43,0.36134453781512604,6
W-2022-46,52,41,8699,0.35373292127521144,7
W-2022-46,23,91,143,0.33966745843230406,8
W-2022-46,60,101,18706,0.3356962116181828,9
W-2022-46,2,3,112,0.2916666666666667,10
W-2022-46,48,44,5286,0.2866905304262935,11
W-2022-46,80,98,223,0.2742927429274293,12
W-2022-46,80,91,222,0.2730627306273063,13
W-2022-46,39,90,2956,0.2685807741232055,14
W-2022-46,19,101,36973,0.24633558084374918,15
W-2022-46,68,13,9456,0.23917442331040065,16
W-2022-46,34,97,117,0.21467889908256882,17
W-2022-46,95,91,96,0.200836820083682,18
W-2022-46,39,85,2181,0.19816463747047064,19
W-2022-46,60,41,10906,0.1957181056296323,20
W-2022-46,56,44,2778,0.19451057274891473,21
W-2022-46,58,61,1182,0.18788745827372436,22
W-2022-46,6,91,69,0.1820580474934037,23
W-2022-46,58,41,1130,0.1796216817676045,24
W-2022-46,47,44,6520,0.17751157092295128,25
W-2022-46,56,62,2503,0.1752555664472763,26
W-2022-46,47,101,6340,0.17261094473182684,27
W-2022-46,51,44,445,0.16958841463414634,28
W-2022-46,95,67,81,0.1694560669456067,29
W-2022-46,34,63,88,0.1614678899082569,30
W-2022-46,77,98,596,0.15965711224216447,31
W-2022-46,76,75,2594,0.15722164979695738,32
W-2022-46,2,4,60,0.15625,33
W-2022-46,99,29,2378,0.15223097112860892,34
W-2022-46,30,32,3985,0.15076422518159807,35
W-2022-46,34,98,73,0.13394495412844037,36
W-2022-46,31,32,470,0.13008580127318017,37
W-2022-46,101,41,33770,0.12898962582695453,38
W-2022-46,72,35,548,0.12891084450717477,39
W-2022-46,50,41,35912,0.12412296164188494,40
W-2022-46,77,91,456,0.12215376372890437,41
W-2022-46,56,41,1701,0.11910096625122532,42
W-2022-46,96,91,28,0.11570247933884298,43
W-2022-46,58,59,710,0.11285964075663646,44
W-2022-46,61,101,15513,0.10797811621237854,45
W-2022-46,64,13,538,0.10642927794263106,46
W-2022-46,62,101,39681,0.10441186918322401,47
W-2022-46,47,41,3821,0.10402940375714674,48
W-2022-46,47,43,3732,0.10160631636264633,49
W-2022-46,98,91,1270,0.10147011824864174,50
W-2022-46,51,42,265,0.10099085365853659,51
W-2022-46,48,101,1859,0.10082438442347326,52
W-2022-46,9,41,164,0.10049019607843138,53
W-2022-46,96,89,24,0.09917355371900827,54
W-2022-46,101,61,25673,0.09806190890895479,55
W-2022-46,74,90,183,0.09728867623604466,56
W-2022-46,26,29,5503,0.0972175602861938,57
W-2022-46,52,49,2343,0.09527488614183474,58
W-2022-46,42,61,10027,0.09360792404566969,59
W-2022-46,84,98,83,0.09263392857142858,60
W-2022-46,71,18,11,0.09243697478991597,61
W-2022-46,2,14,35,0.09114583333333333,62
W-2022-46,96,86,22,0.09090909090909091,63
W-2022-46,24,11,134,0.08909574468085106,64
W-2022-46,25,65,392,0.08820882088208822,65
W-2022-46,0,74,91,0.08766859344894026,66
W-2022-46,90,17,330,0.08709422011084719,67
W-2022-46,78,13,1120,0.08596868283696653,68
W-2022-46,21,11,226,0.08473940757405324,69
W-2022-46,83,36,51,0.0845771144278607,70
W-2022-46,4,14,1241,0.08341174889097996,71
W-2022-46,13,68,3946,0.0830876779247031,72
W-2022-46,8,25,223,0.08231819859726837,73
W-2022-46,21,70,219,0.08211473565804274,74
W-2022-46,9,101,134,0.0821078431372549,75
W-2022-46,69,79,48,0.08067226890756303,76
W-2022-46,94,64,209,0.07986243790599924,77
W-2022-46,23,77,33,0.07838479809976247,78
W-2022-46,53,41,1397,0.07783597058168042,79
W-2022-46,90,70,291,0.0768012668250198,80
W-2022-46,58,101,483,0.07677634716261325,81
W-2022-46,21,4,203,0.07611548556430446,82
W-2022-46,61,62,10850,0.07552134086922627,83
W-2022-46,23,67,31,0.07363420427553444,84
W-2022-46,23,98,31,0.07363420427553444,85
