period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref
W-2022-45,0,1279,0.6295857988165681,0.41594996090695857,0.5009416195856874,0.0,0.0,0.0
W-2022-45,1,1096,0.8137254901960784,0.6815693430656934,0.7418073485600795,0.0,0.0,0.0
W-2022-45,2,460,0.7605042016806722,0.3934782608695652,0.5186246418338109,0.0,0.0,0.0
W-2022-45,3,13492,0.8872652937613568,0.8685887933590276,0.8778277153558053,0.0,0.0,0.0
W-2022-45,4,15374,0.7641056828164066,0.7355275139846494,0.7495442945679912,0.0,0.0,0.0
W-2022-45,5,64209,0.9989882323641118,0.9995327757790964,0.9992604298848606,0.0,0.0,0.0
W-2022-45,6,672,0.836996336996337,0.6800595238095238,0.7504105090311987,0.0,0.0,0.0
W-2022-45,7,1252,0.908675799086758,0.7947284345047924,0.847890924584576,0.0,0.0,0.0
W-2022-45,8,2941,0.8766816143497758,0.7976878612716763,0.835321345914189,0.0,0.0,0.0
W-2022-45,9,2227,0.5452946350043976,0.2784014369106421,0.3686087990487515,0.0,0.0,0.0
W-2022-45,10,4509,0.899335232668566,0.8400975826125526,0.8687077170049307,0.0,0.0,0.0
W-2022-45,11,13698,0.6571232772405391,0.6300189808731201,0.643285751556036,0.0,0.0,0.0
W-2022-45,12,13102,0.9695699425555038,0.9532895741108228,0.9613608374384236,0.0,0.0,0.0
W-2022-45,13,52563,0.7247645112016293,0.8665791526358846,0.7893528346518096,0.0,0.0,0.0
W-2022-45,14,67600,0.9296491052111243,0.9598076923076924,0.9444877104364852,0.0,0.0,0.0
W-2022-45,15,11642,0.9886705003862329,0.9894348050163202,0.989052505044434,0.0,0.0,0.0
W-2022-45,16,842,0.7159090909090909,0.8230403800475059,0.7657458563535912,0.0,0.0,0.0
W-2022-45,17,167575,0.968569611290458,0.9632463076234522,0.9659006250205697,0.0,0.0,0.0
W-2022-45,18,11639,0.9224914137194838,0.8538534238336627,0.8868463323219704,0.0,0.0,0.0
W-2022-45,19,196375,0.9852420650629905,0.861805219605347,0.9193990444034584,0.0,0.0,0.0
W-2022-45,20,4720,0.8353957965036338,0.9010593220338983,0.8669860360819488,0.0,0.0,0.0
W-2022-45,21,3781,0.5072621641249092,0.3694789738164507,0.42754399387911246,0.0,0.0,0.0
W-2022-45,22,9948,0.9628975265017667,0.9861278648974668,0.9743742550655542,0.0,0.0,0.0
W-2022-45,23,563,0.6172839506172839,0.2664298401420959,0.37220843672456577,0.0,0.0,0.0
W-2022-45,24,1760,0.7979094076655052,0.7806818181818181,0.7892016082711085,0.0,0.0,0.0
W-2022-45,25,4371,0.8970402226157349,0.8112560054907344,0.8519942335415666,0.0,0.0,0.0
W-2022-45,26,71308,0.8426664218643446,0.9010910416783531,0.8708999728923827,0.0,0.0,0.0
W-2022-45,27,23526,0.994735501401036,0.9959194083142056,0.9953271028037384,0.0,0.0,0.0
W-2022-45,28,204173,0.9328247704829304,0.8947804068118703,0.9134066131858737,0.0,0.0,0.0
W-2022-45,29,209066,0.9244926179535551,0.9305817301713335,0.9275271805849219,0.0,0.0,0.0
W-2022-45,30,32332,0.8940188877229801,0.8168996659656068,0.8537212121212121,0.0,0.0,0.0
W-2022-45,31,15932,0.9674761175526873,0.8327265879989957,0.8950581885646821,0.0,0.0,0.0
W-2022-45,32,177036,0.8916740211378263,0.9359565286156488,0.9132788041800785,0.0,0.0,0.0
W-2022-45,33,16264,0.906046735726331,0.9249877029021151,0.9154192527686503,0.0,0.0,0.0
W-2022-45,34,665,0.7786885245901639,0.2857142857142857,0.41804180418041803,0.0,0.0,0.0
W-2022-45,35,2788,0.7302441042614811,0.6330703012912482,0.6781940441882806,0.0,0.0,0.0
W-2022-45,36,27442,0.9281587807903597,0.9543036221849719,0.9410496433512406,0.0,0.0,0.0
W-2022-45,37,5188,0.8571732652192422,0.7762143407864303,0.8146874367792838,0.0,0.0,0.0
W-2022-45,38,4941,0.9265931096599865,0.8328273628820076,0.8772116819441483,0.0,0.0,0.0
W-2022-45,39,15961,0.93289711819574,0.8396716997681849,0.8838328881854454,0.0,0.0,0.0
W-2022-45,40,3361,0.9794299147810756,0.9916691460874739,0.985511531638084,0.0,0.0,0.0
W-2022-45,41,463746,0.6114905707950012,0.8158323737563236,0.6990342386153048,0.0,0.0,0.0
W-2022-45,42,142235,0.7975729167415545,0.7799767989594685,0.7886767235863678,0.0,0.0,0.0
W-2022-45,43,87335,0.6424946475299342,0.9277494704299536,0.7592119749818454,0.0,0.0,0.0
W-2022-45,44,60235,0.6351356184798808,0.8844027558728315,0.7393241274026785,0.0,0.0,0.0
W-2022-45,45,9555,0.8676590538336052,0.8906331763474621,0.8789960233434901,0.0,0.0,0.0
W-2022-45,46,3708,0.8964312453206887,0.9687162891046386,0.9311730395333765,0.0,0.0,0.0
W-2022-45,47,44686,0.889542506821645,0.5617419325963389,0.6886221795487278,0.0,0.0,0.0
W-2022-45,48,24684,0.7897399273939177,0.5375952033706044,0.639718466025502,0.0,0.0,0.0
W-2022-45,49,288263,0.7593161808559,0.6315829641681381,0.6895843828238333,0.0,0.0,0.0
W-2022-45,50,338245,0.8860862489829129,0.6567901964552322,0.7543996970936955,0.0,0.0,0.0
W-2022-45,51,3451,0.5544989027066569,0.4392929585627354,0.4902182700080841,0.0,0.0,0.0
W-2022-45,52,32141,0.6436628079548827,0.5397467409228088,0.5871423011185758,0.0,0.0,0.0
W-2022-45,53,20979,0.8518899219735551,0.8691072024405357,0.8604124392430749,0.0,0.0,0.0
W-2022-45,54,20723,0.8270673099890126,0.8354485354437099,0.8312367966199347,0.0,0.0,0.0
W-2022-45,55,388197,0.909173682537921,0.9285775005989227,0.9187731543726798,0.0,0.0,0.0
W-2022-45,56,17410,0.869026284348865,0.6684663986214819,0.7556652165443802,0.0,0.0,0.0
W-2022-45,57,215700,0.879945224767334,0.950324524802967,0.9137817283774506,0.0,0.0,0.0
W-2022-45,58,7616,0.6875894134477826,0.504858193277311,0.5822228952150212,0.0,0.0,0.0
W-2022-45,59,428197,0.9351487538903577,0.9136262047608927,0.9242622017414437,0.0,0.0,0.0
W-2022-45,60,65067,0.7657218025969618,0.5546590437548988,0.643321241722297,0.0,0.0,0.0
W-2022-45,61,186288,0.5264020150188187,0.7830670789315468,0.6295804767731173,0.0,0.0,0.0
W-2022-45,62,492139,0.885585899958812,0.6291210410067074,0.7356416059304667,0.0,0.0,0.0
W-2022-45,63,2323,0.7756386523509812,0.9018510546706845,0.8339968152866242,0.0,0.0,0.0
W-2022-45,64,5550,0.6941318327974276,0.6223423423423423,0.6562796883906518,0.0,0.0,0.0
W-2022-45,65,11102,0.8631771468385299,0.8927220320662944,0.8777010272759476,0.0,0.0,0.0
W-2022-45,66,299004,0.9499617698879691,0.9556995893031531,0.9528220414995315,0.0,0.0,0.0
W-2022-45,67,21207,0.9125896297741574,0.8822087046729853,0.8971420351011796,0.0,0.0,0.0
W-2022-45,68,50625,0.7798269532172531,0.7174716049382716,0.7473508775539598,0.0,0.0,0.0
W-2022-45,69,1269,0.8915770609318996,0.7840819542947203,0.8343815513626834,0.0,0.0,0.0
W-2022-45,70,6078,0.6587100853619982,0.6855873642645607,0.6718800386971945,0.0,0.0,0.0
W-2022-45,71,341,0.3695652173913043,0.1495601173020528,0.21294363256784968,0.0,0.0,0.0
W-2022-45,72,5390,0.8336427775714816,0.8330241187384044,0.8333333333333334,0.0,0.0,0.0
W-2022-45,73,4974,0.8046617161716172,0.7842782468837958,0.7943392384443086,0.0,0.0,0.0
W-2022-45,74,2667,0.4502181673938913,0.4255718035245594,0.43754818812644564,0.0,0.0,0.0
W-2022-45,75,78996,0.953248375812094,0.9658463719682009,0.9595060237933549,0.0,0.0,0.0
W-2022-45,76,20746,0.8645341027809562,0.8376554516533308,0.8508825617548412,0.0,0.0,0.0
W-2022-45,77,4003,0.7420846673781573,0.5211091681239071,0.6122688582330496,0.0,0.0,0.0
W-2022-45,78,15099,0.8490391459074733,0.7900523213457845,0.8184843390853889,0.0,0.0,0.0
W-2022-45,79,61185,0.9220475681013909,0.9155675410639863,0.9187961292438904,0.0,0.0,0.0
W-2022-45,80,1007,0.47305389221556887,0.23535253227408143,0.31432360742705573,0.0,0.0,0.0
W-2022-45,81,2154,0.9031945788964182,0.8662952646239555,0.8843601895734597,0.0,0.0,0.0
W-2022-45,82,16267,0.7937217256978926,0.8844285977746358,0.8366237315732853,0.0,0.0,0.0
W-2022-45,83,717,0.8170391061452514,0.8158995815899581,0.8164689462665736,0.0,0.0,0.0
W-2022-45,84,1331,0.8333333333333334,0.7663410969196093,0.7984344422700587,0.0,0.0,0.0
W-2022-45,85,3239,0.35509138381201044,0.29391787588761964,0.3216216216216216,0.0,0.0,0.0
W-2022-45,86,1521,0.921875,0.8921761998685076,0.9067824924824591,0.0,0.0,0.0
W-2022-45,87,2408,0.9627020306672193,0.9647009966777409,0.9637004770794441,0.0,0.0,0.0
W-2022-45,88,18728,0.8582589285714286,0.7801687313114054,0.817352875363616,0.0,0.0,0.0
W-2022-45,89,225940,0.9636076155560286,0.981831459679561,0.9726341819521082,0.0,0.0,0.0
W-2022-45,90,4094,0.5084241823587711,0.5012212994626283,0.5047970479704798,0.0,0.0,0.0
W-2022-45,91,270164,0.9555449278827864,0.9762181489761774,0.965770918738202,0.0,0.0,0.0
W-2022-45,92,9657,0.8276753960556095,0.795278036657347,0.8111533586818758,0.0,0.0,0.0
W-2022-45,93,18276,0.9474198274458734,0.9553512803676953,0.9513690232938292,0.0,0.0,0.0
W-2022-45,94,2685,0.5326586936522539,0.4312849162011173,0.476641284214859,0.0,0.0,0.0
W-2022-45,95,570,0.7009345794392523,0.5263157894736842,0.6012024048096193,0.0,0.0,0.0
W-2022-45,96,271,0.714975845410628,0.5461254612546126,0.6192468619246861,0.0,0.0,0.0
W-2022-45,97,12068,0.9159288156395196,0.8657606894265827,0.8901384451544196,0.0,0.0,0.0
W-2022-45,98,14212,0.7130499719957683,0.80622009569378,0.7567781777352135,0.0,0.0,0.0
W-2022-45,99,17314,0.8974067495559502,0.7295252396904239,0.804804230781484,0.0,0.0,0.0
W-2022-45,100,10382,0.8895319321758555,0.8438643806588326,0.866096584449607,0.0,0.0,0.0
W-2022-45,101,329789,0.7043683824998335,0.7697649102911256,0.7356160632399156,0.0,0.0,0.0
W-2022-46,0,1038,0.6193029490616622,0.44508670520231214,0.5179372197309418,0.016995600145254364,0.029136744295353567,-0.010282849754905898
W-2022-46,1,984,0.7082658022690438,0.44410569105691056,0.5459088069956277,-0.19589854156445174,-0.23746365200878283,-0.10545968792703464
W-2022-46,2,384,0.8010752688172043,0.3880208333333333,0.5228070175438596,0.004182375710048758,-0.005457427536231907,0.040571067136532024
W-2022-46,3,11618,0.8731021394064873,0.8711482182819762,0.8721240844463594,-0.0057036309094459225,0.0025594249229485833,-0.014163154354869478
W-2022-46,4,14878,0.7589008194405199,0.7220728592552762,0.7400289315974374,-0.009515362970553776,-0.013454654729373239,-0.005204863375886659
W-2022-46,5,52829,0.9990918378930639,0.9995646330613868,0.9993281795558415,6.77496709808878e-05,3.185728229038176e-05,0.00010360552895205544
W-2022-46,6,379,0.8033898305084746,0.6253298153034301,0.7032640949554896,-0.047146414075709075,-0.05472970850609371,-0.03360650648786245
W-2022-46,7,966,0.9107344632768362,0.8343685300207039,0.8708806050783361,0.022989680493760045,0.03964009551591152,0.0020586641900781633
W-2022-46,8,2709,0.8479557069846678,0.7349575489110373,0.7874233735416255,-0.047897972372563546,-0.06273031236063908,-0.02872590736510794
W-2022-46,9,1632,0.30987654320987656,0.15379901960784315,0.20556920556920558,-0.1630395934795459,-0.12460241730279897,-0.235418091794521
W-2022-46,10,3502,0.8929411764705882,0.8669331810394061,0.8797450014488554,0.01103728444392471,0.026835598426853458,-0.006394056197977727
W-2022-46,11,11636,0.6379755858504856,0.6153317291165349,0.6264491010105429,-0.016836650545493104,-0.014687251756585251,-0.019147691390053456
W-2022-46,12,12679,0.9557124518613607,0.9395062702105844,0.9475400707950523,-0.013820766643371285,-0.013783303900238408,-0.013857490694143104
W-2022-46,13,47492,0.7311315723985922,0.8660827086667228,0.7929060240963856,0.0035531894445759438,-0.0004964439691618194,0.006367061196962842
W-2022-46,14,53318,0.9121044431311449,0.9552308788776773,0.933169654717517,-0.011318055718968156,-0.0045768134300150365,-0.0175446620799794
W-2022-46,15,12068,0.9909872664130974,0.9931223069274113,0.9920536379438788,0.003001132899444814,0.003687501911091129,0.0023167660268644807
W-2022-46,16,1011,0.5347452018530774,0.7992087042532147,0.640761300555115,-0.12498455579847612,-0.02383167579429124,-0.18116388905601355
W-2022-46,17,145041,0.9670173502121348,0.9664439710150923,0.9667305755941461,0.0008299505735763768,0.003197663391640071,-0.0015522610783232915
W-2022-46,18,7988,0.9154162793785686,0.8630445668502754,0.8884593079450995,0.0016129756231291204,0.009191143016612724,-0.007075134340915223
W-2022-46,19,150092,0.9847158942657006,0.6537523652160009,0.7858075262875494,-0.13359151811590908,-0.20805285438934606,-0.0005261707972898932
W-2022-46,20,3545,0.8113256113256113,0.8891396332863187,0.8484522207267833,-0.018533815355165517,-0.011919688747579538,-0.024070185178022507
W-2022-46,21,2667,0.479014598540146,0.3937007874015748,0.43218769294093434,0.004643699061821882,0.024221813585124152,-0.028247565584763212
W-2022-46,22,8257,0.9661299940369708,0.9811069395664285,0.9735608700877298,-0.0008133849778243496,-0.005020925331038373,0.003232467535204009
W-2022-46,23,421,0.54421768707483,0.19002375296912113,0.28169014084507044,-0.09051829587949534,-0.07640608717297478,-0.07306626354245394
W-2022-46,24,1504,0.7795115332428765,0.7639627659574468,0.7716588314304903,-0.017542776840618224,-0.01671905222437131,-0.018397874422628746
W-2022-46,25,4444,0.8858654572940288,0.7911791179117912,0.8358492808748366,-0.016144952666729995,-0.020076887578943214,-0.011174765321706137
W-2022-46,26,56605,0.8386347962118791,0.8807702499779172,0.8591862408878626,-0.011713732004520194,-0.02032079170043588,-0.004031625652465509
W-2022-46,27,7824,0.9890067748945417,0.9888803680981595,0.9889435674570205,-0.006383535346717872,-0.007039040216046066,-0.005728726506494253
W-2022-46,28,166130,0.9344771734217266,0.8959910913140312,0.9148295423117344,0.001422929125860728,0.0012106845021608859,0.0016524029387962047
W-2022-46,29,176717,0.9208455062926985,0.9328304577375125,0.9267992376326132,-0.0007279429523087133,0.0022487275661789985,-0.003647111660856628
W-2022-46,30,26432,0.8942355474573463,0.8169642857142857,0.8538552787663108,0.00013406664509874044,6.461974867888465e-05,0.00021665973436624242
W-2022-46,31,3613,0.8801073665374292,0.8167727650152228,0.8472581108240023,-0.04780007774067985,-0.015953822983772903,-0.0873687510152581
W-2022-46,32,145601,0.9011894051651143,0.9356460463870441,0.9180945449154055,0.00481574073532709,-0.00031048222860474706,0.00951538402728791
W-2022-46,33,12005,0.9056573188523261,0.9307788421491046,0.9180462555970915,0.002627002828441194,0.005791139246989485,-0.00038941687400484426
W-2022-46,34,545,0.8118279569892473,0.27706422018348625,0.4131326949384405,-0.004909109241977516,-0.008650065530799445,0.033139432399083346
W-2022-46,35,3341,0.6599878567091682,0.650703382220892,0.6553127354935946,-0.022881308694685965,0.017633080929643774,-0.07025624755231297
W-2022-46,36,20997,0.907759285293184,0.9533266657141496,0.9299851328749303,-0.011064510476310296,-0.0009769564708222989,-0.02039949549717579
W-2022-46,37,3541,0.8143025309005297,0.7814176786218582,0.7975212566652256,-0.017166180114058238,0.005203337835427924,-0.04287073431871247
W-2022-46,38,3645,0.9267202859696158,0.8534979423868313,0.8886032562125107,0.011391574268362348,0.02067057950482365,0.00012717630962921778
W-2022-46,39,11006,0.8231308411214954,0.320098128293658,0.460944655240089,-0.4228882329453564,-0.5195735714745269,-0.10976627707424458
W-2022-46,40,2393,0.96826688364524,0.9945674885081488,0.9812409812409812,-0.004270550397102779,0.002898342420674882,-0.0111630311358355
