period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-10,7,5,32,0.8205128205128205,1
M-2022-10,121,14,139,0.6780487804878049,2
M-2022-10,54,149,4183,0.6342683851402577,3
M-2022-10,48,6,1633,0.5468854655056933,4
M-2022-10,6,5,1308,0.5384932070811034,5
M-2022-10,69,105,637,0.5170454545454546,6
M-2022-10,42,160,1133,0.5069351230425055,7
M-2022-10,103,102,1410,0.4832076764907471,8
M-2022-10,174,2,1242,0.45965951147298295,9
M-2022-10,123,68,4010,0.45127166329056945,10
M-2022-10,80,175,547,0.43412698412698414,11
M-2022-10,48,177,1295,0.4336905559276624,12
M-2022-10,56,96,4072,0.38034746870913505,13
M-2022-10,55,51,2104,0.37285132021974127,14
M-2022-10,56,165,3888,0.3631608443863254,15
M-2022-10,163,46,712,0.33648393194706994,16
M-2022-10,30,129,324,0.32694248234106965,17
M-2022-10,167,14,40,0.32,18
M-2022-10,40,71,290,0.29561671763506625,19
M-2022-10,47,6,10,0.29411764705882354,20
M-2022-10,47,177,10,0.29411764705882354,21
M-2022-10,11,153,575,0.28735632183908044,22
M-2022-10,74,175,871,0.2597673725022368,23
M-2022-10,72,71,2603,0.2520577127917111,24
M-2022-10,138,149,4374,0.24474037600716203,25
M-2022-10,147,117,187,0.23345817727840198,26
M-2022-10,14,129,2335,0.23333666433496553,27
M-2022-10,137,171,140,0.23333333333333334,28
M-2022-10,67,46,988,0.2295539033457249,29
M-2022-10,38,125,21,0.22826086956521738,30
M-2022-10,147,175,177,0.2209737827715356,31
M-2022-10,104,2,509,0.21288163948138855,32
M-2022-10,175,71,7664,0.21287114962642,33
M-2022-10,10,156,303,0.2112970711297071,34
M-2022-10,79,175,2587,0.20972841507904338,35
M-2022-10,34,125,351,0.20868014268727705,36
M-2022-10,31,28,404,0.2084623323013416,37
M-2022-10,67,13,889,0.20655204460966542,38
M-2022-10,47,14,7,0.20588235294117646,39
M-2022-10,172,117,1798,0.20279720279720279,40
M-2022-10,42,115,452,0.20223713646532437,41
M-2022-10,159,46,483,0.19658119658119658,42
M-2022-10,70,75,340,0.19596541786743515,43
M-2022-10,173,2,270,0.19382627422828427,44
M-2022-10,75,82,2232,0.19272947068474225,45
M-2022-10,19,142,5515,0.1891289437585734,46
M-2022-10,12,156,482,0.1868217054263566,47
M-2022-10,167,138,23,0.184,48
M-2022-10,104,133,435,0.18193224592220827,49
M-2022-10,139,133,338,0.17733473242392445,50
M-2022-10,177,14,281,0.17420954742715436,51
M-2022-10,123,96,1544,0.17375647085302723,52
M-2022-10,100,133,4704,0.17308116859224373,53
M-2022-10,166,18,525,0.17298187808896212,54
M-2022-10,16,61,409,0.17006237006237007,55
M-2022-10,104,19,389,0.16269343370974487,56
M-2022-10,75,71,1870,0.16147137552888352,57
M-2022-10,135,26,475,0.15950302216252518,58
M-2022-10,32,153,283,0.15872125630959058,59
M-2022-10,101,117,8631,0.15595468261568762,60
M-2022-10,50,118,474,0.15241157556270096,61
M-2022-10,38,105,14,0.15217391304347827,62
M-2022-10,96,117,9127,0.149571459005916,63
M-2022-10,135,156,441,0.1480859637340497,64
M-2022-10,10,138,205,0.14295676429567644,65
M-2022-10,70,82,243,0.14005763688760806,66
M-2022-10,11,93,277,0.13843078460769614,67
M-2022-10,63,60,1668,0.13730655251893314,68
M-2022-10,50,14,427,0.13729903536977492,69
M-2022-10,100,97,3672,0.13510927956435353,70
M-2022-10,104,117,321,0.1342534504391468,71
M-2022-10,101,164,7258,0.13114576369188516,72
M-2022-10,30,138,129,0.1301715438950555,73
M-2022-10,34,110,217,0.12901307966706302,74
M-2022-10,5,14,369,0.12715368711233632,75
M-2022-10,63,61,1543,0.12701679288771814,76
M-2022-10,75,72,1415,0.12218288576116053,77
M-2022-10,78,71,1972,0.12193161441909355,78
M-2022-10,33,123,15,0.12096774193548387,79
M-2022-10,167,96,15,0.12,80
M-2022-10,69,39,146,0.1185064935064935,81
M-2022-10,159,67,288,0.11721611721611722,82
M-2022-10,94,53,41,0.11714285714285715,83
