period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-4,0,1414,0.0,6.641011714935303,0.0,14,5.077627658843994,0.0,-1.5633840560913086,0.0,25,0.019801980198019802,5.533766746520996,25,5.533766746520996,5.533766746520996,0.0
M-2022-4,1,10792,0.0,6.869780540466309,0.0,20,5.932801723480225,0.0,-0.936978816986084,0.0,153,0.0064862861378799114,6.644218444824219,153,6.644218444824219,6.644218444824219,0.0
M-2022-4,2,7583,0.0,8.209887504577637,0.0,153,3.825029134750366,0.0,-4.3848583698272705,0.0,117,0.049188975339575364,6.733699321746826,117,6.733699321746826,6.733699321746826,0.0
M-2022-4,3,1593,0.0,4.495903015136719,0.0,94,4.754383087158203,0.0,0.2584800720214844,0.0,2,0.017576898932831136,11.015581130981445,2,11.015581130981445,11.015581130981445,0.0
M-2022-4,4,3737,0.0,4.491601943969727,0.0,27,4.921812534332275,0.0,0.43021059036254883,0.0,28,0.002408348943002408,9.583311080932617,28,9.583311080932617,9.583311080932617,0.0
M-2022-4,5,2093,0.0,5.675634860992432,0.0,7,2.788607597351074,0.0,-2.8870272636413574,0.0,6,0.01433349259436216,3.7021961212158203,6,3.7021961212158203,3.7021961212158203,0.0
M-2022-4,6,2729,0.0,3.3986916542053223,0.0,5,3.7021961212158203,0.0,0.30350446701049805,0.0,5,0.012092341517039208,3.7021961212158203,5,3.7021961212158203,3.7021961212158203,0.0
M-2022-4,7,36,0.0,5.128162384033203,0.0,5,2.788607597351074,0.0,-2.339554786682129,0.0,14,0.1111111111111111,7.21755838394165,14,7.21755838394165,7.21755838394165,0.0
M-2022-4,8,1574,0.0,7.163690090179443,0.0,151,4.7392096519470215,0.0,-2.424480438232422,0.0,28,0.02986022871664549,5.956322193145752,28,5.956322193145752,5.956322193145752,0.0
M-2022-4,9,1547,0.0,7.835673809051514,0.0,25,3.151979446411133,0.0,-4.683694362640381,0.0,25,0.17517776341305752,3.151979446411133,25,3.151979446411133,3.151979446411133,0.0
M-2022-4,10,2020,0.0,6.659149646759033,0.0,12,3.757195472717285,0.0,-2.901954174041748,0.0,12,0.053465346534653464,3.757195472717285,12,3.757195472717285,3.757195472717285,0.0
M-2022-4,11,1685,0.0,7.810478687286377,0.0,88,4.418951988220215,0.0,-3.391526699066162,0.0,133,0.06231454005934718,5.085204124450684,133,5.085204124450684,5.085204124450684,0.0
M-2022-4,12,2788,0.0,8.0222749710083,0.0,10,3.757195472717285,0.0,-4.265079498291016,0.0,10,0.01721664275466284,3.757195472717285,10,3.757195472717285,3.757195472717285,0.0
M-2022-4,13,2093,0.0,7.875782012939453,0.0,159,2.552919387817383,0.0,-5.32286262512207,0.0,46,0.0864787386526517,3.511965274810791,46,3.511965274810791,3.511965274810791,0.0
M-2022-4,14,10401,0.0,8.77728271484375,0.0,16,3.5248446464538574,0.0,-5.252438068389893,0.0,129,0.02153639073166042,3.9953043460845947,129,3.9953043460845947,3.9953043460845947,0.0
M-2022-4,15,751,0.0,7.3279128074646,0.0,154,4.567202568054199,0.0,-2.7607102394104004,0.0,151,0.03861517976031957,5.2011799812316895,151,5.2011799812316895,5.2011799812316895,0.0
M-2022-4,16,2008,0.0,8.545604705810547,0.0,155,3.0408124923706055,0.0,-5.504792213439941,0.0,93,0.07669322709163347,7.065092086791992,93,7.065092086791992,7.065092086791992,0.0
M-2022-4,17,10007,0.0,7.601191520690918,0.0,2,4.3549323081970215,0.0,-3.2462592124938965,0.0,156,0.009293494553812332,5.024440288543701,156,5.024440288543701,5.024440288543701,0.0
M-2022-4,18,21926,0.0,7.478030681610107,0.0,154,5.197081089019775,0.0,-2.280949592590332,0.0,153,0.012177323725257684,6.4388017654418945,153,6.4388017654418945,6.4388017654418945,0.0
M-2022-4,19,13185,0.0,7.233432769775391,0.0,23,4.100835800170898,0.0,-3.132596969604492,0.0,18,0.027152066742510427,5.555657386779785,18,5.555657386779785,5.555657386779785,0.0
M-2022-4,20,1281,0.0,6.8004045486450195,0.0,21,4.4192962646484375,0.0,-2.381108283996582,0.0,19,0.0234192037470726,4.820204257965088,19,4.820204257965088,4.820204257965088,0.0
M-2022-4,21,2620,0.0,5.575272083282471,0.0,20,4.4192962646484375,0.0,-1.1559758186340332,0.0,153,0.0061068702290076335,7.984899520874023,153,7.984899520874023,7.984899520874023,0.0
M-2022-4,22,4636,0.0,6.09963321685791,0.0,124,5.4505815505981445,0.0,-0.6490516662597656,0.0,153,0.007765314926660914,7.523407459259033,153,7.523407459259033,7.523407459259033,0.0
M-2022-4,23,12840,0.0,6.28503942489624,0.0,19,4.100835800170898,0.0,-2.184203624725342,0.0,19,0.008722741433021807,4.100835800170898,19,4.100835800170898,4.100835800170898,0.0
M-2022-4,24,10253,0.0,5.802816867828369,0.0,143,5.1463494300842285,0.0,-0.6564674377441406,0.0,153,0.011021164537208621,6.4211506843566895,153,6.4211506843566895,6.4211506843566895,0.0
M-2022-4,25,54557,0.0,7.897135257720947,0.0,9,3.151979446411133,0.0,-4.7451558113098145,0.0,156,0.004893964110929853,5.544147491455078,156,5.544147491455078,5.544147491455078,0.0
M-2022-4,26,2293,0.0,6.636659622192383,0.0,46,4.036586761474609,0.0,-2.6000728607177734,0.0,13,0.013083296990841693,5.323270320892334,13,5.323270320892334,5.323270320892334,0.0
M-2022-4,27,19386,0.0,4.838223457336426,0.0,4,4.921812534332275,0.0,0.08358907699584961,0.0,83,0.002321262766945218,6.565752983093262,83,6.565752983093262,6.565752983093262,0.0
