period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref
M-2022-4,0,1414,0.9046951646811493,0.9130127298444131,0.908834917282647,0.0,0.0,0.0
M-2022-4,1,10792,0.961175136973361,0.9428280207561156,0.9519131817756572,0.0,0.0,0.0
M-2022-4,2,7583,0.7204069934078533,0.6629302386918107,0.6904745553190028,0.0,0.0,0.0
M-2022-4,3,1593,0.9379267535692116,0.9485247959824231,0.9431960049937578,0.0,0.0,0.0
M-2022-4,4,3737,0.9523684899241036,0.9737757559539738,0.9629531622122255,0.0,0.0,0.0
M-2022-4,5,2093,0.9365671641791045,0.9593884376493073,0.9478404531508142,0.0,0.0,0.0
M-2022-4,6,2729,0.9723736822973464,0.9802125320630267,0.9762773722627737,0.0,0.0,0.0
M-2022-4,7,36,0.6857142857142857,0.6666666666666666,0.676056338028169,0.0,0.0,0.0
M-2022-4,8,1574,0.9174122505161735,0.8468869123252859,0.8807400066072019,0.0,0.0,0.0
M-2022-4,9,1547,0.7186311787072244,0.6108597285067874,0.660377358490566,0.0,0.0,0.0
M-2022-4,10,2020,0.836901121304791,0.8128712871287128,0.8247112004018081,0.0,0.0,0.0
M-2022-4,11,1685,0.7974530018192845,0.7804154302670623,0.7888422315536893,0.0,0.0,0.0
M-2022-4,12,2788,0.8371592539454806,0.8371592539454806,0.8371592539454806,0.0,0.0,0.0
M-2022-4,13,2093,0.48784911135291986,0.6426182513139035,0.554639175257732,0.0,0.0,0.0
M-2022-4,14,10401,0.8183999165536664,0.7543505432169983,0.7850710426255754,0.0,0.0,0.0
M-2022-4,15,751,0.8964968152866242,0.7496671105193076,0.8165337200870196,0.0,0.0,0.0
M-2022-4,16,2008,0.7660818713450293,0.39143426294820716,0.5181278839815425,0.0,0.0,0.0
M-2022-4,17,10007,0.941901776384535,0.9007694613770361,0.9208765387955253,0.0,0.0,0.0
M-2022-4,18,21926,0.9364035087719298,0.9153060293715224,0.9257345818534065,0.0,0.0,0.0
M-2022-4,19,13185,0.9039080459770115,0.8946530147895335,0.8992567181246427,0.0,0.0,0.0
M-2022-4,20,1281,0.8068763716166789,0.8610460577673692,0.8330815709969789,0.0,0.0,0.0
M-2022-4,21,2620,0.8953571428571429,0.9568702290076336,0.9250922509225092,0.0,0.0,0.0
M-2022-4,22,4636,0.9413495900777801,0.9659188955996548,0.9534759927605664,0.0,0.0,0.0
M-2022-4,23,12840,0.9380874698982367,0.9404984423676013,0.9392914090148952,0.0,0.0,0.0
M-2022-4,24,10253,0.9463597842835131,0.9584511850190188,0.9523671076222319,0.0,0.0,0.0
M-2022-4,25,54557,0.9076298158926656,0.9460930769653757,0.926462405542692,0.0,0.0,0.0
M-2022-4,26,2293,0.8358762886597938,0.8839947666812037,0.8592623993217465,0.0,0.0,0.0
M-2022-4,27,19386,0.9931397328106463,0.993190962550294,0.9931653470198334,0.0,0.0,0.0
M-2022-4,28,16366,0.8664544034602908,0.8812782598069168,0.8738034654065189,0.0,0.0,0.0
M-2022-4,29,29653,0.8945477529024317,0.9068559673557481,0.9006598117694343,0.0,0.0,0.0
M-2022-4,30,8131,0.9870546171865368,0.9846267371786988,0.9858391823667036,0.0,0.0,0.0
M-2022-4,31,7973,0.9801248566696394,0.9648814749780509,0.9724434331942864,0.0,0.0,0.0
M-2022-4,32,2331,0.7264243614931237,0.6344916344916345,0.6773528738264255,0.0,0.0,0.0
M-2022-4,33,204,0.6695652173913044,0.37745098039215685,0.4827586206896552,0.0,0.0,0.0
M-2022-4,34,588,0.9286926994906621,0.9302721088435374,0.929481733220051,0.0,0.0,0.0
M-2022-4,35,875,0.9256505576208178,0.8537142857142858,0.8882282996432818,0.0,0.0,0.0
M-2022-4,36,826,0.6140939597315436,0.8861985472154964,0.7254707631318137,0.0,0.0,0.0
M-2022-4,37,1989,0.9842342342342343,0.6591251885369532,0.7895212285456188,0.0,0.0,0.0
