period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref,bucket,reference_period,selection_period
M-2022-12,145,1149,0.9965034965034965,0.9921671018276762,0.9943305713039686,-6.530406029947589e-05,-0.005135056445705111,0.004997014608100869,stable,M-2022-4,M-2022-12
M-2022-12,107,2555,0.9472885855138415,0.9776908023483366,0.9622496147919877,-0.0008067463226258953,-0.008366517558712205,0.006184593399499505,stable,M-2022-4,M-2022-12
M-2022-12,98,48912,0.995802277008764,0.9942549885508669,0.9950280312640668,0.0024146723111113655,-0.0014162806835480435,0.006228102910032729,stable,M-2022-4,M-2022-12
M-2022-12,131,17194,0.8882809446708726,0.9253227870187275,0.906423586383706,-0.0031722464266366046,-0.024043472438253444,0.015257422699966328,stable,M-2022-4,M-2022-12
M-2022-12,132,13419,0.9241109808518952,0.8811386839555854,0.9021133745326925,-0.0041796261094504406,0.02787617154033295,-0.04224105123105093,stable,M-2022-4,M-2022-12
M-2022-12,99,18452,0.903179110294527,0.8791458920442229,0.8910004668662291,-0.004665388001332649,0.01172781648588439,-0.02263625238592215,stable,M-2022-4,M-2022-12
M-2022-12,94,760,0.6943521594684385,0.55,0.6138032305433186,0.004676246416334573,0.06500789889415487,-0.12431450719822812,stable,M-2022-4,M-2022-12
M-2022-12,15,715,0.8353115727002968,0.7874125874125875,0.8106551475881929,-0.0058785724988267285,0.037745476893279895,-0.061185242586327404,stable,M-2022-4,M-2022-12
M-2022-12,144,2267,0.9802110817941952,0.9832377591530658,0.981722087645893,0.007356045749531304,0.012617220987222844,0.0020705173226954754,stable,M-2022-4,M-2022-12
M-2022-12,128,3721,0.9008555611474585,0.9621069604944907,0.9304743339831059,-0.009238988107956536,0.010356320016266962,-0.02712112494746244,stable,M-2022-4,M-2022-12
M-2022-12,62,11221,0.9035502958579882,0.9525888958203369,0.9274218038262982,-0.010031537729740525,0.023847497659683525,-0.04277997937136957,stable,M-2022-4,M-2022-12
M-2022-12,113,3574,0.9905199655271474,0.9647453833240067,0.977462792345854,-0.012486456335606855,-0.02176790505362125,-0.0028892615549377387,stable,M-2022-4,M-2022-12
M-2022-12,8,1142,0.9138431752178122,0.8266199649737302,0.8680459770114942,-0.012694029595707645,-0.020266947351555653,-0.0035690752983612573,stable,M-2022-4,M-2022-12
M-2022-12,130,4618,0.7988826815642458,0.8670420095279342,0.8315680166147456,-0.015080160345276039,-0.015360697747869523,-0.014795643751057796,stable,M-2022-4,M-2022-12
M-2022-12,76,2683,0.8761518614080354,0.8859485650391353,0.8810229799851742,-0.015675741141027877,0.02640280812570761,-0.061056718013786204,stable,M-2022-4,M-2022-12
M-2022-12,119,1033,0.9015075376884422,0.8683446272991288,0.8846153846153846,-0.01751077950339941,-0.03362304662919169,-0.0007771723291325472,stable,M-2022-4,M-2022-12
M-2022-12,64,1215,0.7420520231213873,0.8452674897119341,0.7903039630627164,-0.017806404830260192,0.052079143384482274,-0.08155257849770092,stable,M-2022-4,M-2022-12
M-2022-12,57,2331,0.975473321858864,0.9725439725439725,0.9740064446831365,-0.01851144731426102,-0.0228883276191596,-0.014147177654596832,stable,M-2022-4,M-2022-12
M-2022-12,59,6030,0.9828354513946196,0.9875621890547264,0.9851931507982463,0.021161129149807945,0.05306787252893219,-0.012662491631073136,stable,M-2022-4,M-2022-12
M-2022-12,44,1181,0.9889604415823368,0.9102455546147333,0.9479717813051146,-0.022780307831375635,-0.04783004675983715,0.0051919165294079805,stable,M-2022-4,M-2022-12
