period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-4,0,1414,1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,1,10792,10792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,2,7583,7583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,3,1593,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,4,3737,3737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,5,2093,2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,6,2729,2729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,8,1574,1574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,9,1547,1547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,10,2020,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,11,1685,1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,12,2788,2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,13,2093,2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,14,10401,10401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,15,751,751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,16,2008,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,17,10007,10007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,18,21926,21926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,19,13185,13185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,20,1281,1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,21,2620,2620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,22,4636,4636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,23,12840,12840,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,24,10253,10253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,25,54557,54557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,26,2293,2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,27,19386,19386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,28,16366,16366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,29,29653,29653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,30,8131,8131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,31,7973,7973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,32,2331,2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,33,204,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,34,588,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,35,875,875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,36,826,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,37,1989,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,39,4388,4388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,40,2334,2334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,41,2121,2121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,42,1839,1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,43,2042,2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,44,2910,2910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,45,2192,2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,46,9798,9798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,47,3839,3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,48,5001,5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,49,40220,40220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,50,4546,4546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,51,21842,21842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,52,2301,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,53,9775,9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,54,6663,6663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,55,8193,8193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,56,10094,10094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,57,3065,3065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,58,2286,2286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,59,13724,13724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,60,49622,49622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,61,19676,19676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,62,15549,15549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,63,11152,11152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,64,2437,2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,65,3145,3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,66,5149,5149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,67,854,854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,68,7271,7271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,69,879,879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,70,2642,2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,71,149408,149408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,72,17880,17880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,73,29211,29211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,74,9210,9210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,75,28060,28060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,76,10523,10523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,77,81932,81932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,78,48009,48009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,79,25102,25102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,80,6096,6096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,81,7217,7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
