period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-11,7,5,41,0.7884615384615384,1
M-2022-11,54,149,5324,0.6598909271194844,2
M-2022-11,42,160,1262,0.5338409475465313,3
M-2022-11,6,5,1200,0.5102040816326531,4
M-2022-11,103,102,1338,0.5093262276360868,5
M-2022-11,56,165,7515,0.49662965900079303,6
M-2022-11,167,14,35,0.47297297297297297,7
M-2022-11,121,14,20,0.46511627906976744,8
M-2022-11,80,175,774,0.45475910693301996,9
M-2022-11,55,51,2417,0.43953446081105657,10
M-2022-11,69,105,998,0.43695271453590195,11
M-2022-11,174,2,1409,0.4336718990458603,12
M-2022-11,40,71,427,0.41057692307692306,13
M-2022-11,27,155,5669,0.40705105191354923,14
M-2022-11,12,156,940,0.401195049082373,15
M-2022-11,123,68,3140,0.3951176544608028,16
M-2022-11,163,46,885,0.3844483058210252,17
M-2022-11,75,71,4262,0.3601182931981411,18
M-2022-11,66,142,1159,0.35346142116498935,19
M-2022-11,47,6,29,0.3493975903614458,20
M-2022-11,10,156,708,0.34739941118743867,21
M-2022-11,48,177,997,0.3347884486232371,22
M-2022-11,118,25,1404,0.3058823529411765,23
M-2022-11,38,125,27,0.3,24
M-2022-11,48,6,841,0.2824042981867025,25
M-2022-11,104,2,763,0.2806178742184627,26
M-2022-11,74,175,922,0.2660894660894661,27
M-2022-11,56,96,3968,0.26222574676182925,28
M-2022-11,11,153,790,0.25859247135842883,29
M-2022-11,10,138,511,0.2507360157016683,30
M-2022-11,138,149,4802,0.24732179645653068,31
M-2022-11,175,71,8686,0.24330532212885153,32
M-2022-11,172,117,2289,0.23149271844660194,33
M-2022-11,177,14,507,0.22315140845070422,34
M-2022-11,101,164,13508,0.22296683888219468,35
M-2022-11,72,71,2131,0.21729376975629652,36
M-2022-11,83,155,7035,0.21497983131646498,37
M-2022-11,121,51,9,0.20930232558139536,38
M-2022-11,67,13,523,0.20853269537480063,39
M-2022-11,14,129,2515,0.20611375184396,40
M-2022-11,79,175,2594,0.20279884293643968,41
M-2022-11,67,46,505,0.20135566188197768,42
M-2022-11,100,133,5137,0.19920117884287267,43
M-2022-11,166,18,443,0.1945542380324989,44
M-2022-11,69,39,438,0.19176882661996497,45
M-2022-11,48,14,568,0.19073203492276697,46
M-2022-11,70,75,337,0.18816303740926857,47
M-2022-11,70,72,332,0.1853713009491904,48
M-2022-11,30,129,97,0.17830882352941177,49
M-2022-11,70,71,318,0.17755443886097153,50
M-2022-11,32,153,265,0.1763140385894877,51
M-2022-11,150,117,268,0.17608409986859397,52
M-2022-11,28,49,1959,0.1740095931781844,53
M-2022-11,96,117,11004,0.17345796749633507,54
M-2022-11,159,46,483,0.17127659574468085,55
M-2022-11,78,71,2858,0.1683950035352345,56
M-2022-11,42,115,396,0.16751269035532995,57
M-2022-11,173,2,194,0.16638078902229847,58
M-2022-11,12,61,389,0.1660264618011097,59
