period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref,bucket,reference_period,selection_period
M-2022-12,48,3361,0.1111111111111111,0.0008925914906277894,0.0017709563164108619,-0.9875854547051747,-0.993508528285417,-0.8732515175508049,bad,M-2022-4,M-2022-12
M-2022-12,47,618,0.0,0.0,0.0,-0.9816791880848821,-0.9700442823651992,-0.9935965848452508,bad,M-2022-4,M-2022-12
M-2022-12,174,1507,0.0,0.0,0.0,-0.9677341969533405,-0.9500706547338672,-0.9860669762894158,bad,M-2022-4,M-2022-12
M-2022-12,56,12137,0.008818342151675485,0.00041196341764851283,0.0007871536523929471,-0.9597483643813767,-0.952035034799114,-0.9599442535758538,bad,M-2022-4,M-2022-12
M-2022-12,109,393,0.0,0.0,0.0,-0.9493161705551086,-0.9480449919657205,-0.9505907626208379,bad,M-2022-4,M-2022-12
M-2022-12,66,1955,0.00437636761487965,0.0010230179028132991,0.001658374792703151,-0.8963704349116183,-0.9191556575681519,-0.8725438618872488,bad,M-2022-4,M-2022-12
M-2022-12,26,807,0.02727272727272727,0.022304832713754646,0.024539877300613498,-0.8347225220211331,-0.8616899339674491,-0.8086035613870666,bad,M-2022-4,M-2022-12
M-2022-12,69,1866,0.03345724907063197,0.00482315112540193,0.008430913348946136,-0.8190338753834482,-0.797224630444564,-0.8210882054748225,bad,M-2022-4,M-2022-12
M-2022-12,104,1744,0.052795031055900624,0.00974770642201835,0.016456921587608905,-0.6970091600863701,-0.6188577054126531,-0.7720196392523319,bad,M-2022-4,M-2022-12
M-2022-12,38,193,0.3333333333333333,0.05181347150259067,0.08968609865470852,-0.6806842717156618,-0.6235112038220847,-0.5632183908045978,bad,M-2022-4,M-2022-12
M-2022-12,10,1004,0.47342995169082125,0.09760956175298804,0.16184971098265896,-0.6628614894191491,-0.7152617253757247,-0.36347116961396975,bad,M-2022-4,M-2022-12
M-2022-12,164,1689,0.1648113343935232,0.6749555950266429,0.26493144317917733,-0.6085680951403056,-0.1811530022584249,-0.72680035269413,bad,M-2022-4,M-2022-12
M-2022-12,12,263,0.18322295805739514,0.3155893536121673,0.23184357541899442,-0.6053156785264862,-0.5215699003333134,-0.6539362958880854,bad,M-2022-4,M-2022-12
M-2022-12,11,1749,0.3073073073073073,0.1755288736420812,0.22343522561863174,-0.5654070059350575,-0.604886556624981,-0.49014569451197715,bad,M-2022-4,M-2022-12
M-2022-12,28,5815,0.4132721877528999,0.26345657781599313,0.3217811384162991,-0.5520223269902198,-0.6178216819909237,-0.45318221570739087,bad,M-2022-4,M-2022-12
M-2022-12,139,973,0.16218809980806143,0.1736896197327852,0.16774193548387098,-0.5376046659666266,-0.561025770288297,-0.5160473851092269,bad,M-2022-4,M-2022-12
M-2022-12,6,1684,0.6045081967213115,0.3503562945368171,0.44360902255639095,-0.5326683497063827,-0.6298562375262096,-0.36786548557603493,bad,M-2022-4,M-2022-12
M-2022-12,14,5821,0.2455731593662628,0.271602817385329,0.2579329472224488,-0.5271380954031266,-0.48274772583166936,-0.5728267571874036,bad,M-2022-4,M-2022-12
M-2022-12,118,2577,0.35841039740064984,0.5564610011641443,0.4359987838248708,-0.5238732332395206,-0.400985807346494,-0.6038991455023173,bad,M-2022-4,M-2022-12
M-2022-12,5,1080,0.31640788921527485,0.6981481481481482,0.4354605833092694,-0.5123798698415448,-0.2612402895011591,-0.6201592749638296,bad,M-2022-4,M-2022-12
