period,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-12,5,14,1,104,0.0962962962962963,86.0,0.087696200739679
M-2022-12,5,6,2,59,0.05462962962962963,29.0,0.04029613703526747
M-2022-12,5,124,3,53,0.049074074074074076,51.0,0.048118507901116596
M-2022-12,5,151,4,30,0.027777777777777776,29.0,0.027299994691299036
M-2022-12,5,83,5,20,0.018518518518518517,20.0,0.018518518518518517
M-2022-12,6,5,1,942,0.5593824228028503,909.0,0.5472900812858111
M-2022-12,6,14,2,64,0.03800475059382423,55.0,0.034706839270995354
M-2022-12,6,151,3,36,0.021377672209026127,36.0,0.021377672209026127
M-2022-12,6,149,4,15,0.008907363420427554,15.0,0.008907363420427554
M-2022-12,6,83,5,9,0.005344418052256532,9.0,0.005344418052256532
M-2022-12,10,156,1,366,0.3645418326693227,304.0,0.333848763362392
M-2022-12,10,138,2,250,0.24900398406374502,225.0,0.23662774643998263
M-2022-12,10,117,3,107,0.10657370517928287,89.0,0.09766281409017397
M-2022-12,10,132,4,34,0.03386454183266932,34.0,0.03386454183266932
M-2022-12,10,61,5,31,0.030876494023904383,19.0,0.024935899964498444
M-2022-12,11,153,1,446,0.2550028587764437,399.0,0.2271096837022597
M-2022-12,11,93,2,270,0.15437392795883362,257.0,0.14665879442767635
M-2022-12,11,133,3,131,0.07489994282447113,26.0,0.012585402765123946
M-2022-12,11,148,4,49,0.02801600914808462,47.0,0.02682906552790658
M-2022-12,11,176,5,39,0.022298456260720412,38.0,0.02170498445063139
M-2022-12,12,156,1,55,0.20912547528517111,33.0,0.2012345140226173
M-2022-12,12,117,2,47,0.17870722433460076,30.0,0.172609663358991
M-2022-12,12,63,3,28,0.10646387832699619,23.0,0.10467047804005214
M-2022-12,12,125,4,16,0.060836501901140684,0.0,0.05509762098291974
M-2022-12,12,50,5,8,0.030418250950570342,-16.0,0.02180992957323892
M-2022-12,14,129,1,1203,0.20666552138807764,979.0,0.18512913065641723
